source_commit,commit_subject,source_branch,claims,primary_result_directory,source_commit_file_count,consolidated_file_count
"3e5bf19e420abfcb9a95c517407cba636b9f126d","Add acquisition branch audit","experiment/acquisition-branch-audit","2","results/paired_acquisition_factorization_acquisition_branch_audit","7","7"
"e4819c42e49f9c4a1e7a652fc8bf8651a2f6b628","Add pair-structure boundary test","experiment/pair-structure-boundary-test","1;2","results/paired_acquisition_factorization_pair_structure_boundary_test","7","6"
"d018c924757c90a56ab5d515c4ecc02110286df6","Extend pair-structure boundary test across backbones","experiment/pair-structure-boundary-crossbackbone","1","results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone","7","7"
"bec06eb47e14ca3317efae7b74c3399615aa0d13","Add biological label preservation audit","experiment/biological-label-preservation-audit","1;2","results/paired_acquisition_factorization_biological_label_preservation_audit","8","8"
"535eea183ab7471bf661dd1abf122868f1ff56ac","Add scanner-heldout label transfer audit","experiment/scanner-heldout-label-transfer-audit","1;2","results/paired_acquisition_factorization_scanner_heldout_label_transfer_audit","9","9"
"0d7cdc927619f38006c79069b5cbb087a27241e4","Add sample-disjoint scanner-heldout transfer audit","experiment/sample-subset-disjoint-scanner-heldout-transfer-audit","1;2","results/paired_acquisition_factorization_sample_subset_disjoint_scanner_heldout_transfer_audit","9","9"
"b5a9886e77776942d133929c1592d1203229aa8c","Add scanner-confounded label robustness audit","experiment/scanner-confounded-label-robustness-audit","1;2","results/paired_acquisition_factorization_scanner_confounded_label_robustness_audit","9","9"
"ec2a509f19e5c4a1fb59c3e49486a022db03191c","Add linear residual branch separation audit","experiment/linear-baseline-consistency-audit","2;3","results/paired_acquisition_factorization_linear_residual_branch_separation_audit","7","7"
"a325c009254bd2c220297e482203dd9a252728a6","Add linear baseline consistency audit","experiment/linear-baseline-consistency-audit","3","results/paired_acquisition_factorization_linear_baseline_consistency_audit","6","6"
"3450ede25d374495ea73fe2d41b1e365e8b5b5a7","Add oldstyle residual branch separation audit","experiment/oldstyle-residual-branch-separation-audit","2;3","results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit","8","8"
"a89bfb32977dc723ef895f150ab4ae720a345ac5","Add acquisition bottleneck separation frontier sweep","experiment/acquisition-bottleneck-separation-frontier","4","results/paired_acquisition_factorization_acquisition_bottleneck_separation_frontier","9","9"
"c29a038debf9df709d6ce10ad4c63e510556b083","Add frontier-selected downstream validation","experiment/frontier-selected-downstream-validation","4","results/paired_acquisition_factorization_frontier_selected_downstream_validation","10","10"
"0e2af24730a0a298fbf0363dfbab7682dc65a1af","Add frontier-selected cross-backbone validation","experiment/frontier-selected-crossbackbone-validation","4","results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation","8","8"
"1c5276978d2d5e83619c88684c9e02df3688d6e3","Add unified separation scoreboard","experiment/unified-separation-scoreboard","2;3;4","results/paired_acquisition_factorization_unified_separation_scoreboard","7","7"
"aa8d0596dfe5f4be650d034ed80fca76fc337116","@","experiment/acquisition-factor-swapping-audit","5","results/paired_acquisition_factorization_acquisition_factor_swapping_audit","8","8"
