representation,n_folds,scanner_probe_balanced_accuracy_mean,scanner_probe_balanced_accuracy_fold_min,scanner_probe_balanced_accuracy_fold_max,category_probe_balanced_accuracy_mean,category_probe_balanced_accuracy_fold_min,category_probe_balanced_accuracy_fold_max,category_probe_macro_f1_mean,category_probe_macro_f1_fold_min,category_probe_macro_f1_fold_max,purity_fit_pool_k1_mean,purity_fit_pool_k1_fold_min,purity_fit_pool_k1_fold_max,purity_fit_pool_k5_mean,purity_fit_pool_k5_fold_min,purity_fit_pool_k5_fold_max,purity_fit_pool_k10_mean,purity_fit_pool_k10_fold_min,purity_fit_pool_k10_fold_max,effective_rank_all_test_mean,effective_rank_all_test_fold_min,effective_rank_all_test_fold_max
linear_projection_k0,5,0.863564109581351,0.8391534391534391,0.8888888888888887,0.44114851065318295,0.38592543859649125,0.4985516705516706,0.40873183600198726,0.3180855526779055,0.4922672299135174,0.44164042364127615,0.33185185185185184,0.5047619047619047,0.4295229294294208,0.3173333333333334,0.516734693877551,0.41800841109390613,0.30962962962962964,0.5004081632653061,53.72623454773983,45.90543978533951,59.991735435771595
linear_projection_k1,5,0.7663801838075884,0.7125,0.8102564102564103,0.4444529179300297,0.3854301555776233,0.5022004662004662,0.4116274155443172,0.3186854122790648,0.4971719821861364,0.4419367018949286,0.3214814814814815,0.5238095238095238,0.43423944701874306,0.32266666666666666,0.5224489795918368,0.4255700678338969,0.3137777777777778,0.5160544217687074,56.76035478616244,49.234461196182885,62.17354219066611
linear_projection_k16,5,0.2,0.2,0.2,0.43874549562864473,0.3801973684210526,0.5046542346542346,0.4060259917559108,0.3145133530896043,0.49743787256909117,0.43987043190867325,0.3274074074074074,0.5183673469387755,0.43698964687324204,0.31585185185185183,0.529795918367347,0.4285974951655381,0.3114074074074074,0.5243537414965986,59.54158662033461,52.045478345422225,65.83577298367489
linear_projection_k2,5,0.5947716679703975,0.5655172413793104,0.6217948717948717,0.44327417730880436,0.38134682224429,0.5013519813519813,0.40981254147242774,0.3165960262027185,0.4976648266411283,0.44035876121785267,0.33185185185185184,0.5224489795918368,0.43266386644835075,0.31466666666666665,0.5295238095238096,0.4259010509195627,0.31333333333333335,0.5205442176870748,57.31710914171443,49.66461707129355,63.1236102505939
linear_projection_k32,5,0.2,0.2,0.2,0.43874549562864473,0.3801973684210526,0.5046542346542346,0.4060259917559108,0.3145133530896043,0.49743787256909117,0.43987043190867325,0.3274074074074074,0.5183673469387755,0.43698964687324204,0.31585185185185183,0.529795918367347,0.4285974951655381,0.3114074074074074,0.5243537414965986,59.54158662033461,52.045478345422225,65.83577298367489
linear_projection_k4,5,0.2,0.2,0.2,0.44245014748183487,0.38486875206885135,0.503978243978244,0.40837712630113365,0.3178029374487014,0.49802955541797217,0.44094598870143875,0.32592592592592595,0.5197278911564626,0.4377408893348,0.31792592592592595,0.529795918367347,0.4286037653708827,0.3122962962962963,0.5248979591836734,59.557247552814,52.02598807101331,65.88375887973378
linear_projection_k8,5,0.2,0.2,0.2,0.43874549562864473,0.3801973684210526,0.5046542346542346,0.4060259917559108,0.3145133530896043,0.49743787256909117,0.43987043190867325,0.3274074074074074,0.5183673469387755,0.43698964687324204,0.31585185185185183,0.529795918367347,0.4285974951655381,0.3114074074074074,0.5243537414965986,59.54158662033461,52.045478345422225,65.83577298367489
oldstyle_keep_k1,5,0.766142434261309,0.7097222222222223,0.8102564102564103,0.44521122451981016,0.3820087719298246,0.501978243978244,0.4119918649037705,0.3154366315571751,0.4954111500313291,0.44302067171474063,0.3362962962962963,0.5102040816326531,0.42624309253492065,0.3188148148148148,0.4805442176870749,0.41033515564035594,0.3118518518518518,0.46285714285714286,50.01295944313218,43.07225839841331,54.29891327202765
oldstyle_keep_k2,5,0.5966845724686015,0.5694444444444444,0.6153846153846153,0.44157224390097377,0.3768421052631579,0.5046651126651127,0.4082576405674906,0.31164984498289766,0.501118213832344,0.43846379904618854,0.3288888888888889,0.5006802721088436,0.4258671215990423,0.32266666666666666,0.47972789115646264,0.4110427622901011,0.31096296296296294,0.46585034013605436,50.568311949826764,43.550461385261585,55.17142288939729
oldstyle_keep_k3,5,0.47407758749954754,0.42638888888888893,0.49743589743589745,0.4401855321516486,0.3800384806355511,0.5012898212898212,0.4060785479172587,0.3139819419900186,0.4929843607485317,0.4411046595771964,0.33037037037037037,0.4923913043478261,0.4277140996173026,0.3262222222222222,0.47836734693877553,0.41307952192148994,0.31244444444444447,0.46870748299319726,52.51557254479951,46.34699088158055,57.72485852297246
oldstyle_keep_k4,5,0.2,0.2,0.2,0.44160527869195,0.38480263157894734,0.504887334887335,0.4084503455098646,0.3193625755543086,0.49885253262750473,0.43810289913066675,0.3244444444444444,0.49782608695652175,0.42873943677309895,0.3235555555555556,0.48326530612244906,0.41305890774989545,0.3114074074074074,0.46775510204081633,53.073151632927036,46.3555222541204,58.488491785789826
oldstyle_removed_k1,5,0.27330677452546775,0.2375,0.29239766081871343,0.27071733666840575,0.2405975752389103,0.2999630482329918,0.21102516797806295,0.19973524111784866,0.2255160030511199,0.2580868057367875,0.22585034013605443,0.2874074074074074,0.251260310372136,0.22367346938775515,0.2654814814814815,0.2523057696508555,0.23564625850340135,0.2637037037037037,1.000000000005046,1.0000000000031517,1.0000000000064324
oldstyle_removed_k2,5,0.37514607695188457,0.3416666666666667,0.4140350877192982,0.28209526361874826,0.2645407149950348,0.3041221135029354,0.23036991859947084,0.18940420798270763,0.28588407022938717,0.2617899185439071,0.24320987654320989,0.2829931972789116,0.2611652972944411,0.25617647058823534,0.2756462585034014,0.2622907651305289,0.25679012345679014,0.2759183673469388,1.8769186276296281,1.8349882545434557,1.9528234286460369
oldstyle_removed_k3,5,0.46399539594639416,0.43611111111111106,0.5426900584795321,0.3065535475728307,0.24058250579278387,0.3522843822843823,0.256022201359848,0.1821403352231603,0.28832149091251386,0.279887351397886,0.2562962962962963,0.3012345679012346,0.27936735003180013,0.2648888888888889,0.29523809523809524,0.27671848024233847,0.2657777777777778,0.2870748299319728,2.480910175402671,2.2478211709418283,2.672355633963058
