fold,category,fit_samples,test_samples,minimum_fit_samples,minimum_test_samples,retained_in_fixed_estimand
0,Bone,12,3,2,2,False
1,Bone,13,2,2,2,False
2,Bone,14,1,2,2,False
3,Bone,12,3,2,2,False
4,Bone,9,6,2,2,False
0,Cartilage,1,0,2,2,False
1,Cartilage,1,0,2,2,False
2,Cartilage,1,0,2,2,False
3,Cartilage,1,0,2,2,False
4,Cartilage,0,1,2,2,False
0,Dermis,20,6,2,2,True
1,Dermis,18,8,2,2,True
2,Dermis,20,6,2,2,True
3,Dermis,24,2,2,2,True
4,Dermis,22,4,2,2,True
0,Epidermis,31,6,2,2,True
1,Epidermis,29,8,2,2,True
2,Epidermis,29,8,2,2,True
3,Epidermis,29,8,2,2,True
4,Epidermis,30,7,2,2,True
0,Inflamm/Necrosis,15,4,2,2,True
1,Inflamm/Necrosis,15,4,2,2,True
2,Inflamm/Necrosis,16,3,2,2,True
3,Inflamm/Necrosis,14,5,2,2,True
4,Inflamm/Necrosis,16,3,2,2,True
0,SCC,28,6,2,2,True
1,SCC,27,7,2,2,True
2,SCC,27,7,2,2,True
3,SCC,28,6,2,2,True
4,SCC,26,8,2,2,True
0,Subcutis,14,3,2,2,True
1,Subcutis,14,3,2,2,True
2,Subcutis,14,3,2,2,True
3,Subcutis,13,4,2,2,True
4,Subcutis,13,4,2,2,True
