representation,fold,scanner_probe_balanced_accuracy,category_probe_balanced_accuracy,category_probe_macro_f1,purity_fit_pool_k1,purity_fit_pool_k5,purity_fit_pool_k10,effective_rank_all_test
linear_projection_k0,0,0.8486111111111111,0.38592543859649125,0.3180855526779055,0.33185185185185184,0.3173333333333334,0.30962962962962964,45.90543978533951
linear_projection_k0,1,0.8391534391534391,0.4573531637312459,0.4630152540669652,0.45760869565217394,0.43043478260869567,0.4230434782608696,59.991735435771595
linear_projection_k0,2,0.8565517241379311,0.4985516705516706,0.4922672299135174,0.47941176470588237,0.4532352941176471,0.4402941176470588,56.35484324843059
linear_projection_k0,3,0.8846153846153847,0.40344296074594216,0.357070627493141,0.5047619047619047,0.516734693877551,0.5004081632653061,53.92431511344599
linear_projection_k0,4,0.8888888888888887,0.46046931964056476,0.4132205158584072,0.4345679012345679,0.4298765432098766,0.4166666666666667,52.454839155711454
linear_projection_k1,0,0.7125,0.3854301555776233,0.3186854122790648,0.3214814814814815,0.32266666666666666,0.3137777777777778,49.234461196182885
linear_projection_k1,1,0.7566137566137565,0.46297664709719505,0.4681244100350469,0.4771739130434783,0.4352173913043478,0.4296739130434783,62.17354219066611
linear_projection_k1,2,0.7724137931034483,0.5022004662004662,0.4971719821861364,0.4588235294117647,0.46,0.45352941176470596,58.756256232208216
linear_projection_k1,3,0.8102564102564103,0.4098611718660067,0.3588961088883293,0.5238095238095238,0.5224489795918368,0.5160544217687074,58.49875601725256
linear_projection_k1,4,0.7801169590643274,0.46179614890885745,0.4152591643330085,0.4283950617283951,0.4308641975308642,0.4148148148148148,55.13875829450241
linear_projection_k16,0,0.2,0.3801973684210526,0.3145133530896043,0.3274074074074074,0.31585185185185183,0.3114074074074074,52.045478345422225
linear_projection_k16,1,0.2,0.4490953685583823,0.4538939569423125,0.46630434782608693,0.44108695652173907,0.42978260869565216,65.83577298367489
linear_projection_k16,2,0.2,0.5046542346542346,0.49743787256909117,0.4514705882352941,0.46117647058823535,0.451764705882353,61.29365946228179
linear_projection_k16,3,0.2,0.41005099574076204,0.3580028623876953,0.5183673469387755,0.529795918367347,0.5243537414965986,60.55548007483983
linear_projection_k16,4,0.2,0.4497295107687919,0.406281913790851,0.43580246913580245,0.43703703703703706,0.42567901234567895,57.97754223545436
linear_projection_k2,0,0.5680555555555555,0.38134682224429,0.3165960262027185,0.33185185185185184,0.31466666666666665,0.31333333333333335,49.66461707129355
linear_projection_k2,1,0.6021164021164022,0.45154807566862354,0.455658477630402,0.4673913043478261,0.4315217391304348,0.4227173913043478,63.1236102505939
linear_projection_k2,2,0.5655172413793104,0.5013519813519813,0.4976648266411283,0.45294117647058824,0.4597058823529412,0.4504411764705882,58.96732352040588
linear_projection_k2,3,0.6217948717948717,0.4145702774260389,0.36134596045588663,0.5224489795918368,0.5295238095238096,0.5205442176870748,59.39666335809129
linear_projection_k2,4,0.616374269005848,0.46755372985308796,0.4177974164320034,0.4271604938271605,0.42790123456790125,0.42246913580246914,55.43333150818757
linear_projection_k32,0,0.2,0.3801973684210526,0.3145133530896043,0.3274074074074074,0.31585185185185183,0.3114074074074074,52.045478345422225
linear_projection_k32,1,0.2,0.4490953685583823,0.4538939569423125,0.46630434782608693,0.44108695652173907,0.42978260869565216,65.83577298367489
linear_projection_k32,2,0.2,0.5046542346542346,0.49743787256909117,0.4514705882352941,0.46117647058823535,0.451764705882353,61.29365946228179
linear_projection_k32,3,0.2,0.41005099574076204,0.3580028623876953,0.5183673469387755,0.529795918367347,0.5243537414965986,60.55548007483983
linear_projection_k32,4,0.2,0.4497295107687919,0.406281913790851,0.43580246913580245,0.43703703703703706,0.42567901234567895,57.97754223545436
linear_projection_k4,0,0.2,0.38486875206885135,0.3178029374487014,0.32592592592592595,0.31792592592592595,0.3122962962962963,52.02598807101331
linear_projection_k4,1,0.2,0.45752328767123285,0.46236166109375043,0.4673913043478261,0.44065217391304345,0.4290217391304348,65.88375887973378
linear_projection_k4,2,0.2,0.503978243978244,0.49802955541797217,0.45588235294117646,0.46205882352941174,0.45161764705882357,61.27148011144765
linear_projection_k4,3,0.2,0.40664268447104873,0.35517870368319626,0.5197278911564626,0.529795918367347,0.5248979591836734,60.59066016542575
linear_projection_k4,4,0.2,0.4592377692197974,0.4085127738620484,0.43580246913580245,0.4382716049382716,0.42518518518518517,58.0143505364495
linear_projection_k8,0,0.2,0.3801973684210526,0.3145133530896043,0.3274074074074074,0.31585185185185183,0.3114074074074074,52.045478345422225
linear_projection_k8,1,0.2,0.4490953685583823,0.4538939569423125,0.46630434782608693,0.44108695652173907,0.42978260869565216,65.83577298367489
linear_projection_k8,2,0.2,0.5046542346542346,0.49743787256909117,0.4514705882352941,0.46117647058823535,0.451764705882353,61.29365946228179
linear_projection_k8,3,0.2,0.41005099574076204,0.3580028623876953,0.5183673469387755,0.529795918367347,0.5243537414965986,60.55548007483983
linear_projection_k8,4,0.2,0.4497295107687919,0.406281913790851,0.43580246913580245,0.43703703703703706,0.42567901234567895,57.97754223545436
oldstyle_keep_k1,0,0.7097222222222223,0.3820087719298246,0.3154366315571751,0.3362962962962963,0.3188148148148148,0.3118518518518518,43.07225839841331
oldstyle_keep_k1,1,0.7566137566137566,0.46540587084148727,0.47145775516929467,0.46956521739130436,0.4545652173913044,0.4389130434782608,54.29891327202765
oldstyle_keep_k1,2,0.7751724137931035,0.501978243978244,0.4954111500313291,0.4632352941176471,0.4523529411764706,0.4294117647058823,52.28213820724438
oldstyle_keep_k1,3,0.8102564102564103,0.41221411304247724,0.3600543757644909,0.5102040816326531,0.4805442176870749,0.46285714285714286,52.68319790401562
oldstyle_keep_k1,4,0.7789473684210526,0.46444912280701744,0.4175994119965628,0.43580246913580245,0.4249382716049383,0.408641975308642,47.72828943395996
oldstyle_keep_k2,0,0.5694444444444444,0.3768421052631579,0.31164984498289766,0.3288888888888889,0.32266666666666666,0.31096296296296294,43.550461385261585
oldstyle_keep_k2,1,0.6148148148148148,0.45016777560339205,0.4552204589246796,0.47282608695652173,0.4523913043478261,0.43999999999999995,55.17142288939729
oldstyle_keep_k2,2,0.5779310344827586,0.5046651126651127,0.501118213832344,0.4602941176470588,0.4491176470588235,0.4292647058823529,52.56746574318425
oldstyle_keep_k2,3,0.6153846153846153,0.4122610797743754,0.35948490194098703,0.5006802721088436,0.47972789115646264,0.46585034013605436,53.52800950502122
oldstyle_keep_k2,4,0.6058479532163743,0.46392514619883035,0.4138147831565443,0.42962962962962964,0.42543209876543214,0.4091358024691358,48.024200226269464
oldstyle_keep_k3,0,0.42638888888888893,0.3800384806355511,0.3139819419900186,0.33037037037037037,0.3262222222222222,0.31244444444444447,46.34699088158055
oldstyle_keep_k3,1,0.4814814814814815,0.45302491846053494,0.45776620280285785,0.4923913043478261,0.4610869565217392,0.44456521739130433,57.72485852297246
oldstyle_keep_k3,2,0.4703448275862069,0.5012898212898212,0.4929843607485317,0.4632352941176471,0.4526470588235295,0.4264705882352941,54.39672964237873
oldstyle_keep_k3,3,0.49743589743589745,0.40245930701047544,0.3517789031923733,0.4775510204081633,0.47836734693877553,0.46870748299319726,54.64719487363251
oldstyle_keep_k3,4,0.4947368421052631,0.46411513336185994,0.4138813308525119,0.4419753086419753,0.4202469135802469,0.41320987654320984,49.4620888034333
oldstyle_keep_k4,0,0.2,0.38480263157894734,0.3193625755543086,0.3244444444444444,0.3235555555555556,0.3114074074074074,46.3555222541204
oldstyle_keep_k4,1,0.2,0.45366679712981084,0.4584847222103101,0.49782608695652175,0.4654347826086957,0.43956521739130433,58.488491785789826
oldstyle_keep_k4,2,0.2,0.504887334887335,0.49885253262750473,0.45441176470588235,0.4420588235294118,0.43014705882352944,54.89645740035624
