acquisition_dim,cross_covariance_weight,n_folds,n_slides,biological_scanner_probe_accuracy_mean,biological_scanner_probe_accuracy_ci_025,biological_scanner_probe_accuracy_ci_975,biological_scanner_probe_accuracy_fold_min,biological_scanner_probe_accuracy_fold_max,biological_scanner_probe_accuracy_interval_classification,acquisition_scanner_probe_accuracy_mean,acquisition_scanner_probe_accuracy_ci_025,acquisition_scanner_probe_accuracy_ci_975,acquisition_scanner_probe_accuracy_fold_min,acquisition_scanner_probe_accuracy_fold_max,acquisition_scanner_probe_accuracy_interval_classification,biological_category_probe_accuracy_mean,biological_category_probe_accuracy_ci_025,biological_category_probe_accuracy_ci_975,biological_category_probe_accuracy_fold_min,biological_category_probe_accuracy_fold_max,biological_category_probe_accuracy_interval_classification,acquisition_category_probe_accuracy_mean,acquisition_category_probe_accuracy_ci_025,acquisition_category_probe_accuracy_ci_975,acquisition_category_probe_accuracy_fold_min,acquisition_category_probe_accuracy_fold_max,acquisition_category_probe_accuracy_interval_classification,biological_pair_cosine_average_mean,biological_pair_cosine_average_ci_025,biological_pair_cosine_average_ci_975,biological_pair_cosine_average_fold_min,biological_pair_cosine_average_fold_max,biological_pair_cosine_average_interval_classification,biological_pair_cosine_worst_mean,biological_pair_cosine_worst_ci_025,biological_pair_cosine_worst_ci_975,biological_pair_cosine_worst_fold_min,biological_pair_cosine_worst_fold_max,biological_pair_cosine_worst_interval_classification,biological_retrieval_top1_average_mean,biological_retrieval_top1_average_ci_025,biological_retrieval_top1_average_ci_975,biological_retrieval_top1_average_fold_min,biological_retrieval_top1_average_fold_max,biological_retrieval_top1_average_interval_classification,biological_retrieval_top1_worst_mean,biological_retrieval_top1_worst_ci_025,biological_retrieval_top1_worst_ci_975,biological_retrieval_top1_worst_fold_min,biological_retrieval_top1_worst_fold_max,biological_retrieval_top1_worst_interval_classification,branch_cross_covariance_rms_mean,branch_cross_covariance_rms_ci_025,branch_cross_covariance_rms_ci_975,branch_cross_covariance_rms_fold_min,branch_cross_covariance_rms_fold_max,branch_cross_covariance_rms_interval_classification
2,0.0,5,44,0.3660410080299325,0.3501877937445602,0.38078096255713856,0.34809882985452245,0.38040486103568544,interval_above_zero_unfavorable,0.7472292100116202,0.7206924201231015,0.7730105545742625,0.7144328959239353,0.7736878968984233,interval_above_zero_favorable,0.44839745112216284,0.3731162470124171,0.5124473475769283,0.33396597994036326,0.5165168515694831,interval_above_zero_favorable,0.10127355476316872,0.07252073214428927,0.13392955004473098,0.07477662103977895,0.1514499620284919,interval_above_zero_unfavorable,0.7342254949829955,0.7238392908898451,0.7453586241844894,0.7288534960438412,0.7427839663610647,descriptive_only_no_preservation_claim,0.6521927344465972,0.6314949817070838,0.6707078658251181,0.6367745720961754,0.6715499259617098,descriptive_only_no_preservation_claim,0.952891888977679,0.9345779362362301,0.9685462742769863,0.9367238298545224,0.9684354475933424,interval_above_zero_favorable,0.8891183433450359,0.8582691080626634,0.917238455926464,0.8760667889789754,0.9068578497525865,interval_above_zero_favorable,0.16152970692650842,0.137026697109605,0.20401822161860764,0.14148011108239492,0.21169171118073993,interval_above_zero_unfavorable
2,0.05,5,44,0.3565967640162191,0.3408232695498297,0.37096074583490624,0.3311617345863076,0.3728789185061586,interval_above_zero_unfavorable,0.7567284373968124,0.7312934309461285,0.7821715231322703,0.7311179383473291,0.7779429108902793,interval_above_zero_favorable,0.44962018984518987,0.37488353996170876,0.5153266855113519,0.3378380621065631,0.5212015937279095,interval_above_zero_favorable,0.10213643099784826,0.07351458014239874,0.13620266063438607,0.07804036849914986,0.15874755661323614,interval_above_zero_unfavorable,0.7370569654632888,0.7268200891521327,0.7480637096661364,0.7316561262449918,0.745473287050449,descriptive_only_no_preservation_claim,0.6555260638028019,0.6352515082364283,0.6742569569485387,0.6399959395332666,0.6750643634491935,descriptive_only_no_preservation_claim,0.9527874096943876,0.9348620992086683,0.9685627602897643,0.9364383565254059,0.968631026867869,interval_above_zero_favorable,0.8880540408848557,0.8571017863696113,0.9167725152191083,0.8719784983886028,0.9047345928924876,interval_above_zero_favorable,0.16116377457299014,0.13634701073593256,0.20383578817419304,0.13971277723709744,0.21203839927911758,interval_above_zero_unfavorable
2,0.2,5,44,0.3583324501691379,0.3490343566012057,0.3674606353920665,0.3471158624740219,0.36476547652533314,interval_above_zero_unfavorable,0.7528957254650531,0.7280539163293023,0.7788679832752474,0.7310549026176266,0.7717531898607167,interval_above_zero_favorable,0.44760851461860257,0.37284808386595664,0.5129879684998969,0.33782311526761244,0.5162968727179253,interval_above_zero_favorable,0.09844542434866878,0.07657179329401118,0.12519120476627701,0.07378574074272999,0.13351775443155664,interval_above_zero_unfavorable,0.7403577351968266,0.7301329462532911,0.7512847749170175,0.7352475659553255,0.748498648468325,descriptive_only_no_preservation_claim,0.6594665558240647,0.6387922332965991,0.6778765296781162,0.6439377161826393,0.6781662817587293,descriptive_only_no_preservation_claim,0.953417469324343,0.9349323772797469,0.9694221823495142,0.9368093939188579,0.970828425960005,interval_above_zero_favorable,0.8899680114123444,0.8582371029127505,0.9192294911467436,0.8751204029999097,0.9094219523166891,interval_above_zero_favorable,0.16165255016901273,0.1369533577386731,0.2043788142785468,0.14012351284424465,0.21301049010621176,interval_above_zero_unfavorable
4,0.0,5,44,0.3640021730094206,0.347696256631231,0.37930565730411603,0.3399263425800428,0.38790844812068154,interval_above_zero_unfavorable,0.8242859732856819,0.7965030110407884,0.849924803481261,0.7907652179151231,0.8492472703733059,interval_above_zero_favorable,0.4477816569267399,0.3763378146974802,0.5137791308231281,0.3439986370892443,0.5183592314118629,interval_above_zero_favorable,0.14362965622428303,0.11406243534982242,0.17461265582685048,0.09788913737538027,0.19136590757109,interval_above_zero_unfavorable,0.7349530081308845,0.7245971140080619,0.7458687837029392,0.7297583610880821,0.7426812729370529,descriptive_only_no_preservation_claim,0.6537155169728602,0.6328163812985945,0.6725944044237337,0.6371914103703133,0.6715257482490214,descriptive_only_no_preservation_claim,0.9534775560228804,0.9340084852839664,0.9704997573948722,0.9334603569922593,0.9737887682492945,interval_above_zero_favorable,0.891170213563121,0.8577093002304295,0.9221702719284767,0.8644634009517785,0.9241907945855314,interval_above_zero_favorable,0.17337415238673037,0.14892326699956865,0.2153288124981854,0.15172284146149953,0.22027709450986652,interval_above_zero_unfavorable
4,0.05,5,44,0.35527430184702163,0.3413736503860391,0.36757751216033596,0.33390921960181924,0.3655270931026264,interval_above_zero_unfavorable,0.8392744448527817,0.8107947360123948,0.8665821585990879,0.8107338860275293,0.8715966255966257,interval_above_zero_favorable,0.44858184922099187,0.3804346611437397,0.5083657182816763,0.3496029336465769,0.50543004364057,interval_above_zero_favorable,0.10704906401331503,0.07605078127947315,0.1448792914832081,0.07172692087587723,0.15862720217805712,interval_above_zero_unfavorable,0.7366868381013273,0.7264477669293155,0.747578935800435,0.7315396852439948,0.7440322006204759,descriptive_only_no_preservation_claim,0.6557338879295797,0.634554691546722,0.6745630871884039,0.6388973632224266,0.6732523938184157,descriptive_only_no_preservation_claim,0.9529977934989792,0.9343225555820754,0.969349559201951,0.9338618716303726,0.9712506645401382,interval_above_zero_favorable,0.8879259684325082,0.8558156288644183,0.9174464072543338,0.8643433367970844,0.9113644542591912,interval_above_zero_favorable,0.16436315412548455,0.1401481240765284,0.20613787950778548,0.14373583760526445,0.21123583482371436,interval_above_zero_unfavorable
4,0.2,5,44,0.3445653889089247,0.33291844126557163,0.35595585758894693,0.3340432549906234,0.3574190581079353,interval_above_zero_unfavorable,0.8404317360619367,0.8099468208385986,0.8681946921599244,0.8076781572844192,0.8726894216894218,interval_above_zero_favorable,0.4493068232703817,0.3808110325972398,0.509527495205711,0.3532451356886841,0.5081090430037798,interval_above_zero_favorable,0.11459093259919671,0.08641163742645391,0.15341700770272582,0.08402836510948465,0.16580922351766703,interval_above_zero_unfavorable,0.7386506828948921,0.7285401649821598,0.7495814585736159,0.7338242269305373,0.7458660797409714,descriptive_only_no_preservation_claim,0.6582367223196696,0.6375561783860969,0.6768490120559605,0.6418526304768333,0.675316541995268,descriptive_only_no_preservation_claim,0.9536008767552843,0.9345676041000178,0.970137745885846,0.9336736694677872,0.9728668466036887,interval_above_zero_favorable,0.891200745826954,0.858274286474293,0.9211288103572175,0.8680500775579049,0.9213994192941561,interval_above_zero_favorable,0.16284705894914542,0.13877633962102912,0.20325106415609748,0.14293053597211836,0.2085401424103313,interval_above_zero_unfavorable
8,0.0,5,44,0.3683924409702456,0.34992045165063773,0.385942417547955,0.3392758275353152,0.3874966357152737,interval_above_zero_unfavorable,0.837200119034766,0.8026620235591088,0.8692515795496233,0.7961196349507546,0.8775987974916232,interval_above_zero_favorable,0.4481029799736165,0.37680025189446836,0.5121360743288416,0.3437922502334267,0.5221408941935258,interval_above_zero_favorable,0.2136085950537211,0.1754080054741057,0.25642394360374676,0.1752162947897715,0.2533942139731613,interval_above_zero_unfavorable,0.7338617083338197,0.7237508275406387,0.7447505856487563,0.7281105900129083,0.7410107501033842,descriptive_only_no_preservation_claim,0.652450285446336,0.6326147520991654,0.6706353489056914,0.6372939643406011,0.6705046856210921,descriptive_only_no_preservation_claim,0.9542394682914136,0.9352726367171964,0.970583297373395,0.9351950882503539,0.9731254651780967,interval_above_zero_favorable,0.8934205750007511,0.8594426349062226,0.9239662097339236,0.8672446989548508,0.9238294892242259,interval_above_zero_favorable,0.1923873483118686,0.16825690034664695,0.2314418660258931,0.17091544999016656,0.23503745098908743,interval_above_zero_unfavorable
8,0.05,5,44,0.3682897357174327,0.34640873904813446,0.39065389933975375,0.33316480678292826,0.3959912368333421,interval_above_zero_unfavorable,0.8460667340273237,0.8145890806025131,0.8752051897999763,0.8127126140778892,0.8806975539080802,interval_above_zero_favorable,0.4475572699605603,0.37702790617585813,0.5116964995610229,0.3461116156139875,0.5181636200057252,interval_above_zero_favorable,0.12161495506168742,0.09896528889036862,0.15105258597235424,0.10322561174735087,0.16270682753601845,interval_above_zero_unfavorable,0.7363623458466002,0.7263619968555242,0.7470823773211653,0.7315145321577269,0.743743499485682,descriptive_only_no_preservation_claim,0.6552219576220896,0.6349326333411867,0.673857790038893,0.6398224126819388,0.6738012811090688,descriptive_only_no_preservation_claim,0.9538518945133917,0.9357123084107988,0.969606167433948,0.9363781286708233,0.9709754938044411,interval_above_zero_favorable,0.8880737746723834,0.8575619490557862,0.9160482197887742,0.8721122104755881,0.9032308593178158,interval_above_zero_favorable,0.17315987656739626,0.14898907284334648,0.21323695136855048,0.15316973477602003,0.2172345797220866,interval_above_zero_unfavorable
8,0.2,5,44,0.3606427875336651,0.34449366955265276,0.37748726804504673,0.33784629981024666,0.37720955998733774,interval_above_zero_unfavorable,0.8468597302837715,0.8154770101345576,0.8759926198970646,0.8095368512996597,0.881861980125138,interval_above_zero_favorable,0.44854144942038904,0.37438326860090526,0.5146277038821331,0.34050798168729857,0.5250514105777264,interval_above_zero_favorable,0.12167496321890135,0.09718046077269987,0.15251302541545853,0.09512626878708473,0.16416376387255993,interval_above_zero_unfavorable,0.7369531340906892,0.7267382162972204,0.7476970265232934,0.732355367579077,0.7443821543593586,descriptive_only_no_preservation_claim,0.6557173619381961,0.6351210137196758,0.6743707882163559,0.640241907039895,0.6742505285932131,descriptive_only_no_preservation_claim,0.9534130380800051,0.9353455079905733,0.9690825336157991,0.9363200769555133,0.9697210464973622,interval_above_zero_favorable,0.889835260960772,0.8591619625487399,0.9180112830516539,0.8728842692991174,0.905154963796268,interval_above_zero_favorable,0.1698088662190871,0.1458295221993079,0.2092675399162214,0.15036348700523378,0.21262815594673157,interval_above_zero_unfavorable
16,0.0,5,44,0.35912291784490386,0.34415396456592856,0.37332776881246155,0.3380499374484882,0.36951061151778,interval_above_zero_unfavorable,0.8397737316595428,0.8042460405636691,0.8714274878998287,0.7959086096804313,0.8782379329349187,interval_above_zero_favorable,0.4509356218768884,0.3779432541618409,0.5141841285786967,0.33651596337459716,0.5131602023707287,interval_above_zero_favorable,0.2995348909421312,0.26234073350086423,0.3382325219034774,0.2576583762537273,0.32419087916914,interval_above_zero_unfavorable,0.7313984280695567,0.7211352337923965,0.7426302260695619,0.7254091538628086,0.738720667709052,descriptive_only_no_preservation_claim,0.6487516714753329,0.6284427068738291,0.6673776914592808,0.633267952767029,0.6662171098386258,descriptive_only_no_preservation_claim,0.9546334490223513,0.9357914886814263,0.9706848869527065,0.9343401478871118,0.9731743855559645,interval_above_zero_favorable,0.8916925344402244,0.8617930418539173,0.9192377013614231,0.8720340125297431,0.9131166932482723,interval_above_zero_favorable,0.20408702777190646,0.17969398009486637,0.24257769515261401,0.18185608585675558,0.24569310214784412,interval_above_zero_unfavorable
