contrast_type,contrast_id,acquisition_dim,cross_covariance_weight,metric,fold,fold_mean,n_slides
dimension_marginal,dim16_minus_dim64,16,,biological_scanner_probe_accuracy,0,0.0026204958685983257,8
dimension_marginal,dim16_minus_dim64,16,,biological_scanner_probe_accuracy,1,0.003623446998596322,9
dimension_marginal,dim16_minus_dim64,16,,biological_scanner_probe_accuracy,2,-0.01209019509744147,9
dimension_marginal,dim16_minus_dim64,16,,biological_scanner_probe_accuracy,3,0.02411692206429047,9
dimension_marginal,dim16_minus_dim64,16,,biological_scanner_probe_accuracy,4,-0.016033436563197428,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_scanner_probe_accuracy,0,-0.009598322841681509,8
dimension_marginal,dim16_minus_dim64,16,,acquisition_scanner_probe_accuracy,1,0.0019412988887301931,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_scanner_probe_accuracy,2,-0.006927258552862383,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_scanner_probe_accuracy,3,-0.006730365151417759,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_scanner_probe_accuracy,4,-0.0060075831705187245,9
dimension_marginal,dim16_minus_dim64,16,,biological_category_probe_accuracy,0,-0.006621329176832056,8
dimension_marginal,dim16_minus_dim64,16,,biological_category_probe_accuracy,1,-0.008315445119507214,9
dimension_marginal,dim16_minus_dim64,16,,biological_category_probe_accuracy,2,0.010305287037171072,9
dimension_marginal,dim16_minus_dim64,16,,biological_category_probe_accuracy,3,-0.009972742656953162,9
dimension_marginal,dim16_minus_dim64,16,,biological_category_probe_accuracy,4,0.004710084839352122,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_category_probe_accuracy,0,-0.07706611748642109,8
dimension_marginal,dim16_minus_dim64,16,,acquisition_category_probe_accuracy,1,-0.1464861505590299,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_category_probe_accuracy,2,-0.15877711249208834,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_category_probe_accuracy,3,-0.22222430006640537,9
dimension_marginal,dim16_minus_dim64,16,,acquisition_category_probe_accuracy,4,-0.10442728174063738,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_average,0,0.002142466146508218,8
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_average,1,0.003366039682869292,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_average,2,0.002271438361315813,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_average,3,0.0024310757548876203,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_average,4,0.004428994390438744,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_worst,0,0.0031476118162427763,8
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_worst,1,0.00430016168392306,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_worst,2,0.002224778350328576,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_worst,3,0.003951663991711454,9
dimension_marginal,dim16_minus_dim64,16,,biological_pair_cosine_worst,4,0.004850049933226019,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_average,0,-0.002017956913948349,8
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_average,1,0.002423658535366968,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_average,2,0.0032271348261686417,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_average,3,0.0021063673168935835,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_average,4,1.4726090817478937e-05,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_worst,0,0.0025985537584209406,8
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_worst,1,0.006198638632927738,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_worst,2,0.01056430642179429,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_worst,3,0.00769312558786243,9
dimension_marginal,dim16_minus_dim64,16,,biological_retrieval_top1_worst,4,0.0030821744776736593,9
dimension_marginal,dim16_minus_dim64,16,,branch_cross_covariance_rms,0,-0.019403785342971495,8
dimension_marginal,dim16_minus_dim64,16,,branch_cross_covariance_rms,1,-0.018848848398085,9
dimension_marginal,dim16_minus_dim64,16,,branch_cross_covariance_rms,2,-0.01951910008986791,9
dimension_marginal,dim16_minus_dim64,16,,branch_cross_covariance_rms,3,-0.019139149785041814,9
dimension_marginal,dim16_minus_dim64,16,,branch_cross_covariance_rms,4,-0.02138034337096743,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_scanner_probe_accuracy,0,-0.009122300533116467,8
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_scanner_probe_accuracy,1,0.009364660031326688,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_scanner_probe_accuracy,2,0.019829126053763708,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_scanner_probe_accuracy,3,0.0029243738717422943,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_scanner_probe_accuracy,4,2.0286116531456314e-05,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_scanner_probe_accuracy,0,0.00252583506520887,8
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_scanner_probe_accuracy,1,-0.006875125670824637,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_scanner_probe_accuracy,2,-0.0020280709628535615,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_scanner_probe_accuracy,3,0.001433519696677611,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_scanner_probe_accuracy,4,0.005249004346483603,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_category_probe_accuracy,0,0.0005296301316225199,8
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_category_probe_accuracy,1,-0.0020581198968295986,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_category_probe_accuracy,2,0.0029188294260757974,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_category_probe_accuracy,3,-0.02541303725514252,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_category_probe_accuracy,4,0.003221428876990312,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_category_probe_accuracy,0,-0.045908135297129636,8
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_category_probe_accuracy,1,-0.07440648068246636,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_category_probe_accuracy,2,-0.0952217280840469,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_category_probe_accuracy,3,-0.10856592530276743,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,acquisition_category_probe_accuracy,4,-0.06828137123924187,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_pair_cosine_average,0,0.000546500730618224,8
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_pair_cosine_average,1,0.0010911271164980585,9
dimension_by_weight_interaction,dim16_vs_dim64_by_xcov0p05_vs_xcov0,16,0.05,biological_pair_cosine_average,2,0.0020108213414864093,9
