acquisition_dim,cross_covariance_weight,fold_pareto_count,fold_seed_pareto_count,stable_operating_region,fold_count,fold_seed_count
2,0.0,1,7,False,5,25
2,0.05,2,14,False,5,25
2,0.2,3,13,False,5,25
4,0.0,2,11,False,5,25
4,0.05,1,10,False,5,25
4,0.2,3,16,False,5,25
8,0.0,1,6,False,5,25
8,0.05,1,8,False,5,25
8,0.2,1,7,False,5,25
16,0.0,3,13,False,5,25
16,0.05,2,12,False,5,25
16,0.2,2,9,False,5,25
32,0.0,1,10,False,5,25
32,0.05,2,8,False,5,25
32,0.2,1,10,False,5,25
64,0.0,0,8,False,5,25
64,0.05,3,8,False,5,25
64,0.2,3,9,False,5,25
