cell_key,acquisition_dim,cross_covariance_weight,fold,seed,epochs,classification,run_id,record_sha256,code_commit,environment_sha256,dataset_source_sha256,split_manifest_sha256,pair_assignments_sha256
dim16-xcov0-fold0-seed911,16,0.0,0,911,75,valid and complete,parun-v1-ec895c446a2fb32716d4048c8bf19432e24187da819b5a73d11701f161d85dac,9a9a7efe4eb28328dbea0a7ce71f46cfd6e436552c856f954f47375aa07cff76,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,d569107cee1d5c33dc8acb011b678be13c8287cdff20ecd0d74c69622c527681
dim16-xcov0-fold0-seed912,16,0.0,0,912,75,valid and complete,parun-v1-61f3dca7cfcaf8bd74bbb6f7a070b83c8b07ba66a1c6b2318b5b6fe756a320bd,a0a7328b5dda265f89ce738558760336c62fc7fedf53e58fcb955f167bb57821,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,fa4685584229e9ec5493f5f4b7f8bb9add4374fa9aeae6e2719792c727a859b7
dim16-xcov0-fold0-seed913,16,0.0,0,913,75,valid and complete,parun-v1-24a846f1c03508e5deb2d1000279880456f0e0da21eff0b5fb290decac091058,3ad448ce338a761d95f509709f345d14519088cfb08c829768aaee1d30429e2f,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,aaf93a6fcf6e2a9d2a9fde816f911dde3574a64434ebab8795e3d83dc62e9153
dim16-xcov0-fold0-seed914,16,0.0,0,914,75,valid and complete,parun-v1-c23a9fb7df8d955faed711c1752960239ed00a7d33a7cac52bc43a85a36065f1,05cdedf548004a3e678c91b4503db52b2ac509d9ec483979003ee1285b5790f4,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,471e2cdd2fc6bef98846edeb5ba50f18c4f8656d7f52de795c18ce01d5c0e27c
dim16-xcov0-fold0-seed915,16,0.0,0,915,75,valid and complete,parun-v1-680f8f93f09b27cfe8f91ba37d7781133d2d91167c23a2f66488c6ea59f90580,559e1296652f8bd78558d2627a9c6f72bf611eeee321d1c9c963d1a83544bc82,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,19306704f6dc919790d13d0f77bfe2b6975b0fbf34388553f0a31aced97a7081,69e1fa8bfef235e1dcf46339bf46496ef60dc50aa1033dbc9113bcc9dcb09f09
dim16-xcov0-fold1-seed911,16,0.0,1,911,75,valid and complete,parun-v1-3cdacea862dbf7c24b3fec406442ada794829e7c4aa7e9cbfdcc8d644096d1d2,78dca721f7d95aaa6bf3958f26a4a281fec3acd2da7e5e166898d0989be66ae8,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,4b71f8ec363b6ac63db9f82872fa5c7ab5807a34e9ec5b0b43d6868e5fdbb9c2
dim16-xcov0-fold1-seed912,16,0.0,1,912,75,valid and complete,parun-v1-8197096270ab0870ee99248de16e974a7035bef20df13ca4abcd7fa677c8cf56,de72caf996bbcbbda02612c5255e6b5b545f165f10535ee569d553bd1ef5c7a5,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,f8c616da5b2df50729c7df94506e219d3178fc5210df108a9bd19fdc705bc64c
dim16-xcov0-fold1-seed913,16,0.0,1,913,75,valid and complete,parun-v1-8fbd6663b5a715a558b0c4907efebcbc5d218128ae56f77a08eeb5b4e640b5e9,fedfadbdc0966efd6246d0ec7261c81ea8bc5c06897b648662f7e581d32ef278,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,15982657a25be52fa73802a18ef4fdcdff3af4a7333ae1226cea85949040fe89
dim16-xcov0-fold1-seed914,16,0.0,1,914,75,valid and complete,parun-v1-8d328c68a3edbf48c70078fec319894893c211d94f29dc12856b13c0a0c02aed,609c3d60bae927286fc886bc4b15df0daf8485f57c276c4f7a07371e86965fbf,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,b6d68ca618d55dba9f14a3abab5eab20c9dd642686516063f1b5e92b03aa852a
dim16-xcov0-fold1-seed915,16,0.0,1,915,75,valid and complete,parun-v1-6e48207ed52fa86f1e90e6ea2085649e64898b22c21895ebae94984e3ce7b3d1,07363b951b8fd9c4274f782ce79d7ebaf28764f184820ce57c76c9e9ec2534da,ebead9009ee83816f5ac1ad5ca37e0cb8e7950fa,9654a265840ef7d8b1fb47e67bbb76458965a62afd55c36c11a398c91dfc98a6,5db383771614a9018a72d57ba8dd45c8f89adb4cb665103133aa8188496e3e80,96501c9be1258f74c119d9f88a61c6945cf51f8c56ab53147b6c0b10792b3212,41209e4d02ee396812654aa1c5f410b4b06c2428fbd18ad896ed92231aa7e68d
