run_id,variant,fold,seed,attempt,status,config_hash,source_commit,runtime_seconds,peak_gpu_memory_bytes,cell_manifest_path,cell_manifest_size_bytes,cell_manifest_sha256,checkpoint_path,checkpoint_size_bytes,checkpoint_sha256,projected_features_path,projected_features_size_bytes,projected_features_sha256,metrics_path,metrics_size_bytes,metrics_sha256,slide_metrics_path,slide_metrics_size_bytes,slide_metrics_sha256,training_history_path,training_history_size_bytes,training_history_sha256
fold0-paired_reference-seed801-0df3cd4a26a0a548,paired_reference,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,11.76990459999979,92233728,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/cell_manifest.json,2927,65f3ec2da96c7c564d3f1cb7eff85e3126695a4ec5c8c499e3d4390c60f01ed3,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/attempts/attempt_001/checkpoint.pt,4210786,0d403963ef623a8da5d8667b1fa759fb2ce6b3aaf6a09110897b13cab3e563a2,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/attempts/attempt_001/projected_features.npz,2280251,26ba7ad3b6833c23567f3101213b5d1dd7146bcafdd023e15e7feb8234b999f6,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/attempts/attempt_001/metrics.json,698,780e92b3f442b45806cf8180e6fcdc6843fad3ed0d5e294b20f4f90e720f58de,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/attempts/attempt_001/slide_metrics.csv,1500,a8ddb5fac932121650faedc6148dce0089ec0796f94d560bd408ec384f3397fa,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_801/fold0-paired_reference-seed801-0df3cd4a26a0a548/attempts/attempt_001/training_history.csv,510,5406508122c7f25ff62138aee14005772446722d5f147f5f51e4eb1750638032
fold0-two_branch_no_scanner_objectives-seed801-436f934219638848,two_branch_no_scanner_objectives,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,21.21038740000222,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/cell_manifest.json,2960,3d1ceefae32b402077c0d41c27d1f76cdc505101f0fb76cd43e16901078be028,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/attempts/attempt_001/checkpoint.pt,6208098,c54c79e348625942367bf4763d5ca1ff299b092242dba92e3a0025bcc86b9ece,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/attempts/attempt_001/projected_features.npz,2850717,5238e13a0841598d0f5c44b71f8752b813d1991af6172d92e725715ee5623159,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/attempts/attempt_001/metrics.json,761,95b2f4d46250e9ff6c7dfec1bbe6f8d309f8614266cf406aa5be5c04ba41133d,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/attempts/attempt_001/slide_metrics.csv,1856,caa2b842754d6f9c3c6d66e6769f72f6f85af391402287c5e62ac1c025018355,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_801/fold0-two_branch_no_scanner_objectives-seed801-436f934219638848/attempts/attempt_001/training_history.csv,991,055a9afcf7706e910028d385e632f15e7d942e751d1e40973e0bd08d7c3ee79b
fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2,pathoalign_dep20,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,20.00656909999816,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/cell_manifest.json,2928,f4b4bf134f77817b1ab31e226080e7b13a8eff533a658a5794b4dabf81f49326,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/attempts/attempt_001/checkpoint.pt,6208098,c4fc76e1b92fa0de4ae27fbcf8e88a96914d7684d28a500827bbc16207233f97,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/attempts/attempt_001/projected_features.npz,2848707,febe609d3eebc637a1b9a2a81402c850cd22734dcc109dbc7cba319fe45ab2ad,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/attempts/attempt_001/metrics.json,740,905f1b7f0fcd38421e53314d909f704f476b4e3578fb6ed7706db0f1a7233161,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/attempts/attempt_001/slide_metrics.csv,1541,c19bd0865b4cbc5e02eb681aa7493366632cf8e3e7a475b48b98f4447aeea9fc,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_801/fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2/attempts/attempt_001/training_history.csv,984,3588b012cff3c14d3c35d53123ad28833d2a1dbf22e64fcf3bc7138b3f9eeceb
fold0-no_adversary-seed801-31ee5d51a9cd82f6,no_adversary,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,20.241427299999486,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/cell_manifest.json,2921,2a1793c9df944b1247c9ecbebc84d44d1c187ae1aa523416ca5d79575499b4c5,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/attempts/attempt_001/checkpoint.pt,6208098,2f57df63da297307fba1ec576ac168848e2bcaccde4b3655cedec4a05d0bec7f,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/attempts/attempt_001/projected_features.npz,2847709,b989244a9a8b402f3258fc99305181cd23fdcb4cfa371f8fa90553a90cf024db,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/attempts/attempt_001/metrics.json,721,21232d78682721223de789baba478394fcfac912bd0924e7d8d88b1b2d00d927,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/attempts/attempt_001/slide_metrics.csv,1461,2960f3d1e23eff87bba292ffa2da08de503a05bab10470729d3d3e0590b3ee7b,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_adversary/seed_801/fold0-no_adversary-seed801-31ee5d51a9cd82f6/attempts/attempt_001/training_history.csv,992,3d53378faaba02006f51415c56392a758633cfc3cc8381e957fc4cef7f89836c
fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb,no_acquisition_classifier,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,19.81614880000052,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/cell_manifest.json,2947,9d7dcd2d2863e8e5b0d9d7a8a7e66054ed1ad6a97d8a6fb25b6b7ba9a8cbc9c5,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/attempts/attempt_001/checkpoint.pt,6208098,ebd489ed6a0e0890f7243d925426a163bebda27110c44c172732e778ae5cefd1,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/attempts/attempt_001/projected_features.npz,2851010,d8abb581a20f93cb9160b2b4037384b56585d413465456f503c483b9da067633,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/attempts/attempt_001/metrics.json,758,5002366d48bc36d59272a69fe0b37991d96fa27a90e2f9ccc892f0b90fff9aa4,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/attempts/attempt_001/slide_metrics.csv,1716,5baf5b1776b5a9690c1e4f580204f94542f9921044e44d74509387e0fea33751,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_acquisition_classifier/seed_801/fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb/attempts/attempt_001/training_history.csv,1034,65609b997dd45a9356ca4def3af7cc1b291cf5127efac7b3a91c695bc1fc5b1e
fold0-no_scanner_dependence-seed801-df7fa3ef52544895,no_scanner_dependence,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,19.64897850000125,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/cell_manifest.json,2938,23f85b12e9ff101e45957c7aedeaf590c5705ea5fc3fc12a4d9d88ca3ea9fff8,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/attempts/attempt_001/checkpoint.pt,6208098,88d8b9833027eee9e819d286c3aeb706b5630c7e70fb4803dfb7582feb3c514f,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/attempts/attempt_001/projected_features.npz,2851123,249c23aab20c820f1665566a7ca28e6dc26d14b709ebc6c19576615cebad22e9,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/attempts/attempt_001/metrics.json,763,b8113893e3cbf005a24b693d977a2096aae02298a04f3d4e2b3ad90db1fda59c,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/attempts/attempt_001/slide_metrics.csv,1639,081c426ee3581b065801dc1f26ab80f3b30b154217f5f0a325a6d113875350e6,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_scanner_dependence/seed_801/fold0-no_scanner_dependence-seed801-df7fa3ef52544895/attempts/attempt_001/training_history.csv,1006,af046600c8280dde3bf75b64c36c8ad4917c9bf2cdb8b19b0e5b62e749095a25
fold0-no_cross_covariance-seed801-e4a49e1e3581ce94,no_cross_covariance,0,801,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,19.297518799998215,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/cell_manifest.json,2935,1e3609b832a1ffc2eb4fcd55d0b5750f26af2deff9ef1bdd105ca63cb071db66,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/attempts/attempt_001/checkpoint.pt,6208098,f624cf10281c01466f7526c390d3bf6a46fb1f2367b6d51a7b7c1fef9dd263ee,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/attempts/attempt_001/projected_features.npz,2848283,6212451f2f5d4e02fd9cba55701125aeb2cafc3fee11b912cff68d2041dca2e1,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/attempts/attempt_001/metrics.json,736,cb658f9dc4a932efd01e9618ee96d83bec39524924ad28ba9860d1dbfa9793ca,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/attempts/attempt_001/slide_metrics.csv,1599,9249ee3366dd5ecd52374002ba3be364c615978df7c7e6b4210d13cc48bb4d4a,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/no_cross_covariance/seed_801/fold0-no_cross_covariance-seed801-e4a49e1e3581ce94/attempts/attempt_001/training_history.csv,990,7c1a873a1c8f6c4214d337fa9200287d13763f1968ec9ef08aa31a078a45e3d4
fold0-paired_reference-seed802-445b74b2b6ea0fab,paired_reference,0,802,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,10.683700400000816,92233728,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/cell_manifest.json,2928,8e7a425ef1a11b4816ff982c6fb579941b423ccb7ef0d5652f6e980539fc2d63,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/attempts/attempt_001/checkpoint.pt,4210786,03ebd066caf0c0ef771d9853598607b40284fe7a12bbe75f596bd2708f729371,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/attempts/attempt_001/projected_features.npz,2280361,803097ec5479a1c4e5fa4ef6b04080aabd74cb274a12f25063ee2db4b484eec6,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/attempts/attempt_001/metrics.json,712,683e50e45bce249b44a8d1f30b8c43ef02b30b87b6974ee3d6a6c41b53004af5,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/attempts/attempt_001/slide_metrics.csv,1500,f45917978390fc81ac22f13a7fd063394b8d0cffe71221d9f149a8f6d32d2bdb,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/paired_reference/seed_802/fold0-paired_reference-seed802-445b74b2b6ea0fab/attempts/attempt_001/training_history.csv,511,cbd82c86063b6118b947dad15928904a7cf4cf5c8d21a130fae0b3cb585294a6
fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e,two_branch_no_scanner_objectives,0,802,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,21.146106999996846,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/cell_manifest.json,2960,195524d5298cef3631e1c9ddd377c6bc92a785300a22e46ded597ef5650b8d3c,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/attempts/attempt_001/checkpoint.pt,6208098,5ee5c20758cafa0abbc94a1779ffad668b796e734cc4f8bb0f46faef72fb4f29,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/attempts/attempt_001/projected_features.npz,2850664,8dd29783cc2309c015db056a7732a5e1bf34d3b0360aef3ca6074e88b1227052,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/attempts/attempt_001/metrics.json,773,09e980a0e8167084720926023a49790de63cc4ac9cdb8614010ae5e3b7ce6e27,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/attempts/attempt_001/slide_metrics.csv,1858,8fbdf942ad4116df2810baa2152f7ee573feaf194ffa252ca2d614c7ffcd7b49,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/two_branch_no_scanner_objectives/seed_802/fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e/attempts/attempt_001/training_history.csv,971,8c684b83d7fac95fbc20250c134173ae5f850df70cd6405410a74e6ad38a9c3f
fold0-pathoalign_dep20-seed802-3bb821dc3eb31139,pathoalign_dep20,0,802,1,valid,59ba04450adf738aa2983dc40ecb4ff09ffa495f13d43c56edde5ec57707a2e1,0adea50f1ef22865969109f1834a3c175e3f8b43,19.84406029999809,101677056,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/cell_manifest.json,2927,0252737f39c405be05eb08fae286d76d334c5696e0a75113a8b9c62696d8efbd,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/attempts/attempt_001/checkpoint.pt,6208098,58d36272b6d0dfe79a2fb690de965a41bc05e6553c9d9bd5c05287d88e522959,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/attempts/attempt_001/projected_features.npz,2849081,8ce12368c30351c2ed63d7ee42c76e4c12c5d2db3c6a866adb09445a4697da90,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/attempts/attempt_001/metrics.json,740,8b08f947f39ebf1b3f1d477af57aac9def9fd26a12b23c21fa3de20a8a57d51a,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/attempts/attempt_001/slide_metrics.csv,1541,6c12540402b40989161f28ce6f11b0d7ab851feb3b2bca18bf676808a6c745fb,results/scorpion/pathoalign_capacity_matched_ablations_v1/cells/fold_0/pathoalign_dep20/seed_802/fold0-pathoalign_dep20-seed802-3bb821dc3eb31139/attempts/attempt_001/training_history.csv,987,5065caa55bc98cb94130dea4d74e50311b54dd7d75b9994d00964ee148d9cd88
