variant,fold,seed,run_id,status
paired_reference,0,801,fold0-paired_reference-seed801-0df3cd4a26a0a548,completed
two_branch_no_scanner_objectives,0,801,fold0-two_branch_no_scanner_objectives-seed801-436f934219638848,completed
pathoalign_dep20,0,801,fold0-pathoalign_dep20-seed801-1ceda8f5a7100fc2,completed
no_adversary,0,801,fold0-no_adversary-seed801-31ee5d51a9cd82f6,completed
no_acquisition_classifier,0,801,fold0-no_acquisition_classifier-seed801-84d95fa4bd1c72eb,completed
no_scanner_dependence,0,801,fold0-no_scanner_dependence-seed801-df7fa3ef52544895,completed
no_cross_covariance,0,801,fold0-no_cross_covariance-seed801-e4a49e1e3581ce94,completed
paired_reference,0,802,fold0-paired_reference-seed802-445b74b2b6ea0fab,completed
two_branch_no_scanner_objectives,0,802,fold0-two_branch_no_scanner_objectives-seed802-9809a268b99ce69e,completed
pathoalign_dep20,0,802,fold0-pathoalign_dep20-seed802-3bb821dc3eb31139,completed
no_adversary,0,802,fold0-no_adversary-seed802-9a241deb41f96f51,completed
no_acquisition_classifier,0,802,fold0-no_acquisition_classifier-seed802-7fc8d21cc142e6db,completed
no_scanner_dependence,0,802,fold0-no_scanner_dependence-seed802-c68856fe7154350a,completed
no_cross_covariance,0,802,fold0-no_cross_covariance-seed802-04856c93d781778d,completed
paired_reference,0,803,fold0-paired_reference-seed803-7591c26ec85e4d59,completed
two_branch_no_scanner_objectives,0,803,fold0-two_branch_no_scanner_objectives-seed803-025a4ad5b7d2809e,completed
pathoalign_dep20,0,803,fold0-pathoalign_dep20-seed803-a297742f2bcf32b1,completed
no_adversary,0,803,fold0-no_adversary-seed803-a8459e6ea6309a5b,completed
no_acquisition_classifier,0,803,fold0-no_acquisition_classifier-seed803-ef2271e3025b140f,completed
no_scanner_dependence,0,803,fold0-no_scanner_dependence-seed803-d1854fc69b9459f5,completed
no_cross_covariance,0,803,fold0-no_cross_covariance-seed803-51598000a0fc85e6,completed
paired_reference,0,804,fold0-paired_reference-seed804-fde6e4f355131e72,completed
two_branch_no_scanner_objectives,0,804,fold0-two_branch_no_scanner_objectives-seed804-35f6108e2ae4ae3b,completed
pathoalign_dep20,0,804,fold0-pathoalign_dep20-seed804-a43abd823cb52b25,completed
no_adversary,0,804,fold0-no_adversary-seed804-da54c137357fde78,completed
