dataset,backbone,ladder_level,condition,paired_cosine_mean,paired_cosine_std,top1_retrieval_mean,top1_retrieval_std,bio_scanner_probe_mean,bio_scanner_probe_std,n_runs,source_commit,source_result_file
SCORPION,DINOv2,0,true_same_region_pairs,0.8796,0.0064,0.9999,0.0002,0.3998,0.0376,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
SCORPION,DINOv2,1,same_slide_different_region_pairs,0.8089,0.0056,0.9954,0.0024,0.3736,0.0288,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
SCORPION,DINOv2,2,shuffled_sample_pairs,0.7668,0.0089,0.9792,0.0051,0.3588,0.0378,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
SCORPION,DINOv2,3,scanner_balanced_random_pairs,0.7247,0.0131,0.9723,0.0092,0.3899,0.0295,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
SCORPION,DINOv2,4,fully_random_pairs,0.7289,0.0120,0.9757,0.0075,0.3877,0.0240,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
canineSCC,DINOv2,0,true_same_region_pairs,0.7300,0.0117,0.9334,0.0130,0.3614,0.0175,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
canineSCC,DINOv2,1,same_slide_different_region_pairs,0.5422,0.0208,0.7293,0.0172,0.3057,0.0208,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
canineSCC,DINOv2,2,shuffled_sample_pairs,0.5849,0.0228,0.7183,0.0210,0.4093,0.0310,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
canineSCC,DINOv2,3,scanner_balanced_random_pairs,0.5445,0.0230,0.7341,0.0179,0.3551,0.0172,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
canineSCC,DINOv2,4,fully_random_pairs,0.5462,0.0192,0.7367,0.0149,0.3739,0.0222,25,e4819c42,results/paired_acquisition_factorization_pair_structure_boundary_test/boundary_summary.csv
SCORPION,Phikon,0,true_same_region_pairs,0.8645,0.0061,0.9997,0.0004,0.5200,0.0464,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,Phikon,1,same_slide_different_region_pairs,0.6913,0.0077,0.9603,0.0080,0.4341,0.0365,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,Phikon,2,shuffled_sample_pairs,0.6158,0.0168,0.8763,0.0176,0.4085,0.0502,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,Phikon,3,scanner_balanced_random_pairs,0.5747,0.0160,0.8606,0.0183,0.4560,0.0445,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,Phikon,4,fully_random_pairs,0.5775,0.0117,0.8665,0.0186,0.4597,0.0309,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,ResNet50,0,true_same_region_pairs,0.6544,0.0085,0.9726,0.0065,0.3145,0.0433,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,ResNet50,1,same_slide_different_region_pairs,0.5188,0.0098,0.8839,0.0162,0.3045,0.0318,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,ResNet50,2,shuffled_sample_pairs,0.5083,0.0087,0.8775,0.0146,0.3067,0.0333,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,ResNet50,3,scanner_balanced_random_pairs,0.4913,0.0140,0.8158,0.0126,0.3592,0.0293,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
SCORPION,ResNet50,4,fully_random_pairs,0.4935,0.0161,0.8107,0.0243,0.3638,0.0336,25,d018c924,results/paired_acquisition_factorization_pair_structure_boundary_crossbackbone/boundary_summary.csv
