variant,acquisition_dim,cross_covariance_weight,phase,acq_scanner_capture,acq_scanner_std,acq_category_leakage,acq_category_std,bio_scanner_probe,bio_scanner_std,bio_category_probe,bio_category_std,bio_scanner_heldout_transfer,acq_scanner_heldout_transfer,bio_sample_disjoint_transfer,bio_scanner_confounded,cross_backbone_pair_retrieval_leakage_if_available,dataset_backbone,boundary_note,source_commit,source_result_file
true_pair,64,0.05,full,0.865,0.023,0.346,0.058,0.361,0.018,0.386,0.057,0.827,0.515,0.326,0.379,0.0944,canineSCC_DINOv2;SCORPION_DINOv2,baseline 64D acquisition branch; highest category leakage (0.346); highest SCORPION retrieval leakage (0.0944),a89bfb32;c29a038d;0e2af247,"frontier_variant_summary.csv;frontier_downstream_summary.csv;frontier_crossbackbone_summary.csv"
acq_dim8_default,8,0.05,full,0.864,0.022,0.160,0.028,0.369,0.023,0.385,0.061,0.822,0.175,0.329,0.379,0.0231,canineSCC_DINOv2;SCORPION_DINOv2,bottlenecked (8D default xcov): category leakage δ=−0.186 vs true_pair; scanner capture preserved; SCORPION retrieval leakage δ=−0.071 (DINOv2),a89bfb32;c29a038d;0e2af247,"frontier_variant_summary.csv;frontier_downstream_summary.csv;frontier_crossbackbone_summary.csv"
acq_dim16_stronger_xcov,16,0.20,full,0.864,0.025,0.169,0.027,0.359,0.028,0.382,0.058,0.829,0.204,0.337,0.376,0.0253,canineSCC_DINOv2;SCORPION_DINOv2,bottlenecked (16D stronger xcov): category leakage δ=−0.177; stronger cross-covariance penalty (0.20); slightly lower bio scanner probe (0.359),a89bfb32;c29a038d;0e2af247,"frontier_variant_summary.csv;frontier_downstream_summary.csv;frontier_crossbackbone_summary.csv"
SCORPION_DINOv2_true_pair,64,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0944,SCORPION_DINOv2,tissue/pair-retrieval leakage in acquisition branch; baseline (64D),0e2af247,frontier_crossbackbone_summary.csv
SCORPION_DINOv2_acq_dim8,8,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0231,SCORPION_DINOv2,tissue/pair-retrieval leakage reduced δ=−0.071 (not category leakage — SCORPION lacks labels),0e2af247,frontier_crossbackbone_summary.csv
SCORPION_Phikon_true_pair,64,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0739,SCORPION_Phikon,tissue/pair-retrieval leakage in acquisition branch; baseline (64D),0e2af247,frontier_crossbackbone_summary.csv
SCORPION_Phikon_acq_dim8,8,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0204,SCORPION_Phikon,tissue/pair-retrieval leakage reduced δ=−0.054,0e2af247,frontier_crossbackbone_summary.csv
SCORPION_ResNet50_true_pair,64,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1705,SCORPION_ResNet50,tissue/pair-retrieval leakage in acquisition branch; baseline (64D); highest leakage among backbones,0e2af247,frontier_crossbackbone_summary.csv
SCORPION_ResNet50_acq_dim8,8,0.05,full,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0505,SCORPION_ResNet50,tissue/pair-retrieval leakage reduced δ=−0.120; largest absolute reduction (ResNet50 has highest baseline leakage),0e2af247,frontier_crossbackbone_summary.csv
smoke_variants:,various,various,smoke,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6 smoke variants (dim∈{8,16,32,64} × xcov∈{0.05,0.20}) provide supporting evidence at 1-fold×1-seed; not included in main figure",a89bfb32,frontier_variant_summary.csv
