variant,swap_type,aggregate_level,swap_description,n_swaps,scanner_follow_rate_probe,category_preservation_rate_probe,branch_space_bio_category_purity_k1,branch_space_acq_scanner_purity_k1,decoder_scanner_follow_rate,decoder_category_preservation_rate,target_scanner_nn_rate,source_category_nn_rate,limitation_note,missingness_note,value_source,source_commit,source_result_file
true_pair,A,variant_x_swap_type,same_sample_diff_scanner,3750,0.871,0.411,0.980,0.880,0.901,0.970,0.558,0.996,strongest swap test (biology fixed scanner changes); decoder scanner follow 0.901 decoder category preservation 0.970,decoder metrics available for Type A at variant level (per acquisition_swapping_report.md),probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity from manuscript aggregate (per-variant, invariant across swap types); decoder metrics from acquisition_swapping_report.md (per-variant Type A only); target/source NN rates from manuscript aggregate (per-variant),aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
true_pair,B,variant_x_swap_type,same_category_diff_sample,1731,0.850,0.423,0.980,0.880,N/A,N/A,0.558,0.996,category preserved scanner changes across samples,decoder metrics N/A for Type B — per-swap-type decoder breakdown not available; decoder metrics reported at variant level for Type A only; global aggregate decoder scanner follow = 0.806,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level (invariant across swap types within variant),aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
true_pair,C,variant_x_swap_type,diff_category_diff_scanner,2530,0.853,0.381,0.980,0.880,N/A,N/A,0.558,0.996,both category and scanner change; interpretation ambiguous,decoder metrics N/A for Type C — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
true_pair,D,variant_x_swap_type,random_acquisition,3745,0.861,0.421,0.980,0.880,N/A,N/A,0.558,0.996,unstructured swap control; scanner follow rate high (0.861) but category preservation modest,decoder metrics N/A for Type D — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim8_default,A,variant_x_swap_type,same_sample_diff_scanner,3750,0.870,0.415,0.980,0.880,0.901,0.978,0.135,0.996,bottlenecked (8D): preserved scanner follow improved decoder category preservation (0.978),decoder metrics available for Type A at variant level,probe metrics from acquisition_swapping_summary.csv; branch-space purity per-variant; decoder metrics from acquisition_swapping_report.md (per-variant Type A); NN rates per-variant,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim8_default,B,variant_x_swap_type,same_category_diff_sample,1797,0.838,0.398,0.980,0.880,N/A,N/A,0.135,0.996,bottlenecked: lower scanner follow (0.838) but improved category preservation,decoder metrics N/A for Type B — see Type A row for variant-level decoder values,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim8_default,C,variant_x_swap_type,diff_category_diff_scanner,2507,0.840,0.383,0.980,0.880,N/A,N/A,0.135,0.996,bottlenecked: mixed category/scanner changes,decoder metrics N/A for Type C — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim8_default,D,variant_x_swap_type,random_acquisition,3744,0.858,0.404,0.980,0.880,N/A,N/A,0.135,0.996,bottlenecked random swap; scanner NN collapses under bottleneck (0.135),decoder metrics N/A for Type D — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim16_stronger_xcov,A,variant_x_swap_type,same_sample_diff_scanner,3750,0.876,0.417,0.980,0.880,0.901,0.992,0.152,0.996,bottlenecked (16D stronger xcov): highest decoder category preservation (0.992),decoder metrics available for Type A at variant level,probe metrics from acquisition_swapping_summary.csv; branch-space purity per-variant; decoder metrics from acquisition_swapping_report.md (per-variant Type A); NN rates per-variant,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim16_stronger_xcov,B,variant_x_swap_type,same_category_diff_sample,1732,0.834,0.372,0.980,0.880,N/A,N/A,0.152,0.996,bottlenecked: lower scanner follow (0.834) but improved decoder category preservation,decoder metrics N/A for Type B — see Type A row for variant-level decoder values,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim16_stronger_xcov,C,variant_x_swap_type,diff_category_diff_scanner,2532,0.856,0.380,0.980,0.880,N/A,N/A,0.152,0.996,bottlenecked: mixed scanner/category changes,decoder metrics N/A for Type C — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
acq_dim16_stronger_xcov,D,variant_x_swap_type,random_acquisition,3747,0.853,0.417,0.980,0.880,N/A,N/A,0.152,0.996,bottlenecked random swap; improved category preservation (0.417),decoder metrics N/A for Type D — same reason as Type B,probe metrics from acquisition_swapping_summary.csv (per-swap-type); branch-space purity and NN rates at variant level,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_nearest_neighbor_metrics.csv;acquisition_swapping_probe_metrics.csv"
ALL_VARIANTS,ALL,global,aggregate across all variants and swap types,35315,0.855,N/A,N/A,N/A,0.806,N/A,N/A,N/A,aggregate scanner follow rate across all variants and swap types: 0.855 (branch-space probe) 0.806 (decoder-space global aggregate); decoder category preservation N/A at global level (reported per-variant Type A: 0.970-0.992),global aggregates — per-swap-type breakdown not applicable; see individual rows for per-type probe metrics and Type A decoder metrics,probe aggregate from acquisition_swapping_report.md (CLAIM_5: 0.855 avg scanner follow); decoder aggregate 0.806 from manuscript Section 8.2,aa8d0596,"acquisition_swapping_summary.csv;acquisition_swapping_report.md"
