policy,eval_group,split,center,n,accuracy,balanced_accuracy,macro_f1,auc,seed
downweight_dominant_center,split,id_val,all,3000,0.9126666666666666,0.9126666666666668,0.9126666278518346,0.9647248888888889,1
downweight_dominant_center,split,test,all,1000,0.889,0.889,0.8888932263905613,0.95782,1
downweight_dominant_center,split,train,all,3000,0.919,0.919,0.9189984789714384,0.9677475555555556,1
downweight_dominant_center,split,val,all,1000,0.821,0.821,0.818600998201211,0.917112,1
downweight_dominant_center,split_center,id_val,0,1000,0.89,0.89,0.8899255896986362,0.956292,1
downweight_dominant_center,split_center,id_val,3,1000,0.921,0.921,0.9208669773889908,0.97218,1
downweight_dominant_center,split_center,id_val,4,1000,0.927,0.927,0.9269788969012044,0.97604,1
downweight_dominant_center,split_center,test,2,1000,0.889,0.889,0.8888932263905613,0.95782,1
downweight_dominant_center,split_center,train,0,1000,0.908,0.908,0.907990799079908,0.968228,1
downweight_dominant_center,split_center,train,3,1000,0.913,0.913,0.9128807337244688,0.963616,1
downweight_dominant_center,split_center,train,4,1000,0.936,0.936,0.935987453540894,0.981636,1
downweight_dominant_center,split_center,val,1,1000,0.821,0.821,0.818600998201211,0.917112,1
equal_client,split,id_val,all,3000,0.9133333333333332,0.9133333333333332,0.9133314458848214,0.9662142222222224,1
equal_client,split,test,all,1000,0.895,0.895,0.8949233991579861,0.959368,1
equal_client,split,train,all,3000,0.9223333333333332,0.9223333333333332,0.9223227605979702,0.9689817777777778,1
equal_client,split,val,all,1000,0.825,0.825,0.8228169273620276,0.920984,1
equal_client,split_center,id_val,0,1000,0.898,0.898,0.8979800040807999,0.960284,1
equal_client,split_center,id_val,3,1000,0.918,0.918,0.917840940059956,0.97288,1
equal_client,split_center,id_val,4,1000,0.924,0.924,0.9239805390179886,0.976112,1
equal_client,split_center,test,2,1000,0.895,0.895,0.8949233991579861,0.959368,1
equal_client,split_center,train,0,1000,0.919,0.919,0.9189992709934388,0.972184,1
equal_client,split_center,train,3,1000,0.911,0.911,0.9108351341630676,0.963896,1
equal_client,split_center,train,4,1000,0.937,0.937,0.9369923760775054,0.981652,1
equal_client,split_center,val,1,1000,0.825,0.825,0.8228169273620276,0.920984,1
fedavg_equal_patch,split,id_val,all,3000,0.928,0.928,0.927999199991111,0.977912,1
fedavg_equal_patch,split,test,all,1000,0.813,0.813,0.8094230614401705,0.946076,1
fedavg_equal_patch,split,train,all,3000,0.9836666666666668,0.9836666666666668,0.9836657065731976,0.9981373333333332,1
fedavg_equal_patch,split,val,all,1000,0.87,0.87,0.869995319831514,0.935396,1
fedavg_equal_patch,split_center,id_val,0,1000,0.923,0.923,0.9229999229999232,0.977996,1
fedavg_equal_patch,split_center,id_val,3,1000,0.92,0.92,0.9199612612504452,0.968108,1
fedavg_equal_patch,split_center,id_val,4,1000,0.941,0.941,0.9409928601360764,0.9864,1
fedavg_equal_patch,split_center,test,2,1000,0.813,0.813,0.8094230614401705,0.946076,1
fedavg_equal_patch,split_center,train,0,1000,0.985,0.985,0.9849992649639832,0.997876,1
fedavg_equal_patch,split_center,train,3,1000,0.977,0.977,0.976996112342986,0.99728,1
fedavg_equal_patch,split_center,train,4,1000,0.989,0.989,0.9889999009991092,0.999112,1
fedavg_equal_patch,split_center,val,1,1000,0.87,0.87,0.869995319831514,0.935396,1
downweight_dominant_center,split,id_val,all,3000,0.9146666666666666,0.9146666666666668,0.9146648082558242,0.9667835555555556,2
downweight_dominant_center,split,test,all,1000,0.915,0.915,0.9149958347959052,0.9591,2
downweight_dominant_center,split,train,all,3000,0.9233333333333332,0.9233333333333332,0.923333299259244,0.9682933333333332,2
downweight_dominant_center,split,val,all,1000,0.827,0.827,0.8242539682539682,0.9264039999999998,2
downweight_dominant_center,split_center,id_val,0,1000,0.892,0.892,0.8919961118600269,0.963644,2
downweight_dominant_center,split_center,id_val,3,1000,0.92,0.92,0.9199074129693928,0.969816,2
downweight_dominant_center,split_center,id_val,4,1000,0.932,0.932,0.9319866693872,0.976964,2
downweight_dominant_center,split_center,test,2,1000,0.915,0.915,0.9149958347959052,0.9591,2
downweight_dominant_center,split_center,train,0,1000,0.885,0.885,0.8849860833160812,0.952588,2
downweight_dominant_center,split_center,train,3,1000,0.943,0.943,0.9429903653717476,0.978952,2
downweight_dominant_center,split_center,train,4,1000,0.942,0.942,0.942,0.979856,2
downweight_dominant_center,split_center,val,1,1000,0.827,0.827,0.8242539682539682,0.9264039999999998,2
equal_client,split,id_val,all,3000,0.9176666666666666,0.9176666666666666,0.9176589723550834,0.9680035555555556,2
equal_client,split,test,all,1000,0.92,0.92,0.92,0.959984,2
equal_client,split,train,all,3000,0.9253333333333332,0.9253333333333332,0.9253268284703912,0.9700875555555556,2
equal_client,split,val,all,1000,0.831,0.831,0.828488906073827,0.92978,2
equal_client,split_center,id_val,0,1000,0.899,0.899,0.898999898999899,0.967268,2
equal_client,split_center,id_val,3,1000,0.921,0.921,0.9208796579597568,0.970044,2
equal_client,split_center,id_val,4,1000,0.933,0.933,0.9329918920189344,0.977156,2
equal_client,split_center,test,2,1000,0.92,0.92,0.92,0.959984,2
equal_client,split_center,train,0,1000,0.899,0.899,0.8989974749368734,0.958,2
equal_client,split_center,train,3,1000,0.937,0.937,0.936977248786812,0.979488,2
equal_client,split_center,train,4,1000,0.94,0.94,0.93999903998464,0.980052,2
equal_client,split_center,val,1,1000,0.831,0.831,0.828488906073827,0.92978,2
fedavg_equal_patch,split,id_val,all,3000,0.934,0.934,0.9339970665362904,0.9780782222222222,2
fedavg_equal_patch,split,test,all,1000,0.816,0.8160000000000001,0.8123215014279885,0.954052,2
fedavg_equal_patch,split,train,all,3000,0.981,0.981,0.9809998289984608,0.9982231111111112,2
fedavg_equal_patch,split,val,all,1000,0.852,0.852,0.8518079430942501,0.921128,2
