policy,eval_group,split,center,n,accuracy,balanced_accuracy,macro_f1,auc
downweight_dominant_center,split,id_val,all,3000,0.9086666666666666,0.9086666666666666,0.908666301331872,0.9602457777777776
downweight_dominant_center,split,test,all,1000,0.924,0.924,0.923999695998784,0.9620960000000002
downweight_dominant_center,split,train,all,3000,0.9273333333333333,0.9273333333333333,0.927333042665504,0.9743862222222223
downweight_dominant_center,split,val,all,1000,0.798,0.798,0.793092993432239,0.90622
downweight_dominant_center,split_center,id_val,0,1000,0.889,0.889,0.888959914529145,0.95688
downweight_dominant_center,split_center,id_val,3,1000,0.908,0.9079999999999999,0.9079171254128715,0.967596
downweight_dominant_center,split_center,id_val,4,1000,0.929,0.929,0.9289982249556239,0.9681399999999999
downweight_dominant_center,split_center,test,2,1000,0.924,0.924,0.923999695998784,0.9620960000000002
downweight_dominant_center,split_center,train,0,1000,0.914,0.914,0.91399690388854,0.968308
downweight_dominant_center,split_center,train,3,1000,0.923,0.923,0.9229721929616592,0.978276
downweight_dominant_center,split_center,train,4,1000,0.945,0.945,0.9449973048679385,0.984192
downweight_dominant_center,split_center,val,1,1000,0.798,0.798,0.793092993432239,0.90622
equal_client,split,id_val,all,3000,0.9096666666666666,0.9096666666666666,0.9096637658698151,0.9617013333333333
equal_client,split,test,all,1000,0.928,0.928,0.9279953917050692,0.962904
equal_client,split,train,all,3000,0.9293333333333333,0.9293333333333333,0.9293295328326545,0.9753679999999999
equal_client,split,val,all,1000,0.798,0.798,0.7934763049843778,0.9099240000000001
equal_client,split_center,id_val,0,1000,0.895,0.895,0.8949822520005881,0.96016
equal_client,split_center,id_val,3,1000,0.906,0.9059999999999999,0.9059036453328209,0.9680519999999999
equal_client,split_center,id_val,4,1000,0.928,0.928,0.927999711998848,0.968948
equal_client,split_center,test,2,1000,0.928,0.928,0.9279953917050692,0.962904
equal_client,split_center,train,0,1000,0.918,0.918,0.918,0.9711799999999999
equal_client,split_center,train,3,1000,0.923,0.923,0.9229438260491899,0.978784
equal_client,split_center,train,4,1000,0.947,0.947,0.9469986749668742,0.9837
equal_client,split_center,val,1,1000,0.798,0.798,0.7934763049843778,0.9099240000000001
fedavg_equal_patch,split,id_val,all,3000,0.9263333333333333,0.9263333333333333,0.9263331287031353,0.9762746666666666
fedavg_equal_patch,split,test,all,1000,0.866,0.866,0.864954205366357,0.959012
fedavg_equal_patch,split,train,all,3000,0.9826666666666667,0.9826666666666667,0.9826657344683869,0.9984262222222222
fedavg_equal_patch,split,val,all,1000,0.84,0.8400000000000001,0.8397435897435898,0.9060280000000001
fedavg_equal_patch,split_center,id_val,0,1000,0.911,0.911,0.9109528940809688,0.972812
fedavg_equal_patch,split_center,id_val,3,1000,0.925,0.925,0.9249669104074897,0.970936
fedavg_equal_patch,split_center,id_val,4,1000,0.943,0.943,0.9429994869953829,0.986972
fedavg_equal_patch,split_center,test,2,1000,0.866,0.866,0.864954205366357,0.959012
fedavg_equal_patch,split_center,train,0,1000,0.983,0.983,0.982998622888454,0.996748
fedavg_equal_patch,split_center,train,3,1000,0.977,0.977,0.9769988729447743,0.998656
fedavg_equal_patch,split_center,train,4,1000,0.988,0.988,0.9879995679844474,0.9993679999999999
fedavg_equal_patch,split_center,val,1,1000,0.84,0.8400000000000001,0.8397435897435898,0.9060280000000001
