eval_group,split,center,n,accuracy,balanced_accuracy,macro_f1,auc
split,id_val,all,3000,0.9383333333333334,0.9383333333333332,0.9383331620365613,0.9805044444444444
split,test,all,1000,0.821,0.821,0.8172632154936292,0.949664
split,train,all,3000,0.9823333333333333,0.9823333333333333,0.9823324676242469,0.9984142222222223
split,val,all,1000,0.882,0.882,0.8819981119697915,0.93974
split_center,id_val,0,1000,0.936,0.9359999999999999,0.935990782672705,0.9794959999999999
split_center,id_val,3,1000,0.931,0.931,0.9309993789944109,0.975836
split_center,id_val,4,1000,0.948,0.948,0.9479898060019764,0.986548
split_center,test,2,1000,0.821,0.821,0.8172632154936292,0.949664
split_center,train,0,1000,0.983,0.983,0.982999166959181,0.998236
split_center,train,3,1000,0.982,0.982,0.9819988479262672,0.998008
split_center,train,4,1000,0.982,0.982,0.9819993519766712,0.99898
split_center,val,1,1000,0.882,0.882,0.8819981119697915,0.93974
