regime,clients,rounds,precision,params_transmitted,total_mb,total_gb
full_resnet18_federation,3,5,fp32,11177538,1279.167709350586,1.2491872161626816
feature_head_federation,3,5,fp32,1026,0.1174163818359375,0.00011466443538665771
full_resnet18_federation,3,5,fp16,11177538,639.583854675293,0.6245936080813408
feature_head_federation,3,5,fp16,1026,0.05870819091796875,5.733221769332886e-05
full_resnet18_federation,3,5,int8,11177538,319.7919273376465,0.3122968040406704
feature_head_federation,3,5,int8,1026,0.029354095458984375,2.866610884666443e-05
full_resnet18_federation,3,10,fp32,11177538,2558.335418701172,2.498374432325363
feature_head_federation,3,10,fp32,1026,0.234832763671875,0.00022932887077331543
full_resnet18_federation,3,10,fp16,11177538,1279.167709350586,1.2491872161626816
feature_head_federation,3,10,fp16,1026,0.1174163818359375,0.00011466443538665771
full_resnet18_federation,3,10,int8,11177538,639.583854675293,0.6245936080813408
feature_head_federation,3,10,int8,1026,0.05870819091796875,5.733221769332886e-05
full_resnet18_federation,3,25,fp32,11177538,6395.83854675293,6.245936080813408
feature_head_federation,3,25,fp32,1026,0.5870819091796875,0.0005733221769332886
full_resnet18_federation,3,25,fp16,11177538,3197.919273376465,3.122968040406704
feature_head_federation,3,25,fp16,1026,0.29354095458984375,0.0002866610884666443
full_resnet18_federation,3,25,int8,11177538,1598.9596366882324,1.561484020203352
feature_head_federation,3,25,int8,1026,0.14677047729492188,0.00014333054423332214
full_resnet18_federation,3,50,fp32,11177538,12791.67709350586,12.491872161626816
feature_head_federation,3,50,fp32,1026,1.174163818359375,0.0011466443538665771
full_resnet18_federation,3,50,fp16,11177538,6395.83854675293,6.245936080813408
feature_head_federation,3,50,fp16,1026,0.5870819091796875,0.0005733221769332886
full_resnet18_federation,3,50,int8,11177538,3197.919273376465,3.122968040406704
feature_head_federation,3,50,int8,1026,0.29354095458984375,0.0002866610884666443
full_resnet18_federation,3,100,fp32,11177538,25583.35418701172,24.98374432325363
feature_head_federation,3,100,fp32,1026,2.34832763671875,0.0022932887077331543
full_resnet18_federation,3,100,fp16,11177538,12791.67709350586,12.491872161626816
feature_head_federation,3,100,fp16,1026,1.174163818359375,0.0011466443538665771
full_resnet18_federation,3,100,int8,11177538,6395.83854675293,6.245936080813408
feature_head_federation,3,100,int8,1026,0.5870819091796875,0.0005733221769332886
