policy,noise_std,split,accuracy_delta_vs_fedavg,macro_f1_delta_vs_fedavg,auc_delta_vs_fedavg
equal_client,0.0,id_val,-0.0030000000000001137,-0.0030028140214419796,0.00058400000000014
downweight_dominant_center,0.0,id_val,-0.0023333333333332984,-0.002335259712388016,0.0005044444444444185
equal_client,0.0,val,0.009999999999999898,0.01003593938390901,0.010775999999999897
downweight_dominant_center,0.0,val,0.009000000000000008,0.009037000506948667,0.0101239999999998
equal_client,0.0,test,0.02400000000000002,0.02396585885899205,0.01239200000000018
downweight_dominant_center,0.0,test,0.02400000000000002,0.02396585885899205,0.011704000000000159
equal_client,0.01,id_val,-0.002866666666666795,-0.0028695442608045463,0.0005933333333333346
downweight_dominant_center,0.01,id_val,-0.00226666666666675,-0.002268701136541651,0.000511200000000045
equal_client,0.01,val,0.011399999999999855,0.011439245065474779,0.010905600000000182
downweight_dominant_center,0.01,val,0.010800000000000032,0.010839881739298618,0.010248800000000058
equal_client,0.01,test,0.02519999999999989,0.025164216297172914,0.012461599999999962
downweight_dominant_center,0.01,test,0.02519999999999989,0.025164216297172914,0.011782400000000082
equal_client,0.03,id_val,-0.003066666666666662,-0.0030695115022052466,0.0005987555555555524
downweight_dominant_center,0.03,id_val,-0.002666666666666706,-0.0026688079202183967,0.0005117333333333196
equal_client,0.03,val,0.012599999999999945,0.012642300258684402,0.010763200000000084
downweight_dominant_center,0.03,val,0.011400000000000077,0.011441837415243739,0.010100800000000243
equal_client,0.03,test,0.02519999999999989,0.025162720001262517,0.012461599999999962
downweight_dominant_center,0.03,test,0.024599999999999955,0.024559954104109716,0.011751199999999962
equal_client,0.05,id_val,-0.004066666666666885,-0.004069731480288441,0.000583288888888922
downweight_dominant_center,0.05,id_val,-0.003666666666666707,-0.0036690241631388565,0.0004956444444443875
equal_client,0.05,val,0.009000000000000008,0.00902134268589927,0.010265599999999875
downweight_dominant_center,0.05,val,0.008200000000000096,0.008220270131142238,0.009611199999999931
equal_client,0.05,test,0.024599999999999844,0.024594483798023092,0.01250960000000012
downweight_dominant_center,0.05,test,0.02419999999999989,0.02419263986658804,0.01180239999999999
equal_client,0.1,id_val,-0.0025999999999999357,-0.0026020559127241105,0.0005074666666666783
downweight_dominant_center,0.1,id_val,-0.0024000000000000687,-0.002401372648146327,0.00042391111111117485
equal_client,0.1,val,0.009599999999999942,0.009633491053400722,0.009628799999999993
downweight_dominant_center,0.1,val,0.009199999999999986,0.009233576277805633,0.00893440000000012
equal_client,0.1,test,0.02200000000000002,0.02196317270944137,0.010895199999999772
downweight_dominant_center,0.1,test,0.021399999999999975,0.021360455771954334,0.010168799999999867
equal_client,0.2,id_val,0.0012666666666666382,0.0012677139603779475,0.0005461333333334206
downweight_dominant_center,0.2,id_val,0.0006000000000000449,0.0006012109221836814,0.00047039999999998194
equal_client,0.2,val,0.009599999999999942,0.009633094999357938,0.009602400000000011
downweight_dominant_center,0.2,val,0.009399999999999853,0.009432772342536588,0.008916000000000146
equal_client,0.2,test,0.01980000000000004,0.019774999294621676,0.01048160000000009
downweight_dominant_center,0.2,test,0.019000000000000128,0.018973293712035932,0.009786400000000084
