noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
0,123,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7298328239744079,0.7280400712222352,0.7298328239744079,-0.0017927527521726105,0.0
0,123,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.702768825425204,0.6825573624415238,0.702768825425204,-0.02021146298368026,0.0
0,123,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.732487374863064,0.7254086963081546,0.732487374863064,-0.007078678554909401,0.0
0,123,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5694117647058824,0.5567058823529412,0.5694117647058824,-0.012705882352941233,0.0
0,123,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5055799211566626,0.4949036378409496,0.5055799211566626,-0.01067628331571302,0.0
0,2025,global_qwk,fedavg,cross_site_blend_50,fedavg,0.6983892617352164,0.6988934439468641,0.6983892617352164,0.000504182211647719,0.0
0,2025,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6744316058050152,0.6774408988062729,0.6744316058050152,0.00300929300125774,0.0
0,2025,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7010870185241194,0.7014432993023529,0.7010870185241194,0.0003562807782335753,0.0
0,2025,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5585882352941176,0.5472941176470588,0.5585882352941176,-0.011294117647058788,0.0
0,2025,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5000663744833895,0.4780140759710345,0.5000663744833895,-0.022052298512355017,0.0
0,42,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7072566694854117,0.6934701255508755,0.7072566694854117,-0.013786543934536155,0.0
0,42,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6673300346903428,0.6608777559281085,0.6673300346903428,-0.006452278762234309,0.0
0,42,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7161831406854237,0.7057812801177772,0.7161831406854237,-0.01040186056764647,0.0
0,42,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5694117647058824,0.5585882352941176,0.5694117647058824,-0.010823529411764787,0.0
0,42,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5159724605549763,0.496155205606327,0.5159724605549763,-0.019817254948649277,0.0
0,7,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7276155450282679,0.724997097427688,0.7276155450282679,-0.002618447600579832,0.0
0,7,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6936547323644098,0.6749135732640295,0.6936547323644098,-0.018741159100380322,0.0
0,7,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7316464239387271,0.7293748112328827,0.7316464239387271,-0.002271612705844417,0.0
0,7,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5731764705882353,0.5778823529411765,0.5731764705882353,0.004705882352941226,0.0
0,7,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5099629714567177,0.5081509709702154,0.5099629714567177,-0.0018120004865022077,0.0
0,99,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7155000536840841,0.7227555037056095,0.7155000536840841,0.007255450021525389,0.0
0,99,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6795844572231403,0.6674516985301562,0.6795844572231403,-0.012132758692984136,0.0
0,99,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7080782648443799,0.7151410801489273,0.7080782648443799,0.007062815304547443,0.0
0,99,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5515294117647059,0.5647058823529412,0.5515294117647059,0.013176470588235234,0.0
0,99,macro_f1,fedavg,cross_site_blend_50,fedavg,0.4898706044290599,0.5018427894513834,0.4898706044290599,0.0119721850223235,0.0
25,123,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.7195784180665513,0.7159890377652853,0.7159890377652853,-0.0035893803012659875,-0.0035893803012659875
25,123,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6784592764983843,0.6681479739674876,0.6681479739674876,-0.010311302530896738,-0.010311302530896738
25,123,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.7187739619804079,0.7152756752445333,0.7152756752445333,-0.0034982867358746006,-0.0034982867358746006
