source_file,noise,seed,clean_strategy,corrupted_strategy,clean_global_qwk,clean_worst_site_qwk,clean_mean_site_qwk,clean_site_qwk_spread,clean_global_accuracy,clean_macro_f1,clean_mean_abs_error,clean_severe_error_rate,clean_mean_overgrade,clean_mean_undergrade,clean_prediction_entropy,corrupted_global_qwk,delta_corrupted_vs_clean_global_qwk,corrupted_worst_site_qwk,delta_corrupted_vs_clean_worst_site_qwk,corrupted_mean_site_qwk,delta_corrupted_vs_clean_mean_site_qwk,corrupted_site_qwk_spread,delta_corrupted_vs_clean_site_qwk_spread,corrupted_global_accuracy,delta_corrupted_vs_clean_global_accuracy,corrupted_macro_f1,delta_corrupted_vs_clean_macro_f1,corrupted_mean_abs_error,delta_corrupted_vs_clean_mean_abs_error,corrupted_severe_error_rate,delta_corrupted_vs_clean_severe_error_rate,corrupted_mean_overgrade,delta_corrupted_vs_clean_mean_overgrade,corrupted_mean_undergrade,delta_corrupted_vs_clean_mean_undergrade,corrupted_prediction_entropy,delta_corrupted_vs_clean_prediction_entropy,detector_triggered,detector_reasons,chosen_strategy,detector_global_qwk,delta_detector_vs_clean_global_qwk,oracle_global_qwk,delta_oracle_vs_clean_global_qwk,detector_regret_vs_oracle_global_qwk,detector_worst_site_qwk,delta_detector_vs_clean_worst_site_qwk,oracle_worst_site_qwk,delta_oracle_vs_clean_worst_site_qwk,detector_regret_vs_oracle_worst_site_qwk,detector_mean_site_qwk,delta_detector_vs_clean_mean_site_qwk,oracle_mean_site_qwk,delta_oracle_vs_clean_mean_site_qwk,detector_regret_vs_oracle_mean_site_qwk,detector_global_accuracy,delta_detector_vs_clean_global_accuracy,oracle_global_accuracy,delta_oracle_vs_clean_global_accuracy,detector_regret_vs_oracle_global_accuracy,detector_macro_f1,delta_detector_vs_clean_macro_f1,oracle_macro_f1,delta_oracle_vs_clean_macro_f1,detector_regret_vs_oracle_macro_f1
results\ordinal_harm_fair_weights_h_panda_all_noise_0_seed_123\predictions.csv,0,123,fedavg,cross_site_blend_50,0.7298328239744079,0.702768825425204,0.732487374863064,0.07131986200938834,0.5694117647058824,0.5055799211566626,0.7134117647058823,0.07623529411764705,0.2376470588235294,0.4757647058823529,1.1721565327917418,0.7280400712222352,-0.0017927527521726105,0.6825573624415238,-0.02021146298368026,0.7254086963081546,-0.007078678554909401,0.07428896390647621,0.002969101897087878,0.5567058823529412,-0.012705882352941233,0.49490363784094965,-0.010676283315712964,0.7425882352941177,0.02917647058823536,0.07670588235294118,0.0004705882352941254,0.3171764705882353,0.07952941176470588,0.4254117647058824,-0.050352941176470545,1.1780110800360237,0.005854547244281916,False,,fedavg,0.7298328239744079,0.0,0.7298328239744079,0.0,0.0,0.702768825425204,0.0,0.702768825425204,0.0,0.0,0.732487374863064,0.0,0.732487374863064,0.0,0.0,0.5694117647058824,0.0,0.5694117647058824,0.0,0.0,0.5055799211566626,0.0,0.5055799211566626,0.0,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_0_seed_2025\predictions.csv,0,2025,fedavg,cross_site_blend_50,0.6983892617352163,0.6744316058050153,0.7010870185241194,0.05845594942500154,0.5585882352941176,0.5000663744833895,0.7576470588235295,0.08705882352941176,0.24658823529411764,0.5110588235294118,1.1618222006061447,0.6988934439468641,0.0005041822116478301,0.677440898806273,0.00300929300125774,0.7014432993023529,0.0003562807782335753,0.05435570715656013,-0.004100242268441412,0.5472941176470588,-0.011294117647058788,0.4780140759710345,-0.022052298512355017,0.7854117647058824,0.027764705882352914,0.09223529411764705,0.005176470588235296,0.27905882352941175,0.03247058823529411,0.5063529411764706,-0.004705882352941226,1.1770455350323759,0.015223334426231139,True,FedAvg global QWK below clean-calibrated lower bound,cross_site_blend_50,0.6988934439468641,0.0005041822116478301,0.6983892617352163,0.0,0.0005041822116478301,0.677440898806273,0.00300929300125774,0.6744316058050153,0.0,0.00300929300125774,0.7014432993023529,0.0003562807782335753,0.7010870185241194,0.0,0.0003562807782335753,0.5472941176470588,-0.011294117647058788,0.5585882352941176,0.0,-0.011294117647058788,0.4780140759710345,-0.022052298512355017,0.5000663744833895,0.0,-0.022052298512355017
results\ordinal_harm_fair_weights_h_panda_all_noise_0_seed_42\predictions.csv,0,42,fedavg,cross_site_blend_50,0.7072566694854118,0.6673300346903428,0.7161831406854237,0.14113790627812006,0.5694117647058824,0.5159724605549763,0.7327058823529412,0.08094117647058824,0.20705882352941177,0.5256470588235295,1.1758076450075134,0.6934701255508754,-0.013786543934536377,0.6608777559281085,-0.006452278762234309,0.7057812801177772,-0.01040186056764647,0.12000842615592422,-0.021129480122195843,0.5585882352941176,-0.010823529411764787,0.496155205606327,-0.019817254948649277,0.7651764705882353,0.03247058823529414,0.08847058823529412,0.007529411764705882,0.22023529411764706,0.01317647058823529,0.5449411764705883,0.019294117647058795,1.151800860179836,-0.024006784827677485,True,FedAvg worst-site QWK below clean-calibrated lower bound; FedAvg site-QWK spread above clean-calibrated upper bound,cross_site_blend_50,0.6934701255508754,-0.013786543934536377,0.7072566694854118,0.0,-0.013786543934536377,0.6608777559281085,-0.006452278762234309,0.6673300346903428,0.0,-0.006452278762234309,0.7057812801177772,-0.01040186056764647,0.7161831406854237,0.0,-0.01040186056764647,0.5585882352941176,-0.010823529411764787,0.5694117647058824,0.0,-0.010823529411764787,0.496155205606327,-0.019817254948649277,0.5159724605549763,0.0,-0.019817254948649277
results\ordinal_harm_fair_weights_h_panda_all_noise_0_seed_7\predictions.csv,0,7,fedavg,cross_site_blend_50,0.727615545028268,0.6936547323644097,0.7316464239387271,0.07232450489122655,0.5731764705882353,0.5099629714567177,0.7167058823529412,0.08,0.20988235294117646,0.5068235294117647,1.1449047036631301,0.724997097427688,-0.002618447600579943,0.6749135732640295,-0.01874115910038021,0.7293748112328828,-0.002271612705844306,0.08703574130294778,0.014711236411721229,0.5778823529411765,0.004705882352941226,0.5081509709702154,-0.0018120004865022077,0.7143529411764706,-0.0023529411764705577,0.08047058823529411,0.00047058823529411153,0.22211764705882353,0.012235294117647066,0.49223529411764705,-0.014588235294117624,1.2034422782645309,0.058537574601400744,False,,fedavg,0.727615545028268,0.0,0.727615545028268,0.0,0.0,0.6936547323644097,0.0,0.6936547323644097,0.0,0.0,0.7316464239387271,0.0,0.7316464239387271,0.0,0.0,0.5731764705882353,0.0,0.5731764705882353,0.0,0.0,0.5099629714567177,0.0,0.5099629714567177,0.0,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_0_seed_99\predictions.csv,0,99,fedavg,cross_site_blend_50,0.715500053684084,0.6795844572231403,0.70807826484438,0.05249455207310616,0.5515294117647059,0.48987060442905994,0.7581176470588236,0.08141176470588235,0.2611764705882353,0.4969411764705882,1.127993451448861,0.7227555037056095,0.0072554500215255,0.6674516985301562,-0.012132758692984136,0.7151410801489273,0.007062815304547332,0.09226462348648534,0.03977007141337918,0.5647058823529412,0.013176470588235234,0.5018427894513834,0.011972185022323445,0.7421176470588235,-0.016000000000000014,0.08329411764705882,0.001882352941176474,0.272,0.010823529411764732,0.47011764705882353,-0.02682352941176469,1.1642845452965707,0.03629109384770968,False,,fedavg,0.715500053684084,0.0,0.715500053684084,0.0,0.0,0.6795844572231403,0.0,0.6795844572231403,0.0,0.0,0.70807826484438,0.0,0.70807826484438,0.0,0.0,0.5515294117647059,0.0,0.5515294117647059,0.0,0.0,0.48987060442905994,0.0,0.48987060442905994,0.0,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_25_seed_123\predictions.csv,25,123,fedavg,cross_site_blend_50,0.7195784180665513,0.6784592764983843,0.7187739619804079,0.07835735835954405,0.5487058823529412,0.4814069845344631,0.7510588235294118,0.07905882352941176,0.24329411764705883,0.5077647058823529,1.379220713338553,0.7159890377652854,-0.0035893803012658765,0.6681479739674876,-0.010311302530896738,0.7152756752445333,-0.0034982867358746006,0.08265730817000705,0.004299949810463,0.5430588235294118,-0.005647058823529338,0.4807777792439187,-0.0006292052905444434,0.7727058823529411,0.021647058823529353,0.08470588235294117,0.005647058823529408,0.32988235294117646,0.08658823529411763,0.4428235294117647,-0.06494117647058817,1.3350700326933547,-0.04415068064519834,False,,fedavg,0.7195784180665513,0.0,0.7159890377652854,-0.0035893803012658765,0.0035893803012658765,0.6784592764983843,0.0,0.6681479739674876,-0.010311302530896738,0.010311302530896738,0.7187739619804079,0.0,0.7152756752445333,-0.0034982867358746006,0.0034982867358746006,0.5487058823529412,0.0,0.5430588235294118,-0.005647058823529338,0.005647058823529338,0.4814069845344631,0.0,0.4807777792439187,-0.0006292052905444434,0.0006292052905444434
results\ordinal_harm_fair_weights_h_panda_all_noise_25_seed_2025\predictions.csv,25,2025,fedavg,cross_site_blend_50,0.6831239870199568,0.6513465204760072,0.6864351011335869,0.06800193086741446,0.5538823529411765,0.4913528466401686,0.7816470588235294,0.09694117647058824,0.2611764705882353,0.5204705882352941,1.3945676340919817,0.6973632062493835,0.014239219229426725,0.6749821224030023,0.023635601926995098,0.7043628426139179,0.01792774148033105,0.056532716659323023,-0.011469214208091438,0.5454117647058824,-0.008470588235294119,0.47598494087657245,-0.015367905763596146,0.7858823529411765,0.004235294117647115,0.0903529411764706,-0.006588235294117645,0.27576470588235297,0.01458823529411768,0.5101176470588236,-0.010352941176470565,1.3384975048519778,-0.056070129240003874,True,FedAvg global QWK below clean-calibrated lower bound; FedAvg worst-site QWK below clean-calibrated lower bound; FedAvg mean absolute ordinal error above clean-calibrated upper bound; FedAvg severe ordinal error rate above clean-calibrated upper bound,cross_site_blend_50,0.6973632062493835,0.014239219229426725,0.6973632062493835,0.014239219229426725,0.0,0.6749821224030023,0.023635601926995098,0.6749821224030023,0.023635601926995098,0.0,0.7043628426139179,0.01792774148033105,0.7043628426139179,0.01792774148033105,0.0,0.5454117647058824,-0.008470588235294119,0.5454117647058824,-0.008470588235294119,0.0,0.47598494087657245,-0.015367905763596146,0.47598494087657245,-0.015367905763596146,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_25_seed_42\predictions.csv,25,42,fedavg,cross_site_blend_50,0.6761378487292832,0.6349135521885672,0.694262101363744,0.12639437145472932,0.5468235294117647,0.4869709885946345,0.7948235294117647,0.0903529411764706,0.2136470588235294,0.5811764705882353,1.3561147673891403,0.6883652591977125,0.012227410468429345,0.6590308231356328,0.024117270947065617,0.7000921672314183,0.005830065867674317,0.11130321757803541,-0.015091153876693908,0.5491764705882353,0.0023529411764705577,0.48669288976382635,-0.0002780988308081489,0.7792941176470588,-0.015529411764705903,0.08988235294117647,-0.0004705882352941254,0.22541176470588234,0.011764705882352927,0.5538823529411765,-0.027294117647058802,1.2980801686199048,-0.058034598769235446,True,FedAvg global QWK below clean-calibrated lower bound; FedAvg worst-site QWK below clean-calibrated lower bound; FedAvg site-QWK spread above clean-calibrated upper bound; FedAvg mean absolute ordinal error above clean-calibrated upper bound; FedAvg severe ordinal error rate above clean-calibrated upper bound,cross_site_blend_50,0.6883652591977125,0.012227410468429345,0.6883652591977125,0.012227410468429345,0.0,0.6590308231356328,0.024117270947065617,0.6590308231356328,0.024117270947065617,0.0,0.7000921672314183,0.005830065867674317,0.7000921672314183,0.005830065867674317,0.0,0.5491764705882353,0.0023529411764705577,0.5491764705882353,0.0023529411764705577,0.0,0.48669288976382635,-0.0002780988308081489,0.48669288976382635,-0.0002780988308081489,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_25_seed_7\predictions.csv,25,7,fedavg,cross_site_blend_50,0.6962668942082453,0.669137364027321,0.6995746326389873,0.05861647762767763,0.5524705882352942,0.4712464349896524,0.7811764705882352,0.09458823529411765,0.20188235294117646,0.5792941176470588,1.3646285219874335,0.6991910882103123,0.0029241940020670043,0.668554992057001,-0.0005823719703200725,0.7030307182660339,0.003456085627046579,0.06569956707065461,0.007083089442976975,0.5534117647058824,0.0009411764705882231,0.48789872041563714,0.016652285425984736,0.7675294117647059,-0.013647058823529346,0.09176470588235294,-0.002823529411764711,0.2555294117647059,0.05364705882352944,0.512,-0.06729411764705884,1.3479357730307127,-0.016692748956720793,True,FedAvg global QWK below clean-calibrated lower bound; FedAvg mean absolute ordinal error above clean-calibrated upper bound; FedAvg severe ordinal error rate above clean-calibrated upper bound,cross_site_blend_50,0.6991910882103123,0.0029241940020670043,0.6991910882103123,0.0029241940020670043,0.0,0.668554992057001,-0.0005823719703200725,0.668554992057001,-0.0005823719703200725,0.0,0.7030307182660339,0.003456085627046579,0.7030307182660339,0.003456085627046579,0.0,0.5534117647058824,0.0009411764705882231,0.5534117647058824,0.0009411764705882231,0.0,0.48789872041563714,0.016652285425984736,0.48789872041563714,0.016652285425984736,0.0
results\ordinal_harm_fair_weights_h_panda_all_noise_25_seed_99\predictions.csv,25,99,fedavg,cross_site_blend_50,0.6872579319877408,0.6591101530068151,0.6860577936755455,0.05504663832956269,0.5331764705882353,0.4701100036476635,0.8051764705882353,0.09364705882352942,0.24611764705882352,0.5590588235294117,1.3864287572050196,0.7060162533720356,0.018758321384294785,0.6423189591177216,-0.016791193889093448,0.6973232820267502,0.011265488351204667,0.11496020835629739,0.0599135700267347,0.5449411764705883,0.01176470588235301,0.4803920451421393,0.010282041494475813,0.780235294117647,-0.024941176470588244,0.08894117647058823,-0.004705882352941185,0.27952941176470586,0.033411764705882335,0.5007058823529412,-0.058352941176470496,1.331475856898339,-0.05495290030668065,True,FedAvg global QWK below clean-calibrated lower bound; FedAvg worst-site QWK below clean-calibrated lower bound; FedAvg mean absolute ordinal error above clean-calibrated upper bound; FedAvg severe ordinal error rate above clean-calibrated upper bound,cross_site_blend_50,0.7060162533720356,0.018758321384294785,0.7060162533720356,0.018758321384294785,0.0,0.6423189591177216,-0.016791193889093448,0.6423189591177216,-0.016791193889093448,0.0,0.6973232820267502,0.011265488351204667,0.6973232820267502,0.011265488351204667,0.0,0.5449411764705883,0.01176470588235301,0.5449411764705883,0.01176470588235301,0.0,0.4803920451421393,0.010282041494475813,0.4803920451421393,0.010282041494475813,0.0
