noise,metric,n_seeds,detector_trigger_rate,clean_mean,corrupted_strategy_mean,detector_mean,oracle_mean,mean_delta_detector_vs_clean,sd_delta_detector_vs_clean,ci95_low,ci95_high,positive_seed_count,negative_seed_count,mean_regret_detector_vs_oracle,regret_ci95_low,regret_ci95_high
0,global_accuracy,15,0.3333333333333333,0.5660235294117647,0.5640156862745098,0.5639843137254902,0.5660235294117647,-0.002039215686274513,0.004748268496578923,-0.004668980654186238,0.0005905492816372115,2,3,-0.002039215686274513,-0.004668980654186238,0.0005905492816372115
0,global_qwk,15,0.3333333333333333,0.7201368692066603,0.7197766067754112,0.7193274319134085,0.7201368692066603,-0.000809437293251795,0.003809606334941036,-0.0029193367836409007,0.0013004621971373109,3,2,-0.000809437293251795,-0.0029193367836409007,0.0013004621971373109
0,macro_f1,15,0.3333333333333333,0.5049620454963686,0.49922394390119484,0.501183674081618,0.5049620454963686,-0.0037783714147505846,0.008094379913078861,-0.008261335414726512,0.0007045925852253434,1,4,-0.0037783714147505846,-0.008261335414726512,0.0007045925852253434
0,mean_site_qwk,15,0.3333333333333333,0.7206507923372883,0.7211031315288667,0.7197875578861883,0.7206507923372883,-0.0008632344511001033,0.0030058442692285905,-0.002527981076930296,0.0008015121747300894,2,3,-0.0008632344511001033,-0.002527981076930296,0.0008015121747300894
0,worst_site_qwk,15,0.3333333333333333,0.6849409424222447,0.6782068121705876,0.6831317382856715,0.6849409424222447,-0.0018092041365731651,0.005349275497810031,-0.004771828789746155,0.001153420516599825,2,3,-0.0018092041365731651,-0.004771828789746155,0.001153420516599825
25,global_accuracy,15,0.9333333333333333,0.5463843137254901,0.5494588235294118,0.5498352941176472,0.5494588235294118,0.0034509803921568623,0.007250433933411956,-0.0005645754202372121,0.007466536204550936,10,4,0.0003764705882352892,-0.000431058823529406,0.0011839999999999845
25,global_qwk,15,0.9333333333333333,0.6948332092536574,0.703109587910228,0.7033488799303125,0.703109587910228,0.008515670676654995,0.011828451382622195,0.0019646411607212562,0.015066700192588735,12,2,0.00023929202008439178,-0.00027398936299662845,0.000752573403165412
25,macro_f1,15,0.9333333333333333,0.4791652032389799,0.4820137223178953,0.48205566933726485,0.4820137223178953,0.0028904660982849496,0.012590937375615962,-0.004082856081667913,0.009863788278237811,8,6,4.194701936962956e-05,-4.802933717822583e-05,0.00013192337591748496
25,mean_site_qwk,15,0.9333333333333333,0.6968602607719958,0.7049424536184332,0.7051756727341583,0.7049424536184332,0.008315411962162322,0.012605691671260617,0.0013339183130011605,0.015296905611323484,11,3,0.00023321911572497336,-0.0002670358875050947,0.0007334741189550414
25,worst_site_qwk,15,0.9333333333333333,0.6526586250177875,0.6544996886880615,0.6551871088567881,0.6544996886880615,0.002528483839000654,0.024255711438997542,-0.010905217363871329,0.015962185041872638,6,8,0.0006874201687264492,-0.000787096093191784,0.0021619364306446824
35,global_accuracy,15,0.8666666666666667,0.5378823529411765,0.5439372549019608,0.5427764705882353,0.5439372549019608,0.004894117647058819,0.004268034053421635,0.0025303240992362364,0.0072579111948814015,11,2,-0.00116078431372549,-0.0030983407814817107,0.0007767721540307309
35,global_qwk,15,0.8666666666666667,0.6892649222975975,0.6975721915959952,0.696747377019966,0.6975721915959952,0.007482454722368548,0.006434135430697522,0.003918994912410703,0.011045914532326393,12,1,-0.0008248145760291277,-0.0020665016778066664,0.00041687252574841094
35,macro_f1,15,0.8666666666666667,0.46827481906543966,0.4748112834176112,0.4727255967446394,0.4748112834176112,0.004450777679199687,0.009692459941220604,-0.0009172615596668909,0.009818816918066266,9,4,-0.0020856866729717536,-0.005449749893454972,0.0012783765475114645
35,mean_site_qwk,15,0.8666666666666667,0.6905638765303357,0.6994311805206818,0.6985132140146867,0.6994311805206818,0.007949337484350989,0.006449237872478798,0.004377513389105792,0.011521161579596186,13,0,-0.0009179665059951676,-0.0024603090519495167,0.0006243760399591813
35,worst_site_qwk,15,0.8666666666666667,0.6428177456464775,0.6489658663493204,0.6498571614149172,0.6489658663493204,0.007039415768439642,0.01493772102048432,-0.0012336411297561942,0.015312472666635478,10,3,0.0008912950655967385,-0.0004903603661327204,0.0022729504973261973
45,global_accuracy,15,1.0,0.5318274509803921,0.537035294117647,0.537035294117647,0.537035294117647,0.005207843137254893,0.007184245226148324,0.0012289450546751025,0.009186741219834683,11,4,0.0,0.0,0.0
45,global_qwk,15,1.0,0.6842733268811034,0.6907858127831992,0.6907858127831992,0.6907858127831992,0.006512485902095744,0.012511720978272502,-0.00041696333622205737,0.013441935140413544,11,4,0.0,0.0,0.0
45,macro_f1,15,1.0,0.46095634846722916,0.46649637219271034,0.46649637219271034,0.46649637219271034,0.005540023725481177,0.013419561759637582,-0.0018922209813312134,0.012972268432293568,9,6,0.0,0.0,0.0
45,mean_site_qwk,15,1.0,0.6855132058153116,0.6929401916776722,0.6929401916776722,0.6929401916776722,0.00742698586236051,0.01458278662460809,-0.0006494953702311755,0.015503467094952195,11,4,0.0,0.0,0.0
45,worst_site_qwk,15,1.0,0.6336657953236814,0.6447536342491726,0.6447536342491726,0.6447536342491726,0.01108783892549105,0.017994282579010736,0.0011219463094604368,0.02105373154152166,11,4,0.0,0.0,0.0
