seed,strategy,global_auc,global_accuracy,global_loss,worst_site_auc,worst_site_accuracy,mean_site_auc,weight_entropy,n_eff,source_path
123,fedavg,0.6135130593431919,0.589,0.677277091562748,0.5800501253132833,0.56,0.6089021472026536,0.8743262021611462,3.3379619739371926,results\fair_weights_h_stress_seed_123\summary.csv
123,cross_site_full,0.6665066256961782,0.613,0.6602726110219955,0.62265664160401,0.59,0.6626888819196137,0.9367862468624513,4.23970230850385,results\fair_weights_h_stress_seed_123\summary.csv
123,cross_site_blend_25,0.6299852762307151,0.599,0.6732956248521805,0.59196274926612,0.57,0.6248096083092667,0.9426943324408825,4.130392075108454,results\fair_weights_h_stress_seed_123\summary.csv
123,cross_site_blend_50,0.644064880609436,0.605,0.6691669752001762,0.6066165413533835,0.575,0.6405020436357939,0.9816337526002765,4.719917677628278,results\fair_weights_h_stress_seed_123\summary.csv
123,cross_site_blend_75,0.6562359964150822,0.605,0.6648096691071987,0.6165413533834586,0.57,0.6523972749786413,0.9847615426075573,4.764302546418783,results\fair_weights_h_stress_seed_123\summary.csv
2025,fedavg,0.5378888359065391,0.532,0.6900832646787166,0.4220251293422025,0.465,0.5463415013018011,0.8743262021611462,3.3379619739371926,results\fair_weights_h_stress_seed_2025\summary.csv
2025,cross_site_full,0.6306484638903025,0.599,0.671679672151804,0.5848379263013409,0.585,0.6343491884940531,0.9581997956432068,4.460550396925256,results\fair_weights_h_stress_seed_2025\summary.csv
2025,cross_site_blend_25,0.5643435019374176,0.551,0.6857990721464157,0.46584309998944146,0.505,0.5726150634803392,0.9458602877617485,4.151125129722061,results\fair_weights_h_stress_seed_2025\summary.csv
2025,cross_site_blend_50,0.5900087754799467,0.557,0.6812761687636375,0.5080772885650935,0.515,0.596471187197077,0.987101747375761,4.787337673486285,results\fair_weights_h_stress_seed_2025\summary.csv
2025,cross_site_blend_75,0.6120436449897619,0.588,0.6765787269771099,0.5497835497835498,0.545,0.6172550324533658,0.9949581058925431,4.91601330837671,results\fair_weights_h_stress_seed_2025\summary.csv
42,fedavg,0.6307323668714798,0.581,0.6738032507002354,0.5715288220551379,0.545,0.6284893725021546,0.8743262021611462,3.3379619739371926,results\fair_weights_h_stress_seed_42\summary.csv
42,cross_site_full,0.6633264528929852,0.61,0.6635590069293976,0.5764411027568922,0.57,0.6561661091361317,0.9452657587699567,4.286179580460324,results\fair_weights_h_stress_seed_42\summary.csv
42,cross_site_blend_25,0.6413170442908346,0.586,0.6713157839477062,0.5711278195488722,0.55,0.6367383369071856,0.9373583839427005,4.064656754292012,results\fair_weights_h_stress_seed_42\summary.csv
42,cross_site_blend_50,0.6506096390168971,0.593,0.6687737502157688,0.5752380952380952,0.54,0.6442904616644469,0.9736461425925247,4.611671986430687,results\fair_weights_h_stress_seed_42\summary.csv
42,cross_site_blend_75,0.6582781298003072,0.596,0.6661742959320546,0.5777443609022557,0.545,0.6518237581267288,0.9795596326782384,4.704808710951235,results\fair_weights_h_stress_seed_42\summary.csv
7,fedavg,0.5914491449144914,0.563,0.6797592412233353,0.5503875968992248,0.555,0.5847990073300446,0.8743262021611462,3.3379619739371926,results\fair_weights_h_stress_seed_7\summary.csv
7,cross_site_full,0.6475107510751075,0.61,0.6646528792679309,0.6116446578631453,0.56,0.640705133097698,0.9367458797974041,4.192517167905587,results\fair_weights_h_stress_seed_7\summary.csv
7,cross_site_blend_25,0.6068086808680868,0.576,0.6761901369094848,0.5705282112845138,0.545,0.5994849411544703,0.9373532170428913,4.07411579393468,results\fair_weights_h_stress_seed_7\summary.csv
7,cross_site_blend_50,0.6213901390139014,0.583,0.672436085164547,0.5834333733493398,0.55,0.6128510835080794,0.9734160880887999,4.614642145626245,results\fair_weights_h_stress_seed_7\summary.csv
7,cross_site_blend_75,0.6353555355535554,0.597,0.6685219004750251,0.5992396958783514,0.56,0.6287100788806785,0.9782698154759595,4.675560153198242,results\fair_weights_h_stress_seed_7\summary.csv
99,fedavg,0.5903510351035104,0.572,0.6824135039448738,0.5131829573934837,0.52,0.5903197350244431,0.8743262021611462,3.3379619739371926,results\fair_weights_h_stress_seed_99\summary.csv
99,cross_site_full,0.6347714771477148,0.61,0.6699412442147732,0.5326315789473685,0.545,0.6299469361682599,0.9342692160210844,4.219386819858395,results\fair_weights_h_stress_seed_99\summary.csv
99,cross_site_blend_25,0.604008400840084,0.577,0.6790700164437294,0.522406015037594,0.51,0.6031092429933287,0.9431542603890777,4.140366906417576,results\fair_weights_h_stress_seed_99\summary.csv
99,cross_site_blend_50,0.6157095709570957,0.59,0.675918080329895,0.5287218045112781,0.52,0.6141557682786977,0.9815579107855129,4.7212829374719005,results\fair_weights_h_stress_seed_99\summary.csv
99,cross_site_blend_75,0.6262666266626663,0.598,0.6727946658730507,0.528922305764411,0.525,0.6231262168841052,0.9844579756456856,4.756434516027432,results\fair_weights_h_stress_seed_99\summary.csv
