noise_level,seed,strategy,delta_worst_site_qwk_vs_fedavg,fedavg_worst_site_qwk,strategy_worst_site_qwk
0.0,7,adaptive_ordinal_harm,0.03834959339691202,0.5977477477477477,0.6360973411446598
0.0,7,cross_site_blend_50,-0.021187153446827534,0.5977477477477477,0.5765605943009202
0.0,7,ordinal_harm_blend_50,0.058127280552003224,0.5977477477477477,0.655875028299751
0.0,42,adaptive_ordinal_harm,0.015323209759734668,0.6304728546409808,0.6457960644007155
0.0,42,cross_site_blend_50,0.028496949977136365,0.6304728546409808,0.6589698046181172
0.0,42,ordinal_harm_blend_50,-0.004370561872021339,0.6304728546409808,0.6261022927689595
0.0,99,adaptive_ordinal_harm,0.015373279747814883,0.4821481262909413,0.49752140603875616
0.0,99,cross_site_blend_50,-0.04792965918170766,0.4821481262909413,0.4342184671092336
0.0,99,ordinal_harm_blend_50,-0.0010983818700460724,0.4821481262909413,0.4810497444208952
0.0,123,adaptive_ordinal_harm,-0.05029304938239232,0.6810514598852642,0.6307584105028718
0.0,123,cross_site_blend_50,-0.07112238187107978,0.6810514598852642,0.6099290780141844
0.0,123,ordinal_harm_blend_50,-0.027617307396291313,0.6810514598852642,0.6534341524889729
0.0,2025,adaptive_ordinal_harm,0.08292776422748949,0.38966202783300197,0.47258979206049145
0.0,2025,cross_site_blend_50,0.07037695852177384,0.38966202783300197,0.4600389863547758
0.0,2025,ordinal_harm_blend_50,0.06764347501329793,0.38966202783300197,0.4573055028462999
0.25,7,adaptive_ordinal_harm,-0.021465667603793537,0.6181330951317552,0.5966674275279616
0.25,7,cross_site_blend_50,-0.006806652409963698,0.6181330951317552,0.6113264427217915
0.25,7,ordinal_harm_blend_50,-0.03023355175275977,0.6181330951317552,0.5878995433789954
0.25,42,adaptive_ordinal_harm,0.026384225378363158,0.5636672325976232,0.5900514579759863
0.25,42,cross_site_blend_50,-0.01852242850903718,0.5636672325976232,0.545144804088586
0.25,42,ordinal_harm_blend_50,0.027006342531910477,0.5636672325976232,0.5906735751295337
0.25,99,adaptive_ordinal_harm,0.1009030759887638,0.40542603793528686,0.5063291139240507
0.25,99,cross_site_blend_50,0.03265241072050862,0.40542603793528686,0.4380784486557955
0.25,99,ordinal_harm_blend_50,0.10750346968072444,0.40542603793528686,0.5129295076160113
0.25,123,adaptive_ordinal_harm,-0.0033611689147117207,0.6083286437816544,0.6049674748669427
0.25,123,cross_site_blend_50,0.020890585676238582,0.6083286437816544,0.629219229457893
0.25,123,ordinal_harm_blend_50,0.01022683257852619,0.6083286437816544,0.6185554763601806
0.25,2025,adaptive_ordinal_harm,-0.02284402545158748,0.4220907297830375,0.39924670433145004
0.25,2025,cross_site_blend_50,-0.009759323231977812,0.4220907297830375,0.4123314065510597
0.25,2025,ordinal_harm_blend_50,-0.010662158354466045,0.4220907297830375,0.4114285714285715
0.35,7,adaptive_ordinal_harm,0.06015136556077838,0.5647905759162304,0.6249419414770088
0.35,7,cross_site_blend_50,0.03391632063549377,0.5647905759162304,0.5987068965517242
0.35,7,ordinal_harm_blend_50,0.03310464786080214,0.5647905759162304,0.5978952237770325
0.35,42,adaptive_ordinal_harm,0.0074630402480059255,0.5697865353037768,0.5772495755517827
0.35,42,cross_site_blend_50,-0.02663932718194939,0.5697865353037768,0.5431472081218274
0.35,42,ordinal_harm_blend_50,0.017060007697909496,0.5697865353037768,0.5868465430016863
0.35,99,adaptive_ordinal_harm,0.20392216236710525,0.2911791179117912,0.49510128027889644
0.35,99,cross_site_blend_50,0.15507775022007686,0.2911791179117912,0.44625686813186805
0.35,99,ordinal_harm_blend_50,0.15280403848462654,0.2911791179117912,0.4439831563964177
0.35,123,adaptive_ordinal_harm,0.058534388081025845,0.5531947533941857,0.6117291414752115
0.35,123,cross_site_blend_50,0.08279344719578485,0.5531947533941857,0.6359882005899705
0.35,123,ordinal_harm_blend_50,0.05393946667836569,0.5531947533941857,0.6071342200725514
0.35,2025,adaptive_ordinal_harm,0.022760793424503212,0.455743879472693,0.4785046728971962
0.35,2025,cross_site_blend_50,-0.07355464014059654,0.455743879472693,0.3821892393320965
0.35,2025,ordinal_harm_blend_50,-0.021851886921482544,0.455743879472693,0.43389199255121047
0.45,7,adaptive_ordinal_harm,0.009746799161309827,0.6190201729106628,0.6287669720719726
0.45,7,cross_site_blend_50,-0.00960767160626963,0.6190201729106628,0.6094125013043932
0.45,7,ordinal_harm_blend_50,-0.004977337847735019,0.6190201729106628,0.6140428350629278
0.45,42,adaptive_ordinal_harm,0.0040197008878170015,0.5780445969125214,0.5820642978003384
0.45,42,cross_site_blend_50,0.04417762530970082,0.5780445969125214,0.6222222222222222
0.45,42,ordinal_harm_blend_50,-0.02018622040129514,0.5780445969125214,0.5578583765112263
0.45,99,adaptive_ordinal_harm,0.006531647725773748,0.4259871281962081,0.43251877592198185
0.45,99,cross_site_blend_50,-0.03581045169886776,0.4259871281962081,0.39017667649734034
0.45,99,ordinal_harm_blend_50,-0.018323113141892722,0.4259871281962081,0.4076640150543154
0.45,123,adaptive_ordinal_harm,0.019308117036456518,0.5813457830102506,0.6006539000467072
0.45,123,cross_site_blend_50,0.03260485831859383,0.5813457830102506,0.6139506413288445
0.45,123,ordinal_harm_blend_50,0.009930661011617659,0.5813457830102506,0.5912764440218683
0.45,2025,adaptive_ordinal_harm,-0.03904912532292215,0.4246823956442831,0.38563327032136097
0.45,2025,cross_site_blend_50,-0.040361171934914175,0.4246823956442831,0.38432122370936894
0.45,2025,ordinal_harm_blend_50,0.00026887141224707367,0.4246823956442831,0.4249512670565302
