noise_level,seed,strategy,qwk,accuracy,macro_f1,support
0.0,7,adaptive_ordinal_harm,0.7157814474493674,0.5091514143094842,0.5042185954112337,601
0.0,7,cross_site_blend_50,0.7295451831205673,0.5241264559068219,0.5161082431553737,601
0.0,7,fedavg,0.7190209123565712,0.502495840266223,0.4967620101593233,601
0.0,7,ordinal_harm_blend_50,0.7277994562327182,0.519134775374376,0.5121748886788033,601
0.0,42,adaptive_ordinal_harm,0.6974998186889758,0.5124792013311148,0.49900809847749944,601
0.0,42,cross_site_blend_50,0.7094372711100014,0.5158069883527454,0.4904593903444439,601
0.0,42,fedavg,0.6941913695024475,0.5158069883527454,0.5025027264520948,601
0.0,42,ordinal_harm_blend_50,0.7098040297714716,0.5224625623960066,0.5086284893602924,601
0.0,99,adaptive_ordinal_harm,0.5698904283006786,0.4193011647254576,0.41370576696713973,601
0.0,99,cross_site_blend_50,0.5657000381654094,0.4276206322795341,0.42328349932312626,601
0.0,99,fedavg,0.5825662777608074,0.43594009983361065,0.4271158338339835,601
0.0,99,ordinal_harm_blend_50,0.5892280841024422,0.4276206322795341,0.42308670542484544,601
0.0,123,adaptive_ordinal_harm,0.6717929647506902,0.4825291181364393,0.48018052628164276,601
0.0,123,cross_site_blend_50,0.6719961745983213,0.47753743760399336,0.4695476040758865,601
0.0,123,fedavg,0.7197642577522286,0.5158069883527454,0.5078816611160332,601
0.0,123,ordinal_harm_blend_50,0.6798437961436996,0.49417637271214643,0.4933467561587846,601
0.0,2025,adaptive_ordinal_harm,0.6157589900726503,0.4509151414309484,0.43695597432100425,601
0.0,2025,cross_site_blend_50,0.6351153971625128,0.46256239600665555,0.4545617205472145,601
0.0,2025,fedavg,0.6122233079416977,0.45757071547420963,0.4454718260275554,601
0.0,2025,ordinal_harm_blend_50,0.6151081197131508,0.4525790349417637,0.4384039479442892,601
0.25,7,adaptive_ordinal_harm,0.7055158707880937,0.49916805324459235,0.4928600051140941,601
0.25,7,cross_site_blend_50,0.7063985901426257,0.5174708818635607,0.5041108917976754,601
0.25,7,fedavg,0.6899987235910106,0.47753743760399336,0.4604955312421502,601
0.25,7,ordinal_harm_blend_50,0.7092568553621389,0.5158069883527454,0.5073093304931097,601
0.25,42,adaptive_ordinal_harm,0.6722303510427269,0.46755407653910147,0.44548171237489803,601
0.25,42,cross_site_blend_50,0.6808446074092805,0.4925124792013311,0.47289812706792994,601
0.25,42,fedavg,0.6620869615362436,0.4858569051580699,0.4703249824363744,601
0.25,42,ordinal_harm_blend_50,0.67089297546714,0.47920133111480867,0.4586304536588377,601
0.25,99,adaptive_ordinal_harm,0.5889278654826733,0.41264559068219636,0.40774177667266764,601
0.25,99,cross_site_blend_50,0.571894142557829,0.40266222961730447,0.39292538264081184,601
0.25,99,fedavg,0.5571357078964272,0.4193011647254576,0.4070905364153676,601
0.25,99,ordinal_harm_blend_50,0.5962177730780691,0.415973377703827,0.4092103927577339,601
0.25,123,adaptive_ordinal_harm,0.6554582113815357,0.454242928452579,0.4432100726212374,601
