noise_level,seed,strategy,grade,precision,recall,f1,support
0.0,7,adaptive_ordinal_harm,0,0.6454545454545455,0.7029702970297029,0.6729857819905213,101
0.0,7,adaptive_ordinal_harm,1,0.42574257425742573,0.42574257425742573,0.42574257425742573,101
0.0,7,adaptive_ordinal_harm,2,0.4367816091954023,0.3838383838383838,0.40860215053763443,99
0.0,7,adaptive_ordinal_harm,3,0.4536082474226804,0.43564356435643564,0.4444444444444444,101
0.0,7,adaptive_ordinal_harm,4,0.4772727272727273,0.42,0.44680851063829785,100
0.0,7,adaptive_ordinal_harm,5,0.576271186440678,0.6868686868686869,0.6267281105990783,99
0.0,7,adaptive_ordinal_harm,high_grade_4_5,0.7184466019417476,0.7437185929648241,0.7308641975308642,199
0.0,7,cross_site_blend_50,0,0.6370967741935484,0.7821782178217822,0.7022222222222222,101
0.0,7,cross_site_blend_50,1,0.5,0.37623762376237624,0.4293785310734463,101
0.0,7,cross_site_blend_50,2,0.40186915887850466,0.43434343434343436,0.4174757281553398,99
0.0,7,cross_site_blend_50,3,0.46464646464646464,0.45544554455445546,0.46,101
0.0,7,cross_site_blend_50,4,0.5263157894736842,0.4,0.45454545454545453,100
0.0,7,cross_site_blend_50,5,0.5798319327731093,0.696969696969697,0.6330275229357798,99
0.0,7,cross_site_blend_50,high_grade_4_5,0.7487179487179487,0.7336683417085427,0.7411167512690355,199
0.0,7,fedavg,0,0.6388888888888888,0.6831683168316832,0.6602870813397129,101
0.0,7,fedavg,1,0.44,0.43564356435643564,0.43781094527363185,101
0.0,7,fedavg,2,0.3627450980392157,0.37373737373737376,0.3681592039800995,99
0.0,7,fedavg,3,0.45918367346938777,0.44554455445544555,0.45226130653266333,101
0.0,7,fedavg,4,0.5454545454545454,0.36,0.43373493975903615,100
0.0,7,fedavg,5,0.5590551181102362,0.7171717171717171,0.6283185840707964,99
0.0,7,fedavg,high_grade_4_5,0.7564766839378239,0.7336683417085427,0.7448979591836735,199
0.0,7,ordinal_harm_blend_50,0,0.6416666666666667,0.7623762376237624,0.6968325791855203,101
0.0,7,ordinal_harm_blend_50,1,0.45161290322580644,0.4158415841584158,0.4329896907216495,101
0.0,7,ordinal_harm_blend_50,2,0.41304347826086957,0.3838383838383838,0.39790575916230364,99
0.0,7,ordinal_harm_blend_50,3,0.4536082474226804,0.43564356435643564,0.4444444444444444,101
0.0,7,ordinal_harm_blend_50,4,0.5060240963855421,0.42,0.45901639344262296,100
0.0,7,ordinal_harm_blend_50,5,0.5948275862068966,0.696969696969697,0.641860465116279,99
0.0,7,ordinal_harm_blend_50,high_grade_4_5,0.7336683417085427,0.7336683417085427,0.7336683417085427,199
0.0,42,adaptive_ordinal_harm,0,0.5620915032679739,0.8514851485148515,0.6771653543307087,101
0.0,42,adaptive_ordinal_harm,1,0.43209876543209874,0.35353535353535354,0.3888888888888889,99
0.0,42,adaptive_ordinal_harm,2,0.5,0.35353535353535354,0.41420118343195267,99
0.0,42,adaptive_ordinal_harm,3,0.43333333333333335,0.39,0.4105263157894737,100
0.0,42,adaptive_ordinal_harm,4,0.4752475247524752,0.4752475247524752,0.4752475247524752,101
0.0,42,adaptive_ordinal_harm,5,0.6132075471698113,0.6435643564356436,0.6280193236714976,101
0.0,42,adaptive_ordinal_harm,high_grade_4_5,0.6956521739130435,0.7128712871287128,0.7041564792176039,202
0.0,42,cross_site_blend_50,0,0.5533333333333333,0.8217821782178217,0.6613545816733067,101
0.0,42,cross_site_blend_50,1,0.375,0.18181818181818182,0.24489795918367346,99
0.0,42,cross_site_blend_50,2,0.45901639344262296,0.5656565656565656,0.5067873303167421,99
0.0,42,cross_site_blend_50,3,0.532258064516129,0.33,0.4074074074074074,100
0.0,42,cross_site_blend_50,4,0.5232558139534884,0.44554455445544555,0.48128342245989303,101
0.0,42,cross_site_blend_50,5,0.5639097744360902,0.7425742574257426,0.6410256410256411,101
0.0,42,cross_site_blend_50,high_grade_4_5,0.6986301369863014,0.7574257425742574,0.7268408551068883,202
0.0,42,fedavg,0,0.5939849624060151,0.7821782178217822,0.6752136752136753,101
0.0,42,fedavg,1,0.43820224719101125,0.3939393939393939,0.4148936170212766,99
0.0,42,fedavg,2,0.4567901234567901,0.37373737373737376,0.4111111111111111,99
0.0,42,fedavg,3,0.43820224719101125,0.39,0.4126984126984127,100
0.0,42,fedavg,4,0.5633802816901409,0.39603960396039606,0.46511627906976744,101
0.0,42,fedavg,5,0.5507246376811594,0.7524752475247525,0.6359832635983264,101
0.0,42,fedavg,high_grade_4_5,0.7129186602870813,0.7376237623762376,0.7250608272506083,202
0.0,42,ordinal_harm_blend_50,0,0.5483870967741935,0.8415841584158416,0.6640625,101
