seed,strategy,global_accuracy,global_loss,worst_site_accuracy,global_qwk,macro_f1,worst_site_qwk,mean_site_qwk,weight_entropy,n_eff,source_path
123,fedavg,0.43427620632279534,1.454132318496704,0.37777777777777777,0.6095411465904521,0.4116121172182381,0.5813457830102506,0.6126495972418244,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_123\summary.csv
123,cross_site_blend_50,0.4442595673876872,1.4117913246154785,0.3888888888888889,0.6371589104509112,0.42996348467461426,0.6139506413288445,0.6404955421275395,1.5706599965194017,4.5993456077128645,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_123\summary.csv
123,ordinal_harm_blend_50,0.4475873544093178,1.405830979347229,0.40789473684210525,0.6336238086804946,0.4364771269916508,0.5912764440218683,0.6405579435764024,1.5768755164824628,4.661816232049292,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_123\summary.csv
123,adaptive_ordinal_harm,0.4442595673876872,1.3985008001327515,0.42105263157894735,0.637443752297806,0.43277165756442754,0.6006539000467072,0.6460863798942631,1.5833487839954135,4.728040323861756,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_123\summary.csv
2025,fedavg,0.4425956738768719,1.4489164352416992,0.40370370370370373,0.6064319909015002,0.4269651925620486,0.4246823956442831,0.6058183199662552,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_2025\summary.csv
2025,cross_site_blend_50,0.4475873544093178,1.4240381717681885,0.37777777777777777,0.622172229360531,0.43965740743194887,0.38432122370936894,0.621631985742242,1.5691406366447531,4.584401161586435,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_2025\summary.csv
2025,ordinal_harm_blend_50,0.43261231281198004,1.4184610843658447,0.37777777777777777,0.6053875195466052,0.4199485278794018,0.4249512670565302,0.6042417379747448,1.5743192505780363,4.6364400522320866,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_2025\summary.csv
2025,adaptive_ordinal_harm,0.4226289517470882,1.4074479341506958,0.37777777777777777,0.5820313099990272,0.4074343994395688,0.38563327032136097,0.5839608740714752,1.5978493020772535,4.879004127056428,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_2025\summary.csv
42,fedavg,0.4525790349417637,1.4156379699707031,0.37777777777777777,0.6317792375942917,0.43519511980091413,0.5780445969125214,0.6440418592755321,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_42\summary.csv
42,cross_site_blend_50,0.47088186356073214,1.3820682764053345,0.4111111111111111,0.6627588406715373,0.4577618855134811,0.6222222222222222,0.6724466645579164,1.5690724312793152,4.584236836777927,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_42\summary.csv
42,ordinal_harm_blend_50,0.47420965058236275,1.3855844736099243,0.4222222222222222,0.6644708031533704,0.4574086734440434,0.5578583765112263,0.6748882374487744,1.5710161900970383,4.602215342957621,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_42\summary.csv
42,adaptive_ordinal_harm,0.46089850249584025,1.3868123292922974,0.4148148148148148,0.6555798789906773,0.43955034695590695,0.5820642978003384,0.6605538141831994,1.5684651313535307,4.576789077721645,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_42\summary.csv
7,fedavg,0.46256239600665555,1.3919777870178223,0.40370370370370373,0.6565256368976853,0.45047101481595764,0.6190201729106628,0.6732052730346958,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_7\summary.csv
7,cross_site_blend_50,0.5074875207986689,1.3581546545028687,0.44074074074074077,0.6643641973392018,0.4926503892502721,0.6094125013043932,0.671155776843323,1.5692853009102241,4.585833383433805,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_7\summary.csv
7,ordinal_harm_blend_50,0.4875207986688852,1.3586026430130005,0.43703703703703706,0.6713275249608572,0.4781124102050884,0.6140428350629278,0.6866927303382127,1.5717355273264866,4.610883433457654,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_7\summary.csv
7,adaptive_ordinal_harm,0.4908485856905158,1.3709385395050049,0.43333333333333335,0.671464108263456,0.4791780329113477,0.6287669720719726,0.6857380425961906,1.5203134087609924,4.133491458010301,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_7\summary.csv
99,fedavg,0.3876871880199667,1.5040565729141235,0.35555555555555557,0.533291406127847,0.377587212635666,0.4259871281962081,0.5212224710069943,1.447865223410363,3.584382912358957,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_99\summary.csv
99,cross_site_blend_50,0.40099833610648916,1.470908522605896,0.36666666666666664,0.5458361845461652,0.3897470553459082,0.39017667649734034,0.5362147862650664,1.568716816480615,4.580379532653584,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_99\summary.csv
99,ordinal_harm_blend_50,0.40266222961730447,1.4739149808883667,0.3333333333333333,0.5656787012019213,0.39146621055594705,0.4076640150543154,0.5623306208640605,1.5731002892978532,4.623985837748543,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_99\summary.csv
99,adaptive_ordinal_harm,0.4193011647254576,1.45844566822052,0.36,0.5828435404704226,0.40978517430212474,0.43251877592198185,0.5800842188930938,1.6032040934674274,4.935344697384926,results\ordinal_harm_fair_weights_h_3000_noise_45_seed_99\summary.csv
