phase,variant,fold,seed,acquisition_dim,cross_covariance_weight,paired_category_contrast,paired_scanner_contrast,biological_scanner_leakage,biological_category_preservation,acquisition_scanner_capture,acquisition_category_leakage,acq_category_delta_vs_true_pair_reference,acq_scanner_delta_vs_true_pair_reference,bio_scanner_delta_vs_true_pair_reference,bio_category_delta_vs_true_pair_reference
smoke,acq_dim16_default,0,0,16,0.05,0.04167864301739674,0.4777777777777778,0.3722222222222222,0.2756890194563978,0.85,0.23401037643900105,-0.11158962356099897,-0.015100000000000002,0.010822222222222178,-0.11031098054360222
smoke,acq_dim16_stronger_xcov,0,0,16,0.2,0.11699607377983745,0.49999999999999994,0.35555555555555557,0.2834547289344956,0.8555555555555555,0.16645865515465813,-0.1791413448453419,-0.009544444444444466,-0.00584444444444443,-0.10254527106550443
smoke,acq_dim32_default,0,0,32,0.05,0.012965974291073656,0.475,0.35277777777777775,0.29868786549707604,0.8277777777777777,0.2857218912060024,-0.05987810879399763,-0.03732222222222226,-0.008622222222222253,-0.08731213450292397
smoke,acq_dim32_stronger_xcov,0,0,32,0.2,0.05275000919489503,0.4736111111111111,0.3486111111111111,0.30521076998050684,0.8222222222222222,0.2524607607856118,-0.09313923921438821,-0.04287777777777779,-0.012788888888888905,-0.08078923001949317
smoke,acq_dim64_current,0,0,64,0.05,-0.011703354297693924,0.5013888888888889,0.3375,0.2998524219353415,0.8388888888888889,0.31155577623303543,-0.03404422376696459,-0.026211111111111074,-0.023899999999999977,-0.0861475780646585
smoke,acq_dim8_default,0,0,8,0.05,0.17265983026223833,0.4805555555555556,0.3583333333333333,0.30693481279193785,0.8388888888888889,0.13427498252969952,-0.2113250174703005,-0.026211111111111074,-0.0030666666666667175,-0.07906518720806216
full,acq_dim16_stronger_xcov,0,911,16,0.2,0.19281710894111584,0.4499999999999999,0.36527777777777776,0.33204147357387176,0.8152777777777777,0.13922436463275592,-0.2063756353672441,-0.04982222222222232,0.003877777777777758,-0.05395852642612825
full,acq_dim16_stronger_xcov,0,912,16,0.2,0.17211951524513597,0.5027777777777778,0.33888888888888885,0.3161221449851043,0.8416666666666666,0.14400262973996836,-0.20159737026003166,-0.023433333333333417,-0.02251111111111115,-0.06987785501489568
full,acq_dim16_stronger_xcov,0,913,16,0.2,0.13806371602486298,0.4958333333333333,0.3236111111111111,0.2907447864945382,0.8194444444444444,0.15268107046967525,-0.19291892953032477,-0.04565555555555556,-0.03778888888888887,-0.09525521350546179
full,acq_dim16_stronger_xcov,0,914,16,0.2,0.18024773345838388,0.5,0.3305555555555555,0.34726277170914704,0.8305555555555555,0.16701503825076316,-0.17858496174923685,-0.03454444444444449,-0.030844444444444508,-0.038737228290852965
full,acq_dim16_stronger_xcov,0,915,16,0.2,0.10859129611239834,0.43749999999999994,0.3875,0.30511679815366505,0.825,0.1965255020412667,-0.14907449795873332,-0.040100000000000025,0.026100000000000012,-0.08088320184633496
full,acq_dim16_stronger_xcov,1,911,16,0.2,0.21268406175255491,0.5174603174603174,0.3386243386243386,0.3422148293107197,0.856084656084656,0.1295307675581648,-0.2160692324418352,-0.009015343915343976,-0.022775661375661393,-0.043785170689280284
full,acq_dim16_stronger_xcov,1,912,16,0.2,0.16823787779952168,0.5132275132275133,0.3439153439153439,0.357849967384214,0.8571428571428571,0.1896120895846923,-0.1559879104153077,-0.007957142857142885,-0.017484656084656103,-0.028150032615786025
full,acq_dim16_stronger_xcov,1,913,16,0.2,0.23971819960861054,0.43915343915343913,0.40211640211640215,0.3778899760817569,0.8412698412698413,0.13817177647314635,-0.20742822352685367,-0.0238301587301587,0.04071640211640215,-0.008110023918243114
full,acq_dim16_stronger_xcov,1,914,16,0.2,0.16333985649054145,0.4761904761904761,0.3904761904761905,0.3892654924983692,0.8666666666666666,0.22592563600782778,-0.11967436399217224,0.0015666666666666051,0.029076190476190478,0.0032654924983692157
full,acq_dim16_stronger_xcov,1,915,16,0.2,0.1603561643835616,0.4772486772486773,0.3777777777777777,0.3787845183735594,0.855026455026455,0.21842835398999783,-0.1271716460100022,-0.010073544973544957,0.016377777777777713,-0.00721548162644059
full,acq_dim16_stronger_xcov,2,911,16,0.2,0.2826495726495727,0.5406896551724139,0.3282758620689655,0.47945609945609946,0.8689655172413794,0.1968065268065268,-0.14879347319347322,0.0038655172413794014,-0.033124137931034525,0.09345609945609945
full,acq_dim16_stronger_xcov,2,912,16,0.2,0.33158119658119667,0.5337931034482759,0.3255172413793103,0.4971341621341622,0.8593103448275862,0.16555296555296556,-0.18004703444703446,-0.00578965517241381,-0.03588275862068968,0.11113416213416222
full,acq_dim16_stronger_xcov,2,913,16,0.2,0.2910372960372961,0.5393103448275862,0.32275862068965516,0.440985495985496,0.8620689655172413,0.14994819994819994,-0.19565180005180008,-0.0030310344827586544,-0.03864137931034484,0.054985495985496013
full,acq_dim16_stronger_xcov,2,914,16,0.2,0.291996891996892,0.45517241379310347,0.4041379310344827,0.4816252266252266,0.8593103448275862,0.18962833462833462,-0.1559716653716654,-0.00578965517241381,0.0427379310344827,0.0956252266252266
full,acq_dim16_stronger_xcov,2,915,16,0.2,0.2972701372701373,0.47448275862068956,0.37655172413793103,0.47167961667961666,0.8510344827586206,0.1744094794094794,-0.17119052059052062,-0.014065517241379388,0.015151724137931033,0.08567961667961665
full,acq_dim16_stronger_xcov,3,911,16,0.2,0.2868960004092962,0.5179487179487181,0.3641025641025641,0.4351966433453138,0.8820512820512821,0.14830064293601763,-0.19729935706398238,0.016951282051282157,0.0027025641025640867,0.04919664334531382
full,acq_dim16_stronger_xcov,3,912,16,0.2,0.2587370336262359,0.5115384615384616,0.36923076923076925,0.40345407569420466,0.8807692307692309,0.14471704206796876,-0.20088295793203126,0.01566923076923088,0.007830769230769252,0.01745407569420465
full,acq_dim16_stronger_xcov,3,913,16,0.2,0.24887792103142628,0.5397435897435898,0.3474358974358974,0.38811915633833444,0.8871794871794872,0.13924123530690816,-0.20635876469309186,0.022079487179487267,-0.013964102564102576,0.002119156338334427
full,acq_dim16_stronger_xcov,3,914,16,0.2,0.23808989805968045,0.49615384615384617,0.3961538461538462,0.4065130846859291,0.8923076923076924,0.16842318662624867,-0.17717681337375135,0.027207692307692377,0.03475384615384619,0.020513084685929106
