phase,variant,branch,fold,seed,source,projected_path,metadata_method,variant_family,acquisition_dim,biological_dim,hidden_dim,cross_covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,gradient_reversal_strength,reconstruction_weight,variance_weight,covariance_weight,temperature,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1,category_weighted_f1,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,n_fit_rows,n_test_rows,n_fit_samples,n_test_samples,n_fit_regions,n_test_regions,pair_non_anchor_region_mismatch_fraction,pair_non_anchor_same_sample_fraction
full,acq_dim16_stronger_xcov,acquisition,0,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8152777777777777,0.813578079450729,0.13922436463275592,0.09973485998052799,0.10184791711285766,0.3736111111111111,0.36027777777777775,0.32763888888888887,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,biological,0,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.36527777777777776,0.3606674045533439,0.33204147357387176,0.24450187738021115,0.29687592288089915,0.9638888888888889,0.8752777777777778,0.7188888888888889,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,0,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8416666666666666,0.8398178731854975,0.14400262973996836,0.10245904084894944,0.0996379683603327,0.38333333333333336,0.34444444444444444,0.3173611111111111,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,biological,0,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.33888888888888885,0.33383466837956355,0.3161221449851043,0.270425365881266,0.2766910796231535,0.9625,0.8783333333333333,0.7161111111111111,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,0,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8194444444444444,0.8171607301249264,0.15268107046967525,0.09959095525517703,0.10752207910513353,0.3875,0.3547222222222222,0.33055555555555555,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,biological,0,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3236111111111111,0.31799455553245504,0.2907447864945382,0.21896145977186546,0.27140744439438647,0.9583333333333334,0.8841666666666667,0.7280555555555556,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,0,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8305555555555555,0.8284017126101721,0.16701503825076316,0.1237062446688854,0.12678705229427692,0.39444444444444443,0.37083333333333335,0.33944444444444444,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,biological,0,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3305555555555555,0.308535242128377,0.34726277170914704,0.264482914914598,0.31033883626960057,0.9541666666666667,0.8727777777777778,0.7063888888888888,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,0,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.825,0.8240820679970355,0.1965255020412667,0.12927383900056294,0.11719164593129278,0.39444444444444443,0.3552777777777778,0.32708333333333334,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,biological,0,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_0\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3875,0.38670098132685327,0.30511679815366505,0.22899086079257427,0.2846090189355021,0.95,0.88,0.7272222222222222,3305,720,36,8,661,144,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,1,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.856084656084656,0.8555692122282244,0.1295307675581648,0.08743784738036431,0.09573548926612496,0.3798941798941799,0.3189417989417989,0.2967195767195767,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,biological,1,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3386243386243386,0.3379326883533533,0.3422148293107197,0.30325949941275915,0.4603517130755231,0.9915343915343915,0.9068783068783068,0.7603174603174603,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,1,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8571428571428571,0.8568786298199218,0.1896120895846923,0.148581093414966,0.20931855327798074,0.40105820105820106,0.33650793650793653,0.3100529100529101,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,biological,1,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3439153439153439,0.3384662034722982,0.357849967384214,0.36001649511860023,0.43763305262557745,0.9915343915343915,0.9077248677248677,0.7682539682539683,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,1,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8412698412698413,0.8407778043939323,0.13817177647314635,0.11116889966705472,0.15706206779750448,0.3862433862433862,0.33037037037037037,0.30507936507936506,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,biological,1,913,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_913\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.40211640211640215,0.4004273342340877,0.3778899760817569,0.3863847963046961,0.49523194406121873,0.9915343915343915,0.9068783068783068,0.7642328042328043,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,1,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8666666666666666,0.8663304280261362,0.22592563600782778,0.13135846137237472,0.15632327642424088,0.37566137566137564,0.3322751322751323,0.3093121693121693,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,biological,1,914,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_914\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3904761904761905,0.38229962071220563,0.3892654924983692,0.39324119086363435,0.4928140716291411,0.9915343915343915,0.9051851851851852,0.7617989417989418,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,1,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.855026455026455,0.8547684612783654,0.21842835398999783,0.13424537783006002,0.17313596666143052,0.3862433862433862,0.3261375661375661,0.30878306878306877,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,biological,1,915,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_1\runs\acq_dim16_stronger_xcov_seed_915\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3777777777777777,0.36827108169069966,0.3787845183735594,0.3805146750565555,0.4732746696886667,0.9915343915343915,0.9003174603174603,0.7516402116402117,3080,945,35,9,616,189,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,2,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8689655172413794,0.868887658151988,0.1968065268065268,0.11619531240093564,0.11823480164756739,0.31724137931034485,0.29186206896551725,0.27089655172413796,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,biological,2,911,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_911\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3282758620689655,0.3273359625648847,0.47945609945609946,0.4781698513910902,0.47697731347948735,0.9586206896551724,0.8943448275862069,0.7481379310344828,3300,725,35,9,660,145,0.0,1.0
full,acq_dim16_stronger_xcov,acquisition,2,912,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\full\fold_2\runs\acq_dim16_stronger_xcov_seed_912\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8593103448275862,0.859443875885774,0.16555296555296556,0.11330686702198119,0.11199337138645483,0.3489655172413793,0.3037241379310345,0.27820689655172415,3300,725,35,9,660,145,0.0,1.0
