phase,variant,branch,fold,seed,source,projected_path,metadata_method,variant_family,acquisition_dim,biological_dim,hidden_dim,cross_covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,gradient_reversal_strength,reconstruction_weight,variance_weight,covariance_weight,temperature,scanner_balanced_accuracy,scanner_macro_f1,category_balanced_accuracy,category_macro_f1,category_weighted_f1,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,n_fit_rows,n_test_rows,n_fit_samples,n_test_samples,n_fit_regions,n_test_regions,pair_non_anchor_region_mismatch_fraction,pair_non_anchor_same_sample_fraction
smoke,acq_dim16_default,acquisition,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim16_default_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,16,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.85,0.849006542737424,0.23401037643900105,0.15768441981841305,0.1567174770200576,0.3902777777777778,0.37277777777777776,0.3338888888888889,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim16_default,biological,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim16_default_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,16,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3722222222222222,0.3707329045832819,0.2756890194563978,0.20326944980153255,0.2665673309401547,0.9597222222222223,0.8858333333333334,0.7238888888888889,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim16_stronger_xcov,acquisition,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim16_stronger_xcov_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8555555555555555,0.8542454820293024,0.16645865515465813,0.1199544667402435,0.12733817438294326,0.3736111111111111,0.3541666666666667,0.32666666666666666,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim16_stronger_xcov,biological,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim16_stronger_xcov_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,16,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.35555555555555557,0.35284483160501096,0.2834547289344956,0.20714748971838184,0.268068365446676,0.9583333333333334,0.8883333333333333,0.7254166666666667,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim32_default,acquisition,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim32_default_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,32,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8277777777777777,0.8268358621166154,0.2857218912060024,0.1970458384963502,0.18996703630949535,0.4791666666666667,0.43027777777777776,0.3804166666666667,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim32_default,biological,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim32_default_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,32,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.35277777777777775,0.35246834186582954,0.29868786549707604,0.2288080266732661,0.2769401838448634,0.9541666666666667,0.8825,0.7226388888888889,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim32_stronger_xcov,acquisition,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim32_stronger_xcov_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,32,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8222222222222222,0.8214024376795278,0.2524607607856118,0.17647273370398356,0.18524041889519682,0.4722222222222222,0.41333333333333333,0.36791666666666667,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim32_stronger_xcov,biological,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim32_stronger_xcov_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck_stronger_separation,32,256,512,0.2,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3486111111111111,0.3479040476032588,0.30521076998050684,0.23095458485340434,0.27969411136597067,0.9527777777777777,0.8822222222222222,0.7223611111111111,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim64_current,acquisition,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim64_current_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,64,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.8388888888888889,0.8395704858048317,0.31155577623303543,0.21614517635242483,0.23963523148551774,0.5555555555555556,0.49194444444444446,0.43083333333333335,3305,720,36,8,661,144,0.0,1.0
smoke,acq_dim64_current,biological,0,0,trained,results\paired_acquisition_factorization_acquisition_bottleneck_separation_frontier\trained_runs\smoke\fold_0\runs\acq_dim64_current_seed_0\projected_features.npz,pathoalign,acquisition_bottleneck,64,256,512,0.05,0.5,0.5,20.0,1.0,1.0,1.0,0.01,0.1,0.3375,0.3294766438941764,0.2998524219353415,0.2221775260887488,0.28008002027509193,0.95,0.8816666666666667,0.7275,3305,720,36,8,661,144,0.0,1.0
