phase,variant,branch,n_rows,n_folds,n_seeds,acquisition_dim,cross_covariance_weight,scanner_balanced_accuracy_mean,scanner_balanced_accuracy_std,scanner_balanced_accuracy_min,scanner_balanced_accuracy_max,scanner_macro_f1_mean,scanner_macro_f1_std,scanner_macro_f1_min,scanner_macro_f1_max,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_balanced_accuracy_min,category_balanced_accuracy_max,category_macro_f1_mean,category_macro_f1_std,category_macro_f1_min,category_macro_f1_max,category_weighted_f1_mean,category_weighted_f1_std,category_weighted_f1_min,category_weighted_f1_max,same_category_purity_k1_mean,same_category_purity_k1_std,same_category_purity_k1_min,same_category_purity_k1_max,same_category_purity_k5_mean,same_category_purity_k5_std,same_category_purity_k5_min,same_category_purity_k5_max,same_category_purity_k10_mean,same_category_purity_k10_std,same_category_purity_k10_min,same_category_purity_k10_max
full,acq_dim16_stronger_xcov,acquisition,25,5,5,16,0.2,0.8637537927488925,0.024741968066934523,0.8152777777777777,0.8959064327485379,0.8634038092275556,0.025386430218712085,0.813578079450729,0.8960455741289033,0.16893719098014373,0.026926670659644065,0.1295307675581648,0.22592563600782778,0.11767458539036144,0.021693304424485724,0.07863578404915157,0.15491691279368996,0.13807548327718985,0.03753583073796484,0.08081066497032495,0.20931855327798074,0.3806393992644446,0.039379576492757376,0.3117241379310345,0.46282051282051284,0.33757064308280277,0.04345703100702225,0.27641379310344827,0.4207692307692308,0.3164658633394568,0.04472163751049402,0.25848275862068965,0.4024358974358974
full,acq_dim16_stronger_xcov,biological,25,5,5,16,0.2,0.3593442039374889,0.027500576893126853,0.32275862068965516,0.4041379310344827,0.35462119177199264,0.02863295469124494,0.308535242128377,0.4004273342340877,0.3823958562361102,0.058252295907767815,0.2907447864945382,0.4971341621341622,0.33935890551082504,0.06854628058398307,0.21896145977186546,0.48963690718744174,0.41350679152618547,0.07221175035202522,0.27140744439438647,0.49523194406121873,0.9730195033708645,0.016781371039651865,0.95,0.9948717948717949,0.8975810909235955,0.01603441533227962,0.8727777777777778,0.9256410256410257,0.7519176256881519,0.02476398208940266,0.7063888888888888,0.8005128205128205
full,acq_dim8_default,acquisition,25,5,5,8,0.05,0.8642910567015831,0.021663127474539086,0.8222222222222222,0.8970760233918128,0.8640453990363085,0.022073486770026223,0.8210491553689472,0.8967913895102075,0.15976692314291616,0.0282412372699056,0.0983408041855162,0.2060588404809934,0.1044090951855415,0.01737829708535948,0.06977980704158707,0.14233594551442869,0.10872124857646405,0.029455662061986868,0.054021476406278,0.1943630892796744,0.3264733833552345,0.043225064013156206,0.27034482758620687,0.41410256410256413,0.30596904991627316,0.042389910688800575,0.2595862068965517,0.38871794871794874,0.2923767476013937,0.04280452403232305,0.2470344827586207,0.37474358974358973
full,acq_dim8_default,biological,25,5,5,8,0.05,0.3690906920262637,0.023342718479321144,0.33055555555555555,0.4076923076923077,0.36244081349215174,0.02635296489830765,0.30606788073319513,0.4033781978762245,0.38517307698316666,0.06089281073180442,0.2906103341424841,0.5095363895363896,0.338559497052739,0.06386736697692787,0.24972152930711575,0.4679190409911707,0.41165828987290903,0.07263962685876968,0.2655164169435863,0.4919352589351608,0.9729854725969064,0.017214802242935853,0.95,0.9961538461538462,0.897089106970196,0.01681894892358565,0.8713888888888889,0.926923076923077,0.7508815295016202,0.025792260625119003,0.70875,0.7976923076923077
smoke,acq_dim16_default,acquisition,1,1,1,16,0.05,0.85,,0.85,0.85,0.849006542737424,,0.849006542737424,0.849006542737424,0.23401037643900105,,0.23401037643900105,0.23401037643900105,0.15768441981841305,,0.15768441981841305,0.15768441981841305,0.1567174770200576,,0.1567174770200576,0.1567174770200576,0.3902777777777778,,0.3902777777777778,0.3902777777777778,0.37277777777777776,,0.37277777777777776,0.37277777777777776,0.3338888888888889,,0.3338888888888889,0.3338888888888889
smoke,acq_dim16_default,biological,1,1,1,16,0.05,0.3722222222222222,,0.3722222222222222,0.3722222222222222,0.3707329045832819,,0.3707329045832819,0.3707329045832819,0.2756890194563978,,0.2756890194563978,0.2756890194563978,0.20326944980153255,,0.20326944980153255,0.20326944980153255,0.2665673309401547,,0.2665673309401547,0.2665673309401547,0.9597222222222223,,0.9597222222222223,0.9597222222222223,0.8858333333333334,,0.8858333333333334,0.8858333333333334,0.7238888888888889,,0.7238888888888889,0.7238888888888889
smoke,acq_dim16_stronger_xcov,acquisition,1,1,1,16,0.2,0.8555555555555555,,0.8555555555555555,0.8555555555555555,0.8542454820293024,,0.8542454820293024,0.8542454820293024,0.16645865515465813,,0.16645865515465813,0.16645865515465813,0.1199544667402435,,0.1199544667402435,0.1199544667402435,0.12733817438294326,,0.12733817438294326,0.12733817438294326,0.3736111111111111,,0.3736111111111111,0.3736111111111111,0.3541666666666667,,0.3541666666666667,0.3541666666666667,0.32666666666666666,,0.32666666666666666,0.32666666666666666
smoke,acq_dim16_stronger_xcov,biological,1,1,1,16,0.2,0.35555555555555557,,0.35555555555555557,0.35555555555555557,0.35284483160501096,,0.35284483160501096,0.35284483160501096,0.2834547289344956,,0.2834547289344956,0.2834547289344956,0.20714748971838184,,0.20714748971838184,0.20714748971838184,0.268068365446676,,0.268068365446676,0.268068365446676,0.9583333333333334,,0.9583333333333334,0.9583333333333334,0.8883333333333333,,0.8883333333333333,0.8883333333333333,0.7254166666666667,,0.7254166666666667,0.7254166666666667
smoke,acq_dim32_default,acquisition,1,1,1,32,0.05,0.8277777777777777,,0.8277777777777777,0.8277777777777777,0.8268358621166154,,0.8268358621166154,0.8268358621166154,0.2857218912060024,,0.2857218912060024,0.2857218912060024,0.1970458384963502,,0.1970458384963502,0.1970458384963502,0.18996703630949535,,0.18996703630949535,0.18996703630949535,0.4791666666666667,,0.4791666666666667,0.4791666666666667,0.43027777777777776,,0.43027777777777776,0.43027777777777776,0.3804166666666667,,0.3804166666666667,0.3804166666666667
smoke,acq_dim32_default,biological,1,1,1,32,0.05,0.35277777777777775,,0.35277777777777775,0.35277777777777775,0.35246834186582954,,0.35246834186582954,0.35246834186582954,0.29868786549707604,,0.29868786549707604,0.29868786549707604,0.2288080266732661,,0.2288080266732661,0.2288080266732661,0.2769401838448634,,0.2769401838448634,0.2769401838448634,0.9541666666666667,,0.9541666666666667,0.9541666666666667,0.8825,,0.8825,0.8825,0.7226388888888889,,0.7226388888888889,0.7226388888888889
smoke,acq_dim32_stronger_xcov,acquisition,1,1,1,32,0.2,0.8222222222222222,,0.8222222222222222,0.8222222222222222,0.8214024376795278,,0.8214024376795278,0.8214024376795278,0.2524607607856118,,0.2524607607856118,0.2524607607856118,0.17647273370398356,,0.17647273370398356,0.17647273370398356,0.18524041889519682,,0.18524041889519682,0.18524041889519682,0.4722222222222222,,0.4722222222222222,0.4722222222222222,0.41333333333333333,,0.41333333333333333,0.41333333333333333,0.36791666666666667,,0.36791666666666667,0.36791666666666667
smoke,acq_dim32_stronger_xcov,biological,1,1,1,32,0.2,0.3486111111111111,,0.3486111111111111,0.3486111111111111,0.3479040476032588,,0.3479040476032588,0.3479040476032588,0.30521076998050684,,0.30521076998050684,0.30521076998050684,0.23095458485340434,,0.23095458485340434,0.23095458485340434,0.27969411136597067,,0.27969411136597067,0.27969411136597067,0.9527777777777777,,0.9527777777777777,0.9527777777777777,0.8822222222222222,,0.8822222222222222,0.8822222222222222,0.7223611111111111,,0.7223611111111111,0.7223611111111111
smoke,acq_dim64_current,acquisition,1,1,1,64,0.05,0.8388888888888889,,0.8388888888888889,0.8388888888888889,0.8395704858048317,,0.8395704858048317,0.8395704858048317,0.31155577623303543,,0.31155577623303543,0.31155577623303543,0.21614517635242483,,0.21614517635242483,0.21614517635242483,0.23963523148551774,,0.23963523148551774,0.23963523148551774,0.5555555555555556,,0.5555555555555556,0.5555555555555556,0.49194444444444446,,0.49194444444444446,0.49194444444444446,0.43083333333333335,,0.43083333333333335,0.43083333333333335
smoke,acq_dim64_current,biological,1,1,1,64,0.05,0.3375,,0.3375,0.3375,0.3294766438941764,,0.3294766438941764,0.3294766438941764,0.2998524219353415,,0.2998524219353415,0.2998524219353415,0.2221775260887488,,0.2221775260887488,0.2221775260887488,0.28008002027509193,,0.28008002027509193,0.28008002027509193,0.95,,0.95,0.95,0.8816666666666667,,0.8816666666666667,0.8816666666666667,0.7275,,0.7275,0.7275
smoke,acq_dim8_default,acquisition,1,1,1,8,0.05,0.8388888888888889,,0.8388888888888889,0.8388888888888889,0.8382959652245938,,0.8382959652245938,0.8382959652245938,0.13427498252969952,,0.13427498252969952,0.13427498252969952,0.08423426375966218,,0.08423426375966218,0.08423426375966218,0.0776441217125905,,0.0776441217125905,0.0776441217125905,0.3277777777777778,,0.3277777777777778,0.3277777777777778,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3136111111111111,,0.3136111111111111,0.3136111111111111
smoke,acq_dim8_default,biological,1,1,1,8,0.05,0.3583333333333333,,0.3583333333333333,0.3583333333333333,0.3538966853124783,,0.3538966853124783,0.3538966853124783,0.30693481279193785,,0.30693481279193785,0.30693481279193785,0.2358843954321461,,0.2358843954321461,0.2358843954321461,0.2898070551954663,,0.2898070551954663,0.2898070551954663,0.9583333333333334,,0.9583333333333334,0.9583333333333334,0.8827777777777778,,0.8827777777777778,0.8827777777777778,0.7220833333333333,,0.7220833333333333,0.7220833333333333
