dataset_backbone,fold,seed,condition,scanner_probe_delta,paired_cosine_delta,top1_retrieval_delta,effective_rank_delta,bio_scanner_tissue_ratio,acq_scanner_tissue_ratio
SCORPION_DINOv2,0,701,true_pairs,0.4279999999999998,-0.5935712870210409,-0.9105,-50.55503827714754,0.41800000000000004,9.452513966480444
SCORPION_DINOv2,0,701,shuffled_region_pairs,0.488,-0.36548062562942507,-0.6019999999999999,-29.138699037208102,0.3493975903614458,2.1218274111675126
SCORPION_DINOv2,0,701,shuffled_sample_pairs,0.5080000000000001,-0.3092529369518161,-0.5860000000000001,-24.7165402421312,0.3423331635252164,2.134007585335019
SCORPION_DINOv2,0,702,true_pairs,0.474,-0.5781819298863411,-0.906,-51.132494700876265,0.37,8.97872340425532
SCORPION_DINOv2,0,702,shuffled_region_pairs,0.4760000000000001,-0.344233773695305,-0.6105,-28.858300614592142,0.3586901763224181,2.1780104712041886
SCORPION_DINOv2,0,702,shuffled_sample_pairs,0.49600000000000005,-0.30263826590962706,-0.5825,-22.700051122083053,0.3444387493593029,2.11704834605598
SCORPION_DINOv2,0,703,true_pairs,0.4859999999999998,-0.5847314655780792,-0.892,-51.28301712596766,0.35200000000000004,7.759259259259257
SCORPION_DINOv2,0,703,shuffled_region_pairs,0.5000000000000001,-0.3532472178339958,-0.6199999999999999,-30.965628215093368,0.3493975903614458,2.2553191489361706
SCORPION_DINOv2,0,703,shuffled_sample_pairs,0.52,-0.29287372790277,-0.5845,-25.480482668843095,0.33946830265848665,2.1651842439644216
SCORPION_DINOv2,0,704,true_pairs,0.47600000000000003,-0.5657867178320884,-0.9159999999999999,-51.76559347278922,0.38219109554777386,10.275449101796406
SCORPION_DINOv2,0,704,shuffled_region_pairs,0.502,-0.3390473235398531,-0.634,-30.206282712284175,0.35045317220543803,2.367688022284123
SCORPION_DINOv2,0,704,shuffled_sample_pairs,0.512,-0.29093778822571037,-0.6094999999999999,-25.075935283099728,0.34349593495934955,2.2696929238985315
SCORPION_DINOv2,0,705,true_pairs,0.4800000000000001,-0.5424303770065307,-0.896,-51.182269867333844,0.366,8.134615384615385
SCORPION_DINOv2,0,705,shuffled_region_pairs,0.4620000000000001,-0.33474371274933223,-0.6059999999999999,-28.132679204387898,0.37134207870837543,2.1558441558441563
SCORPION_DINOv2,0,705,shuffled_sample_pairs,0.4899999999999999,-0.26216030530631546,-0.5529999999999999,-23.372572316090057,0.3483606557377049,1.9621749408983447
SCORPION_DINOv2,1,701,true_pairs,0.496,-0.5913552023470401,-0.8905,-54.07999049615732,0.37,7.908675799086758
SCORPION_DINOv2,1,701,shuffled_region_pairs,0.518,-0.3915182963013649,-0.5690000000000001,-27.585072712326458,0.3353413654618474,1.9953161592505853
SCORPION_DINOv2,1,701,shuffled_sample_pairs,0.5519999999999999,-0.3360664751380682,-0.5430000000000001,-23.052933596741685,0.3181118522319137,1.9976825028968714
SCORPION_DINOv2,1,702,true_pairs,0.502,-0.5795908831059933,-0.8905,-53.978151344627555,0.358,7.853881278538812
SCORPION_DINOv2,1,702,shuffled_region_pairs,0.4839999999999998,-0.3812100492417812,-0.58,-26.619957288005594,0.37255883825738617,2.0454002389486257
SCORPION_DINOv2,1,702,shuffled_sample_pairs,0.5120000000000001,-0.30689640175551175,-0.5455,-23.94686298605771,0.3590005099439062,1.9862068965517246
SCORPION_DINOv2,1,703,true_pairs,0.514,-0.5903243113309145,-0.881,-53.560573931413586,0.336,7.1428571428571415
SCORPION_DINOv2,1,703,shuffled_region_pairs,0.504,-0.3775600060820579,-0.5594999999999999,-27.00496398184709,0.34686716791979955,1.9406392694063925
SCORPION_DINOv2,1,703,shuffled_sample_pairs,0.5680000000000001,-0.3214519482105971,-0.5024999999999998,-22.95212384388342,0.2976554536187564,1.7972831765935213
SCORPION_DINOv2,1,704,true_pairs,0.4880000000000001,-0.5627161026000976,-0.886,-53.1468722008332,0.36,7.43859649122807
SCORPION_DINOv2,1,704,shuffled_region_pairs,0.47000000000000003,-0.35595051497221,-0.5539999999999998,-29.264372453695554,0.3865123301459488,1.9431171786120591
SCORPION_DINOv2,1,704,shuffled_sample_pairs,0.5080000000000001,-0.3007313515990973,-0.5349999999999999,-24.740076705734054,0.3466666666666666,1.9227272727272726
SCORPION_DINOv2,1,705,true_pairs,0.45000000000000007,-0.5613240540027618,-0.8985,-53.20196842164344,0.41400000000000003,8.51231527093596
SCORPION_DINOv2,1,705,shuffled_region_pairs,0.494,-0.3520862624049187,-0.5425000000000001,-27.194435587266362,0.3513377082281675,1.8794642857142854
SCORPION_DINOv2,1,705,shuffled_sample_pairs,0.56,-0.29700420945882794,-0.5149999999999999,-23.577514222710448,0.3186925434116446,1.8793103448275865
SCORPION_DINOv2,2,701,true_pairs,0.472,-0.6178931426256895,-0.9345,-53.63644974004649,0.364,12.763358778625953
SCORPION_DINOv2,2,701,shuffled_region_pairs,0.49000000000000005,-0.38761805519461634,-0.655,-29.34657290404148,0.33216608304152073,2.386066763425254
SCORPION_DINOv2,2,701,shuffled_sample_pairs,0.488,-0.29908087439835074,-0.5694999999999999,-25.758231917002774,0.36006207966890846,2.1057934508816123
SCORPION_DINOv2,2,702,true_pairs,0.44799999999999995,-0.595926038408652,-0.9025,-52.18275283513066,0.404,8.738461538461538
SCORPION_DINOv2,2,702,shuffled_region_pairs,0.4799999999999999,-0.39499601572752,-0.6279999999999999,-27.819603436469464,0.35453179769654486,2.251012145748988
SCORPION_DINOv2,2,702,shuffled_sample_pairs,0.496,-0.3373414911329747,-0.5845,-24.126615991992278,0.35180477885104217,2.1102756892230574
SCORPION_DINOv2,2,703,true_pairs,0.4700000000000001,-0.6185456933453679,-0.9115,-52.35066298871978,0.376,9.559322033898306
SCORPION_DINOv2,2,703,shuffled_region_pairs,0.47800000000000004,-0.3985500305891037,-0.6269999999999998,-27.577682133433278,0.37003519356460546,2.3020408163265307
SCORPION_DINOv2,2,703,shuffled_sample_pairs,0.4960000000000002,-0.3396422289311886,-0.5805,-24.09779365706705,0.3530612244897959,2.1076345431789743
SCORPION_DINOv2,2,704,true_pairs,0.43200000000000005,-0.5917799363145604,-0.909,-52.243667756894226,0.4,9.142857142857144
SCORPION_DINOv2,2,704,shuffled_region_pairs,0.4660000000000001,-0.38286943808197976,-0.6395000000000002,-29.112554799337143,0.3497487437185929,2.289732770745429
SCORPION_DINOv2,2,704,shuffled_sample_pairs,0.4820000000000001,-0.29512657076120374,-0.5874999999999999,-25.016184676404286,0.35677879714576965,2.1143583227446
SCORPION_DINOv2,2,705,true_pairs,0.49199999999999994,-0.5795274012722075,-0.909,-51.6049929837316,0.36000000000000004,9.362637362637363
SCORPION_DINOv2,2,705,shuffled_region_pairs,0.44000000000000006,-0.37335368320345885,-0.621,-28.277056243841606,0.39298245614035093,2.209827357237716
SCORPION_DINOv2,2,705,shuffled_sample_pairs,0.51,-0.2874539934098721,-0.5845,-26.504159553134887,0.33113255459624175,2.09
SCORPION_DINOv2,3,701,true_pairs,0.45999999999999996,-0.633752728672698,-0.9227777777777778,-44.99152621519894,0.44000000000000006,11.654676258992806
SCORPION_DINOv2,3,701,shuffled_region_pairs,0.45777777777777784,-0.42044874280691147,-0.6183333333333332,-28.268305605734795,0.443701226309922,2.378854625550661
SCORPION_DINOv2,3,701,shuffled_sample_pairs,0.4622222222222222,-0.3416271105408668,-0.55,-23.498035385184153,0.44243792325056436,2.0664961636828645
