swap_type,bio_abs_idx,acq_abs_idx,bio_scanner,bio_category,acq_scanner,acq_category,bio_space_category_purity_k1,bio_space_scanner_purity_k1,acq_space_category_purity_k1,acq_space_scanner_purity_k1,bio_space_category_purity_k5,bio_space_scanner_purity_k5,acq_space_category_purity_k5,acq_space_scanner_purity_k5,bio_space_category_purity_k10,bio_space_scanner_purity_k10,acq_space_category_purity_k10,acq_space_scanner_purity_k10,variant,acquisition_dim,cross_covariance_weight,source,fold,seed,n_test_samples,n_test_regions,n_categories,n_scanners
A_same_sample_diff_scanner,2967,2968,nz20,SCC,nz210,SCC,1.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.3,0.7,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,2968,2969,nz210,SCC,p1000,SCC,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.4,0.9,0.9,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,757,758,nz20,SCC,nz210,SCC,1.0,0.0,0.0,1.0,0.6,0.2,0.2,1.0,0.6,0.3,0.5,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,616,618,gt450,Inflamm/Necrosis,nz210,Inflamm/Necrosis,1.0,0.0,1.0,1.0,0.8,0.0,0.4,0.2,0.4,0.1,0.3,0.2,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,2957,2958,nz20,SCC,nz210,SCC,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.8,1.0,0.4,1.0,0.6,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,3958,3959,nz210,Epidermis,p1000,Epidermis,1.0,0.0,1.0,1.0,1.0,0.2,0.8,1.0,1.0,0.2,0.7,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,725,726,cs2,Dermis,gt450,Dermis,1.0,0.0,1.0,1.0,0.8,0.0,0.4,1.0,0.4,0.1,0.3,0.9,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,998,999,nz210,Dermis,p1000,Dermis,1.0,0.0,0.0,1.0,0.8,0.0,0.0,0.6,0.5,0.0,0.1,0.7,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,1445,1448,cs2,Bone,nz210,Bone,1.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.4,0.1,0.1,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,4000,4001,cs2,Epidermis,gt450,Epidermis,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.4,0.7,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,700,704,cs2,SCC,p1000,SCC,1.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0,0.9,0.1,0.5,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,2901,2902,gt450,SCC,nz20,SCC,1.0,0.0,1.0,1.0,1.0,0.0,0.4,0.6,1.0,0.1,0.5,0.7,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,996,998,gt450,Dermis,nz210,Dermis,1.0,0.0,0.0,1.0,0.8,0.0,0.2,1.0,0.4,0.2,0.1,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,761,764,gt450,SCC,p1000,SCC,1.0,0.0,0.0,1.0,0.8,0.2,0.6,0.4,0.4,0.2,0.6,0.6,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,725,727,cs2,Dermis,nz20,Dermis,1.0,0.0,1.0,0.0,0.8,0.0,0.4,0.6,0.4,0.1,0.2,0.7,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,686,688,gt450,Dermis,nz210,Dermis,1.0,0.0,0.0,1.0,0.6,0.2,0.0,0.4,0.4,0.1,0.2,0.5,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,335,337,cs2,Bone,nz20,Bone,1.0,1.0,1.0,0.0,1.0,0.2,0.8,0.0,1.0,0.3,0.6,0.2,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,1080,1081,cs2,Dermis,gt450,Dermis,1.0,1.0,0.0,1.0,1.0,0.2,0.4,0.2,0.5,0.2,0.3,0.1,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,46,47,gt450,Epidermis,nz20,Epidermis,1.0,0.0,0.0,0.0,0.8,0.0,0.4,0.2,0.4,0.0,0.4,0.1,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,715,719,cs2,Epidermis,p1000,Epidermis,1.0,0.0,1.0,1.0,1.0,0.0,0.2,1.0,0.6,0.0,0.2,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
A_same_sample_diff_scanner,2893,2894,nz210,SCC,p1000,SCC,1.0,0.0,1.0,1.0,1.0,0.2,0.8,1.0,1.0,0.1,0.9,1.0,true_pair,64,0.05,pair_integrity,0,911,8,144,7,5
