variant,swap_type,n_swaps,probe_scanner_matches_acq,probe_scanner_matches_bio,probe_category_matches_bio,probe_category_matches_acq
acq_dim16_stronger_xcov,A_same_sample_diff_scanner,3750,0.8757333333333334,0.032,0.41706666666666664,0.41706666666666664
acq_dim16_stronger_xcov,B_same_category_diff_sample,1732,0.8337182448036952,0.044457274826789836,0.371824480369515,0.371824480369515
acq_dim16_stronger_xcov,C_diff_category_diff_scanner,2532,0.8558451816745656,0.037914691943127965,0.3795418641390205,0.12519747235387046
acq_dim16_stronger_xcov,D_random_acquisition,3747,0.8529490258873765,0.21270349613023753,0.41686682679476916,0.21830797971710703
acq_dim8_default,A_same_sample_diff_scanner,3750,0.8698666666666667,0.0352,0.4146666666666667,0.4146666666666667
acq_dim8_default,B_same_category_diff_sample,1797,0.8375069560378409,0.044518642181413465,0.39788536449638284,0.39788536449638284
acq_dim8_default,C_diff_category_diff_scanner,2507,0.8400478659752693,0.03909054646988432,0.38252891902672514,0.11647387315516554
acq_dim8_default,D_random_acquisition,3744,0.8581730769230769,0.1984508547008547,0.4043803418803419,0.21955128205128205
true_pair,A_same_sample_diff_scanner,3750,0.8712,0.0312,0.4112,0.4112
true_pair,B_same_category_diff_sample,1731,0.8497978047371462,0.033506643558636626,0.42287694974003465,0.42287694974003465
true_pair,C_diff_category_diff_scanner,2530,0.8525691699604743,0.042292490118577074,0.3814229249011858,0.12094861660079051
true_pair,D_random_acquisition,3745,0.8611481975967957,0.19572763684913216,0.4210947930574099,0.22803738317757008
