representation,fold,seed,n_fit,n_test,feature_dim,rep_family,condition,branch,scanner_probe_accuracy,category_probe_accuracy,category_probe_macro_f1,purity_k1,purity_k5,purity_k10,same_sample_retrieval_k1,effective_rank,category_scanner_ratio,runtime_seconds,k
true_pair_biological,0,911,3305,720,256,pair_integrity,true_pairs,biological,0.3666666666666667,0.35095029239766085,0.30146889483855094,0.9611111111111111,0.875,0.7234722222222223,0.9986111111111111,66.7521737426194,0.9571371610845295,0.5468614999990677,
true_pair_biological,0,912,3305,720,256,pair_integrity,true_pairs,biological,0.3541666666666667,0.30572324745301405,0.25868073782349704,0.9611111111111111,0.8825,0.72375,0.9986111111111111,66.76108671432398,0.8632185810438043,0.920173699996667,
true_pair_biological,0,913,3305,720,256,pair_integrity,true_pairs,biological,0.33611111111111114,0.3217978088565228,0.26957935555044205,0.9597222222222223,0.8775,0.7286111111111111,0.9986111111111111,66.6843150451935,0.9574149684987455,0.5895184999972116,
true_pair_biological,0,914,3305,720,256,pair_integrity,true_pairs,biological,0.36527777777777776,0.3334788195593806,0.24533878130393647,0.9569444444444445,0.8725,0.7154166666666667,1.0,69.8344281824207,0.9129458178051484,1.0570039000012912,
true_pair_biological,0,915,3305,720,256,pair_integrity,true_pairs,biological,0.36527777777777776,0.29388114218985617,0.21330075653261013,0.9541666666666667,0.8819444444444444,0.7293055555555555,1.0,67.93984521562143,0.8045415299494162,0.4673960000072839,
true_pair_acquisition,0,911,3305,720,64,pair_integrity,true_pairs,acquisition,0.8347222222222221,0.33142844992460185,0.2423990706898235,0.5236111111111111,0.4616666666666666,0.40069444444444446,0.6486111111111111,15.302779771497436,0.3970523859329673,1.3254581999935908,
true_pair_acquisition,0,912,3305,720,64,pair_integrity,true_pairs,acquisition,0.8222222222222223,0.2851754156092537,0.23674360449019907,0.5305555555555556,0.4625,0.4056944444444444,0.5930555555555556,14.436720697390934,0.34683496493017335,1.2615079000097467,
true_pair_acquisition,0,913,3305,720,64,pair_integrity,true_pairs,acquisition,0.8291666666666668,0.2851036034793482,0.21156957030398418,0.5347222222222222,0.4652777777777778,0.41069444444444453,0.6277777777777778,14.909587056890976,0.343843541884641,1.3892435000016121,
true_pair_acquisition,0,914,3305,720,64,pair_integrity,true_pairs,acquisition,0.8319444444444445,0.29681495733568725,0.2000837824166232,0.5555555555555556,0.4675,0.4206944444444445,0.6375,15.553869114904494,0.356772569752412,1.3018432999961078,
true_pair_acquisition,0,915,3305,720,64,pair_integrity,true_pairs,acquisition,0.8305555555555555,0.29160717569605354,0.19602725071752247,0.5263888888888889,0.46333333333333326,0.4129166666666667,0.6444444444444445,14.670052659641012,0.3510989406373889,1.3147523000079673,
shuffled_sample_biological,0,911,3305,720,256,pair_integrity,shuffled_sample_pairs,biological,0.38055555555555554,0.2903764619883041,0.25963826932183726,0.8888888888888888,0.7122222222222222,0.5826388888888889,0.9416666666666667,40.46214054108241,0.7630330388013831,0.8021085000073072,
shuffled_sample_biological,0,912,3305,720,256,pair_integrity,shuffled_sample_pairs,biological,0.3708333333333333,0.2869328358895141,0.23875837280308035,0.8916666666666667,0.7369444444444445,0.5980555555555556,0.9458333333333333,40.19177629871504,0.7737514675672292,0.923898500012001,
shuffled_sample_biological,0,913,3305,720,256,pair_integrity,shuffled_sample_pairs,biological,0.40138888888888885,0.27358145757475444,0.18858033713100203,0.8847222222222222,0.7091666666666667,0.5761111111111111,0.9388888888888889,40.961931956058656,0.6815870223315682,1.5717335999943316,
shuffled_sample_biological,0,914,3305,720,256,pair_integrity,shuffled_sample_pairs,biological,0.38055555555555554,0.261240391334731,0.18102285596043152,0.8875,0.7077777777777778,0.5906944444444444,0.9361111111111111,43.64144077572026,0.6864711013175413,1.4084313000057591,
shuffled_sample_biological,0,915,3305,720,256,pair_integrity,shuffled_sample_pairs,biological,0.36944444444444446,0.28494310658722277,0.23263515475894436,0.8513888888888889,0.6844444444444444,0.5679166666666666,0.9069444444444444,45.98202901600495,0.771274574221054,1.3730555999936769,
shuffled_sample_acquisition,0,911,3305,720,64,pair_integrity,shuffled_sample_pairs,acquisition,0.7986111111111113,0.3491948260325867,0.2952394763764137,0.6875,0.5827777777777778,0.5052777777777777,0.8236111111111111,22.121531678332197,0.4372526517277607,1.2551707999955397,
