representation,n_runs,scanner_probe_accuracy_mean,scanner_probe_accuracy_std,category_probe_accuracy_mean,category_probe_accuracy_std,category_probe_macro_f1_mean,category_probe_macro_f1_std,purity_k1_mean,purity_k1_std,purity_k5_mean,purity_k5_std,purity_k10_mean,purity_k10_std,same_sample_retrieval_k1_mean,same_sample_retrieval_k1_std,effective_rank_mean,effective_rank_std,category_scanner_ratio_mean,category_scanner_ratio_std,rep_family
linear_projection_k0,5,0.8642061649112465,0.022509441109030515,0.40092481950031705,0.05409968374713912,0.34769876995700405,0.061282068387509145,0.9563623625819633,0.022655474334570245,0.8587773864369146,0.016919300451756287,0.7187329088636711,0.022334477747542682,0.9848722376971016,0.0057226306525742735,54.17301506464853,4.995718680291925,0.4641456995708415,0.06377043781240403,linear_scanner_subspace_projection
linear_projection_k1,5,0.7666402112708829,0.035080534431372275,0.39897008521328736,0.05278192668377158,0.3539754396358762,0.046861513758739565,0.9577774800987143,0.02178370236809254,0.863448648441026,0.01948794693648526,0.7241157877009057,0.02380538236415261,0.9870435848684489,0.0050364146722275,57.213716342788665,4.699774263905113,0.5200298036955388,0.06123439062510433,linear_scanner_subspace_projection
linear_projection_k16,5,0.2,0.0,0.3986906796956743,0.05373851696295653,0.3446069801423891,0.06328647847862348,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438,0.9937066003499762,0.0028822167606081042,60.035380691175305,4.878693392087219,1.9934533984783713,0.2686925848147827,linear_scanner_subspace_projection
linear_projection_k2,5,0.6018547946642322,0.023410115447424152,0.40145870192362054,0.05432170477579452,0.34741693666801793,0.06455038161651151,0.9599101866071014,0.021294602217242883,0.8716784961962819,0.01757637858009437,0.7288948865680263,0.025182863112688674,0.9884370209342986,0.00497084572124258,57.77480458690526,4.893087644767775,0.6679281494894241,0.09610927282054124,linear_scanner_subspace_projection
linear_projection_k32,5,0.2,0.0,0.3986906796956743,0.05373851696295653,0.3446069801423891,0.06328647847862348,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438,0.9937066003499762,0.0028822167606081042,60.035380691175305,4.878693392087219,1.9934533984783713,0.2686925848147827,linear_scanner_subspace_projection
linear_projection_k4,5,0.2,0.0,0.40148376828480403,0.05527174193657657,0.3473162358518482,0.06421591517963657,0.966075982396309,0.019214719483900806,0.8830137833531662,0.01941968387535139,0.7381557272196111,0.025527261670812387,0.9937066003499762,0.0028822167606081042,60.012595076355,4.877316821747191,2.0074188414240206,0.27635870968288284,linear_scanner_subspace_projection
linear_projection_k8,5,0.2,0.0,0.3986906796956743,0.05373851696295653,0.3446069801423891,0.06328647847862348,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438,0.9937066003499762,0.0028822167606081042,60.035380691175305,4.878693392087219,1.9934533984783713,0.2686925848147827,linear_scanner_subspace_projection
original_frozen_features,5,0.8655920840267483,0.021229946656291226,0.40683053015980486,0.05720771545180283,0.3690401203379533,0.08435750187764297,0.9542296560735762,0.023440924377473457,0.8439032184794435,0.01347744336366863,0.7066085656227218,0.021405739533781953,0.9853230855653722,0.0025566658823618924,46.44100366842004,4.764485488589403,0.4703139584719409,0.06846720755245195,original_frozen
pca_removal_k1,5,0.8631323800216721,0.026202118692068288,0.39027396836316386,0.05480596717552465,0.3383410809092175,0.0636911216649255,0.9539601423984365,0.023599950822787007,0.8630130737985546,0.018214306411251956,0.7253189053535697,0.021683429340675478,0.9867792488146391,0.004185948225838513,70.9724078859107,5.7256447105647315,0.45246027171986986,0.06464452486709298,pca_component_removal
pca_removal_k16,5,0.7345307902086486,0.04054333299293144,0.32317309191566024,0.057900089096265914,0.3029705288577046,0.07558760639314506,0.9622403126885886,0.021689569452715718,0.8896199254398891,0.016141550370895628,0.7430966993818175,0.018984170686434276,0.9930044175425301,0.004330865948362109,126.78798397478758,9.265945504569885,0.4387812739926549,0.06658505524831222,pca_component_removal
