representation,n_runs,purity_k1_mean,purity_k1_std,purity_k5_mean,purity_k5_std,purity_k10_mean,purity_k10_std
linear_projection_k0,5,0.9563623625819633,0.022655474334570245,0.8587773864369146,0.016919300451756287,0.7187329088636711,0.022334477747542682
linear_projection_k1,5,0.9577774800987143,0.02178370236809254,0.863448648441026,0.01948794693648526,0.7241157877009057,0.02380538236415261
linear_projection_k16,5,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438
linear_projection_k2,5,0.9599101866071014,0.021294602217242883,0.8716784961962819,0.01757637858009437,0.7288948865680263,0.025182863112688674
linear_projection_k32,5,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438
linear_projection_k4,5,0.966075982396309,0.019214719483900806,0.8830137833531662,0.01941968387535139,0.7381557272196111,0.025527261670812387
linear_projection_k8,5,0.9658643421846689,0.01897046673580855,0.8831851305245134,0.019527031340411668,0.7379051493307391,0.025595066306124438
original_frozen_features,5,0.9542296560735762,0.023440924377473457,0.8439032184794435,0.01347744336366863,0.7066085656227218,0.021405739533781953
pca_removal_k1,5,0.9539601423984365,0.023599950822787007,0.8630130737985546,0.018214306411251956,0.7253189053535697,0.021683429340675478
pca_removal_k16,5,0.9622403126885886,0.021689569452715718,0.8896199254398891,0.016141550370895628,0.7430966993818175,0.018984170686434276
pca_removal_k2,5,0.9547293731676673,0.02462805780862141,0.8725155840529707,0.017010467461335995,0.7312114867185648,0.021396033076320195
pca_removal_k32,5,0.9647951750138682,0.020400143166930944,0.8907048804593269,0.014695851457467763,0.7442639794298597,0.015991639767283315
pca_removal_k4,5,0.9572591314714727,0.023403086777836212,0.8739019472494972,0.017139359457472834,0.7301441853602471,0.022583946245347233
pca_removal_k8,5,0.958203681543972,0.0219725716963907,0.8781914857878561,0.015695415860831546,0.7318063747269737,0.02554079697008494
shuffled_sample_acquisition,25,0.6963072898130974,0.03743047222864299,0.5734087801141522,0.03685954304162582,0.507584671758973,0.03685615066987571
shuffled_sample_biological,25,0.8967375967918617,0.018236977796687537,0.7098250871800782,0.01721929143112396,0.5725287534264485,0.020496980497617504
true_pair_acquisition,25,0.5294587332610926,0.03816684451479742,0.43155060558853664,0.03879080860269028,0.3865163596509694,0.037424360384331994
true_pair_biological,25,0.9728637054617092,0.016665668780172248,0.8938467678480019,0.013633152470147528,0.7452249617855427,0.02189694603627116
