representation,n_runs,scanner_probe_accuracy_mean,scanner_probe_accuracy_std,category_probe_accuracy_mean,category_probe_accuracy_std,category_scanner_ratio_mean,category_scanner_ratio_std,category_probe_macro_f1_mean,category_probe_macro_f1_std
linear_projection_k0,5,0.8642061649112465,0.022509441109030515,0.40092481950031705,0.05409968374713912,0.4641456995708415,0.06377043781240403,0.34769876995700405,0.061282068387509145
linear_projection_k1,5,0.7666402112708829,0.035080534431372275,0.39897008521328736,0.05278192668377158,0.5200298036955388,0.06123439062510433,0.3539754396358762,0.046861513758739565
linear_projection_k16,5,0.2,0.0,0.3986906796956743,0.05373851696295653,1.9934533984783713,0.2686925848147827,0.3446069801423891,0.06328647847862348
linear_projection_k2,5,0.6018547946642322,0.023410115447424152,0.40145870192362054,0.05432170477579452,0.6679281494894241,0.09610927282054124,0.34741693666801793,0.06455038161651151
linear_projection_k32,5,0.2,0.0,0.3986906796956743,0.05373851696295653,1.9934533984783713,0.2686925848147827,0.3446069801423891,0.06328647847862348
linear_projection_k4,5,0.2,0.0,0.40148376828480403,0.05527174193657657,2.0074188414240206,0.27635870968288284,0.3473162358518482,0.06421591517963657
linear_projection_k8,5,0.2,0.0,0.3986906796956743,0.05373851696295653,1.9934533984783713,0.2686925848147827,0.3446069801423891,0.06328647847862348
original_frozen_features,5,0.8655920840267483,0.021229946656291226,0.40683053015980486,0.05720771545180283,0.4703139584719409,0.06846720755245195,0.3690401203379533,0.08435750187764297
pca_removal_k1,5,0.8631323800216721,0.026202118692068288,0.39027396836316386,0.05480596717552465,0.45246027171986986,0.06464452486709298,0.3383410809092175,0.0636911216649255
pca_removal_k16,5,0.7345307902086486,0.04054333299293144,0.32317309191566024,0.057900089096265914,0.4387812739926549,0.06658505524831222,0.3029705288577046,0.07558760639314506
pca_removal_k2,5,0.8573187710655951,0.02631940539003071,0.38474649531201627,0.047921784315600575,0.4491834793382831,0.058138754778946686,0.3458294097841858,0.07573810071464986
pca_removal_k32,5,0.6489335673401009,0.04691761420539106,0.28926779980309314,0.040927009176317586,0.44472548152325153,0.04246770529115354,0.2753814759795147,0.05843584662942008
pca_removal_k4,5,0.8435312670122107,0.034574147481339676,0.37790512530967124,0.04826622742156857,0.44832341983751833,0.05773017360609496,0.33719796962997284,0.07415878526753325
pca_removal_k8,5,0.8132281879913459,0.03607293546001844,0.3446578501379024,0.05212841764553247,0.42339719993448616,0.05645541365476922,0.3123416459000045,0.08172294862371018
shuffled_sample_acquisition,25,0.8234936396399191,0.025848543292621616,0.38506656734222733,0.05620601585619014,0.46722114018248573,0.06455564979697526,0.3134528941874602,0.05625445472068538
shuffled_sample_biological,25,0.40909144168998984,0.03158799677528843,0.3237155358050858,0.049605278217931106,0.7978502265477126,0.14866571465752762,0.2757669096664398,0.05348205624794197
true_pair_acquisition,25,0.862001521117855,0.023551133724733414,0.3457720276347501,0.05820195390403655,0.40097681005594304,0.06576744514429171,0.27499234970082126,0.057909657292602223
true_pair_biological,25,0.3610197726116056,0.01750656352226091,0.38547588722108267,0.057351755447875546,1.0707641626874704,0.1727348846272396,0.3384151887705156,0.060627021870371785
