contrast_type,fold,neural_seed,k_value,paired_category_contrast,paired_scanner_contrast,paired_acquisition_category_leakage,paired_bio_scanner_leakage,biological_scanner_balanced_accuracy,acquisition_scanner_balanced_accuracy,biological_category_balanced_accuracy,acquisition_category_balanced_accuracy,oldstyle_category_contrast,oldstyle_scanner_contrast,oldstyle_removed_category_leakage,oldstyle_keep_scanner_leakage,keep_scanner_balanced_accuracy,removed_scanner_balanced_accuracy,keep_category_balanced_accuracy,removed_category_balanced_accuracy,oldstyle_keep_scanner_minus_true_pair_bio,oldstyle_keep_category_minus_true_pair_bio,oldstyle_removed_scanner_minus_true_pair_acquisition,oldstyle_removed_category_minus_true_pair_acquisition
true_pair_branch,0,911.0,,0.02385447699437271,0.48194444444444434,0.32885020136820037,0.36527777777777776,0.36527777777777776,0.8472222222222221,0.3527046783625731,0.32885020136820037,,,,,,,,,,,,
shuffled_sample_branch,0,911.0,,-0.05939219445363936,0.41805555555555546,0.3519908786641657,0.3819444444444445,0.3819444444444445,0.7999999999999999,0.2925986842105263,0.3519908786641657,,,,,,,,,,,,
true_pair_branch,0,912.0,,0.01794089521497666,0.4736111111111112,0.286929801574166,0.35416666666666663,0.35416666666666663,0.8277777777777778,0.30487069678914264,0.286929801574166,,,,,,,,,,,,
shuffled_sample_branch,0,912.0,,-0.011090514546323926,0.4291666666666668,0.293166170142337,0.375,0.375,0.8041666666666668,0.28207565559601305,0.293166170142337,,,,,,,,,,,,
true_pair_branch,0,913.0,,0.03438819467431686,0.4972222222222223,0.29012187833314945,0.3361111111111111,0.3361111111111111,0.8333333333333334,0.3245100730074663,0.29012187833314945,,,,,,,,,,,,
shuffled_sample_branch,0,913.0,,-0.026447920114752332,0.376388888888889,0.2973171135385634,0.4041666666666667,0.4041666666666667,0.7805555555555557,0.27086919342381105,0.2973171135385634,,,,,,,,,,,,
true_pair_branch,0,914.0,,0.041409232594063705,0.4694444444444446,0.2920695869653169,0.3708333333333333,0.3708333333333333,0.8402777777777779,0.3334788195593806,0.2920695869653169,,,,,,,,,,,,
shuffled_sample_branch,0,914.0,,-0.0394618917576961,0.42638888888888893,0.3002895472433705,0.37916666666666665,0.37916666666666665,0.8055555555555556,0.2608276554856744,0.3002895472433705,,,,,,,,,,,,
true_pair_branch,0,915.0,,0.005292029865018921,0.4597222222222222,0.29116736088123873,0.36527777777777776,0.36527777777777776,0.825,0.29645939074625766,0.29116736088123873,,,,,,,,,,,,
shuffled_sample_branch,0,915.0,,-0.05675792599948509,0.4194444444444444,0.33786331328846225,0.37083333333333335,0.37083333333333335,0.7902777777777777,0.28110538728897716,0.33786331328846225,,,,,,,,,,,,
oldstyle_decomposition,0,,1.0,,,,,,,,,0.1751651173268601,-0.4763888888888889,0.16657830372577145,0.7138888888888889,0.7138888888888889,0.2375,0.34174342105263156,0.16657830372577145,,,,
oldstyle_decomposition,0,,2.0,,,,,,,,,0.16562888484313512,-0.2263888888888888,0.17534671650299752,0.5777777777777777,0.5777777777777777,0.3513888888888889,0.34097560134613264,0.17534671650299752,,,,
oldstyle_decomposition,0,,3.0,,,,,,,,,0.16323051142005954,0.004166666666666707,0.1801284067085954,0.44722222222222224,0.44722222222222224,0.45138888888888895,0.34335891812865493,0.1801284067085954,,,,
oldstyle_decomposition,0,,4.0,,,,,,,,,0.16618372779432858,0.3013888888888889,0.17925852366765974,0.2,0.2,0.5013888888888889,0.3454422514619883,0.17925852366765974,,,,
paired_vs_oldstyle_k4,0,911.0,4.0,,,,,,,,,,,,,,,,,-0.16527777777777775,-0.007262426900584762,-0.3458333333333332,-0.14959167770054063
paired_vs_oldstyle_k4,0,912.0,4.0,,,,,,,,,,,,,,,,,-0.15416666666666662,0.04057155467284568,-0.32638888888888895,-0.10767127790650624
paired_vs_oldstyle_k4,0,913.0,4.0,,,,,,,,,,,,,,,,,-0.13611111111111107,0.020932178454522,-0.3319444444444445,-0.11086335466548972
paired_vs_oldstyle_k4,0,914.0,4.0,,,,,,,,,,,,,,,,,-0.17083333333333328,0.011963431902607735,-0.338888888888889,-0.11281106329765714
paired_vs_oldstyle_k4,0,915.0,4.0,,,,,,,,,,,,,,,,,-0.16527777777777775,0.04898286071573066,-0.32361111111111107,-0.111908837213579
true_pair_branch,1,911.0,,-0.015361600347901683,0.4899470899470899,0.30529332463579034,0.35978835978835977,0.35978835978835977,0.8497354497354497,0.28993172428788866,0.30529332463579034,,,,,,,,,,,,
shuffled_sample_branch,1,911.0,,-0.036450967601652506,0.3947089947089948,0.3678108284409654,0.41587301587301584,0.41587301587301584,0.8105820105820106,0.3313598608393129,0.3678108284409654,,,,,,,,,,,,
true_pair_branch,1,912.0,,0.07523766036094809,0.5100529100529102,0.29910893672537503,0.3492063492063492,0.3492063492063492,0.8592592592592594,0.3743465970863231,0.29910893672537503,,,,,,,,,,,,
shuffled_sample_branch,1,912.0,,-0.02546858012611436,0.4105820105820104,0.3629288975864318,0.41375661375661377,0.41375661375661377,0.8243386243386241,0.33746031746031746,0.3629288975864318,,,,,,,,,,,,
true_pair_branch,1,913.0,,0.10112328767123291,0.4793650793650793,0.29688497499456407,0.3767195767195767,0.3767195767195767,0.856084656084656,0.398008262665797,0.29688497499456407,,,,,,,,,,,,
shuffled_sample_branch,1,913.0,,-0.024932376603609474,0.4116402116402116,0.35332681017612527,0.42328042328042326,0.42328042328042326,0.8349206349206348,0.3283944335725158,0.35332681017612527,,,,,,,,,,,,
true_pair_branch,1,914.0,,0.08927636442704939,0.4666666666666666,0.3032459230267449,0.3798941798941799,0.3798941798941799,0.8465608465608465,0.3925222874537943,0.3032459230267449,,,,,,,,,,,,
shuffled_sample_branch,1,914.0,,-0.08232920200043492,0.33015873015873004,0.36311980865405524,0.47407407407407404,0.47407407407407404,0.8042328042328041,0.2807906066536203,0.36311980865405524,,,,,,,,,,,,
true_pair_branch,1,915.0,,0.05027658186562295,0.47301587301587306,0.31930115242444007,0.3724867724867725,0.3724867724867725,0.8455026455026455,0.369577734290063,0.31930115242444007,,,,,,,,,,,,
shuffled_sample_branch,1,915.0,,-0.12649489019352034,0.4105820105820106,0.3984805392476625,0.4306878306878307,0.4306878306878307,0.8412698412698413,0.2719856490541422,0.3984805392476625,,,,,,,,,,,,
oldstyle_decomposition,1,,1.0,,,,,,,,,0.2516242661448141,-0.4634920634920634,0.14135681669928246,0.7566137566137565,0.7566137566137565,0.2931216931216931,0.39298108284409655,0.14135681669928246,,,,
oldstyle_decomposition,1,,2.0,,,,,,,,,0.24952859317242881,-0.25820105820105826,0.14068580126114372,0.6084656084656085,0.6084656084656085,0.3502645502645502,0.39021439443357253,0.14068580126114372,,,,
oldstyle_decomposition,1,,3.0,,,,,,,,,0.19233224614046537,0.006349206349206327,0.1967514677103718,0.45396825396825397,0.45396825396825397,0.4603174603174603,0.3890837138508372,0.1967514677103718,,,,
oldstyle_decomposition,1,,4.0,,,,,,,,,0.18417525549032399,0.32910052910052906,0.20365079365079364,0.2,0.2,0.5291005291005291,0.3878260491411176,0.20365079365079364,,,,
paired_vs_oldstyle_k4,1,911.0,4.0,,,,,,,,,,,,,,,,,-0.15978835978835976,0.09789432485322896,-0.3206349206349206,-0.1016425309849967
