representation,representation_family,branch,n_runs,n_folds,n_neural_seeds,k_value,scanner_centroid_rank,scanner_balanced_accuracy_mean,scanner_balanced_accuracy_std,scanner_balanced_accuracy_min,scanner_balanced_accuracy_max,scanner_macro_f1_mean,scanner_macro_f1_std,scanner_macro_f1_min,scanner_macro_f1_max,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_balanced_accuracy_min,category_balanced_accuracy_max,category_macro_f1_mean,category_macro_f1_std,category_macro_f1_min,category_macro_f1_max,category_weighted_f1_mean,category_weighted_f1_std,category_weighted_f1_min,category_weighted_f1_max,same_category_purity_k1_mean,same_category_purity_k1_std,same_category_purity_k1_min,same_category_purity_k1_max,same_category_purity_k5_mean,same_category_purity_k5_std,same_category_purity_k5_min,same_category_purity_k5_max,same_category_purity_k10_mean,same_category_purity_k10_std,same_category_purity_k10_min,same_category_purity_k10_max,same_sample_top1_retrieval_mean,same_sample_top1_retrieval_std,same_sample_top1_retrieval_min,same_sample_top1_retrieval_max,scanner_category_ratio_mean,scanner_category_ratio_std,scanner_category_ratio_min,scanner_category_ratio_max,category_scanner_ratio_mean,category_scanner_ratio_std,category_scanner_ratio_min,category_scanner_ratio_max
original_frozen_features,frozen,original,5,5,0,,4.0,0.8638399716503165,0.02199616249022804,0.8391534391534391,0.8888888888888887,0.863990154722966,0.022024053442664428,0.8391003801458519,0.888877553670626,0.4002931763941563,0.05463119377084048,0.3462390350877193,0.4868104118104118,0.35785524363860394,0.044752873841515654,0.2940020495691517,0.4081035704187738,0.42704535302233715,0.06931079709925356,0.30978625905944296,0.4821073093251435,0.9602002815024594,0.02261100929222767,0.9375,0.985897435897436,0.8716933760868425,0.02058229621961626,0.8522222222222222,0.8987179487179487,0.7305575361185161,0.02870906100129862,0.6991666666666667,0.7656410256410257,0.9961751771116563,0.0023926194937463536,0.9936507936507937,1.0,2.187470055123969,0.27497125522176363,1.7623514486721366,2.4509400301907505,0.4635363780402681,0.06383278206552516,0.40800671892497203,0.5674237115153513
true_pair_biological,neural_factorization,biological,25,5,5,,,0.36140764156190647,0.017512850267555013,0.32948717948717954,0.4140350877192982,0.35700945208328555,0.017298878517199297,0.329316050666569,0.40669554983998263,0.38601666962193837,0.05661699183829823,0.28993172428788866,0.4795843045843046,0.3388595562543015,0.060069268315420955,0.21625552546966495,0.4515693896053244,0.4173568720337779,0.07092944104128769,0.26832960292365593,0.5105427410124249,0.9729372118773207,0.016806854192711156,0.9541666666666667,0.9961538461538462,0.8972951107063267,0.01598109019722842,0.8713888888888889,0.9256410256410257,0.7508672910762022,0.023438601662086327,0.7094444444444444,0.7973076923076923,0.9981597164883916,0.002618717413946829,0.9894179894179894,1.0,0.9566481230042067,0.1525357188985441,0.7280564686802075,1.2409416757412401,1.0711717937923255,0.1709393465256585,0.80583964544722,1.3735198339941421
true_pair_acquisition,neural_factorization,acquisition,25,5,5,,,0.865097576168538,0.022958132044400347,0.825,0.8994152046783626,0.8649639192873902,0.023164817242175905,0.8238203044055716,0.8989818876488329,0.34560280422731,0.05737112363589982,0.25721367297453857,0.45495596995596993,0.2735537682139061,0.05047197278950684,0.1955776801401905,0.39951326983154534,0.3245714063660236,0.06859477142389239,0.17774409790529935,0.4000420041431058,0.5736155728253732,0.0321068009212741,0.5241379310344828,0.6474358974358975,0.4711641495131876,0.04554206096314762,0.4177777777777778,0.5628205128205128,0.41827598625210244,0.0525211011358651,0.35883040935672517,0.5207692307692308,0.6776697545514243,0.05428952735385765,0.6124137931034482,0.7819444444444444,2.5650015279231737,0.3984110374504709,1.8948404295050163,3.4831213379438934,0.39934075263039637,0.0645241770640979,0.2870988125237996,0.5277489251489251
shuffled_sample_biological,neural_factorization,biological,25,5,5,,,0.40930224647974195,0.03096038118070337,0.37051282051282053,0.4865497076023392,0.4076806434569504,0.030737063485896454,0.3661399577960793,0.4838715332529665,0.32276462218443586,0.04938576874875563,0.2608276554856744,0.421033411033411,0.2752202220826292,0.05380674267319379,0.18078677519779157,0.39329197253007586,0.33856135604863374,0.06404258694383241,0.20641044361889993,0.46684200506984114,0.9272862054192363,0.019185153640808535,0.9027777777777778,0.9576719576719577,0.7800893301777876,0.02014191888218985,0.7415204678362574,0.8179487179487179,0.63548805711597,0.026729473698815703,0.5741520467836257,0.688076923076923,0.9673024568494623,0.007754985355396562,0.9567251461988304,0.9847222222222223,1.2984005522898614,0.23094229209523962,0.9029355601768474,1.7220204844744444,0.7949341476217673,0.1475204168063537,0.580713184898725,1.1074987453192582
shuffled_sample_acquisition,neural_factorization,acquisition,25,5,5,,,0.8302343531980556,0.02501614809741156,0.7805555555555557,0.8725146198830409,0.8295195730551248,0.02577644022169583,0.7784871162846141,0.8721148330221917,0.38714562112626033,0.05662511064312519,0.293166170142337,0.5204195804195805,0.31498632639153434,0.05767679133757229,0.20559452308415843,0.40691753250290347,0.3727437982554813,0.07583084649025575,0.2268205976422215,0.4639750241962474,0.7308806694750433,0.030028943972657846,0.6763888888888889,0.7858974358974359,0.6085876776822693,0.034076113361477665,0.567953216374269,0.668974358974359,0.5338409541241846,0.04103656486877754,0.49239766081871345,0.6106410256410256,0.8402474526280334,0.035605351782976795,0.8042328042328042,0.9194444444444444,2.184594738993467,0.2912812943218357,1.574326515860586,2.7430404615792834,0.4659092397383716,0.06466877327391496,0.364558968052647,0.6351922488286126
oldstyle_keep_k1,oldstyle_linear_decomposition,keep,5,5,0,1.0,4.0,0.7671871935955421,0.03521799834241675,0.7138888888888889,0.808974358974359,0.7691738948977439,0.03196971092817888,0.7218809581949659,0.8080526904143734,0.3997444699210898,0.053999710769477995,0.34174342105263156,0.4845713545713546,0.35624699274602295,0.04700298073363846,0.2903877516557721,0.40285725341431305,0.42507498197104254,0.07417546990043819,0.3043835698414451,0.4959979355145901,0.9622687661535212,0.02254763173055117,0.9402777777777778,0.9897435897435898,0.875606682562581,0.021798530938212417,0.8575,0.9058974358974359,0.7358341740366241,0.026281030601546507,0.7076388888888889,0.7683333333333333,0.9957966667331458,0.0034128341665885147,0.9904761904761905,1.0,1.9404685618232633,0.20651052819261984,1.5997074661559614,2.1172441048610198,0.5205711554742446,0.06161898501682414,0.47231209556993525,0.6251142919292385
oldstyle_removed_k1,oldstyle_linear_decomposition,removed,5,5,0,1.0,4.0,0.2822487123349192,0.026829466572768558,0.2375,0.308974358974359,0.2314960275241142,0.02756892493514317,0.18459637451811534,0.25254466486700494,0.1646176810698926,0.016941801275601725,0.14135681669928246,0.1868168868168868,0.11388852584485032,0.018396332667036965,0.0902158118361308,0.13884887206212007,0.1451130069469996,0.03567151744089837,0.11617433368485604,0.2066079179774157,0.24811121932446795,0.04791493897485579,0.19583333333333333,0.31153846153846154,0.22875991718169578,0.03294093321063813,0.17555555555555555,0.2562758620689655,0.2272481424974165,0.03562402127848968,0.16597222222222222,0.25380116959064325,0.1619225044633393,0.06732525745424278,0.1,0.2736842105263158,1.7335403448733875,0.28182561792574606,1.425755903908008,2.0736296979951803,0.5891196658186837,0.09468383807333867,0.48224617971415856,0.7013823314769325
oldstyle_keep_k2,oldstyle_linear_decomposition,keep,5,5,0,2.0,4.0,0.603545635382296,0.025690982013503193,0.5777777777777777,0.6371794871794871,0.5948040445431644,0.024434968924645455,0.56589767739494,0.6264524193577102,0.3968248144186689,0.050246969683069145,0.34097560134613264,0.4736622636622636,0.3525924009923952,0.04479013201405079,0.29025672167012917,0.3971370416998932,0.4209024945791728,0.07068890069785888,0.3041945238992258,0.48548009629470223,0.9641834888577175,0.022763342887689584,0.9430555555555555,0.9910256410256411,0.8803940292818696,0.021980259235795257,0.8622222222222222,0.9125641025641026,0.7393318257698476,0.02717983008977621,0.7104166666666667,0.773974358974359,0.9971977778220973,0.0022752227777256737,0.9936507936507937,1.0,1.5396164143501863,0.19022756681516156,1.220133159889727,1.6944842255480368,0.6587085544101583,0.09333893864748025,0.590150079252922,0.8195826757879263
oldstyle_removed_k2,oldstyle_linear_decomposition,removed,5,5,0,2.0,4.0,0.3874382002013581,0.03535070182193202,0.3502645502645502,0.4304093567251462,0.3782222227821591,0.03433952353488063,0.3350308272150401,0.42328136002635147,0.20897993328597067,0.04916193872180593,0.14068580126114372,0.2517145817145818,0.12447423100234982,0.026621427639603734,0.10234796379613334,0.16843092134855356,0.1383507373443974,0.05377129334043793,0.10462312777773322,0.23279766069165247,0.2848296056971193,0.04382150519254422,0.2409356725146199,0.35128205128205126,0.28955144765834423,0.04690736670331269,0.24662068965517242,0.3646153846153846,0.2894537748364427,0.05051656187950442,0.24441379310344827,0.3696153846153846,0.2347226920085359,0.05281182755150401,0.1824561403508772,0.29583333333333334,1.9177231967572532,0.35337858184212684,1.5891014230298288,2.4896936799924987,0.534277214211518,0.08773720063394813,0.4016558374374043,0.6292864542864544
oldstyle_keep_k3,oldstyle_linear_decomposition,keep,5,5,0,3.0,4.0,0.46718459499766213,0.017054121599753003,0.44722222222222224,0.4897435897435898,0.4471119898402377,0.015280276723970592,0.4289499425402109,0.46845334218606105,0.3986428207121905,0.05193615959394039,0.34335891812865493,0.478989898989899,0.35431953403630845,0.04404500041715856,0.2925703240435813,0.3998315534926557,0.42184574268886654,0.06962560635888265,0.3078216410403252,0.4862467698754732,0.9658192142602307,0.022967996573600002,0.9416666666666667,0.9923076923076923,0.8860935228581326,0.022051445145224842,0.8669444444444444,0.9194871794871795,0.7433390963409112,0.02627660818809802,0.715,0.7773076923076923,0.997919198231358,0.0020119094317928676,0.9947089947089947,1.0,1.1851152914480394,0.13084160082282711,0.9790718305967216,1.3024919365998533,0.8528322360049201,0.1026480872255568,0.7677590715920234,1.021375519904932
