fold,seed,condition,mean_paired_cosine,worst_paired_cosine,mean_top1_retrieval,worst_top1_retrieval,scanner_probe_accuracy,effective_rank,biological_acquisition_cross_covariance,feature_variance_nonzero_fraction,n_test_slides
0,701,shuffled_region_pairs,0.8016615629196167,0.7606022357940674,0.9959999999999999,0.985,0.348,39.91091316267216,0.10412688553333282,1.0,10
0,702,shuffled_region_pairs,0.8015367090702057,0.7511744499206543,0.9925,0.975,0.356,39.93701320290491,0.10558942705392838,1.0,10
0,703,shuffled_region_pairs,0.8024670600891113,0.7621551752090454,0.9959999999999999,0.985,0.348,42.065663953819794,0.09762944281101227,1.0,10
0,704,shuffled_region_pairs,0.7993981659412384,0.7539808750152588,0.993,0.98,0.348,40.58339077224439,0.10463481396436691,1.0,10
0,705,shuffled_region_pairs,0.800653338432312,0.752734363079071,0.9909999999999999,0.975,0.368,39.34733043860563,0.10902068018913269,1.0,10
1,701,shuffled_region_pairs,0.8150067269802094,0.7653693556785583,0.9960000000000001,0.99,0.334,38.83049585450484,0.10457563400268555,1.0,10
1,702,shuffled_region_pairs,0.8175218582153321,0.7743715643882751,0.9984999999999999,0.995,0.37200000000000005,38.31356183334618,0.10251470655202866,1.0,10
1,703,shuffled_region_pairs,0.8100613296031952,0.7666757106781006,0.9974999999999999,0.99,0.34600000000000003,38.42185990315331,0.10885783284902573,1.0,10
1,704,shuffled_region_pairs,0.8058813571929931,0.7576763033866882,0.9934999999999998,0.975,0.38400000000000006,40.45313131528457,0.10058451443910599,1.0,10
1,705,shuffled_region_pairs,0.8067959845066071,0.7613586187362671,0.9905000000000002,0.975,0.348,39.137921114467986,0.10070189833641052,1.0,10
2,701,shuffled_region_pairs,0.8118926703929901,0.7707809209823608,0.9995,0.995,0.332,39.00213619414736,0.10780023038387299,1.0,10
2,702,shuffled_region_pairs,0.813651192188263,0.7712571024894714,0.9984999999999999,0.995,0.35400000000000004,38.15070899803557,0.10976245999336243,1.0,10
2,703,shuffled_region_pairs,0.8028875172138215,0.760386049747467,0.9944999999999998,0.985,0.36800000000000005,37.59441912305824,0.10599707067012787,1.0,10
2,704,shuffled_region_pairs,0.8097023665904999,0.7627862691879272,0.9950000000000001,0.985,0.348,38.974946586778586,0.10483678430318832,1.0,10
2,705,shuffled_region_pairs,0.8111970245838165,0.7686377763748169,0.9974999999999999,0.98,0.392,38.60705345748635,0.10570764541625977,1.0,10
3,701,shuffled_region_pairs,0.8212501406669617,0.7774826884269714,0.9966666666666665,0.9833333333333334,0.4422222222222222,38.19187166279084,0.1051994115114212,1.0,9
3,702,shuffled_region_pairs,0.8108432054519653,0.77032071352005,0.9922222222222222,0.9666666666666667,0.4222222222222222,39.02197565106073,0.10490433871746063,1.0,9
3,703,shuffled_region_pairs,0.8094596326351166,0.7650777101516724,0.9955555555555555,0.9833333333333334,0.3911111111111111,38.573140062676856,0.10357566922903061,1.0,9
3,704,shuffled_region_pairs,0.8060816347599029,0.7620648145675659,0.9955555555555555,0.9888888888888889,0.37555555555555553,38.965599602262174,0.10105337202548981,1.0,9
3,705,shuffled_region_pairs,0.8077033758163452,0.7609483599662781,0.9955555555555555,0.9833333333333334,0.4133333333333333,38.76166880408181,0.10725272446870804,1.0,9
4,701,shuffled_region_pairs,0.8169230043888092,0.7616668939590454,0.9977777777777778,0.9944444444444445,0.38,38.39238361367312,0.10778101533651352,1.0,9
4,702,shuffled_region_pairs,0.8066901862621307,0.7551679611206055,0.9966666666666667,0.9888888888888889,0.37777777777777777,40.06989045224823,0.10929048806428909,1.0,9
4,703,shuffled_region_pairs,0.8098232567310333,0.7647154927253723,0.9944444444444445,0.9722222222222222,0.37777777777777777,38.16188942067369,0.10510840266942978,1.0,9
4,704,shuffled_region_pairs,0.8124185144901276,0.7648556232452393,0.9977777777777778,0.9888888888888889,0.41555555555555557,39.39335303581275,0.10798821598291397,1.0,9
4,705,shuffled_region_pairs,0.8117117702960968,0.7573097944259644,0.9922222222222222,0.9833333333333334,0.3977777777777778,38.059142111169,0.11158223450183868,1.0,9
0,701,shuffled_sample_pairs,0.7643397867679596,0.7056007981300354,0.9815000000000002,0.965,0.33599999999999997,35.94175253423372,0.10377300530672073,1.0,10
0,702,shuffled_sample_pairs,0.7691823005676269,0.7117018103599548,0.9755,0.955,0.336,34.15431033789249,0.10612937062978745,1.0,10
0,703,shuffled_sample_pairs,0.755230838060379,0.6903948187828064,0.978,0.9450000000000001,0.33199999999999996,36.75117957483691,0.10254858434200287,1.0,10
0,704,shuffled_sample_pairs,0.7702561974525451,0.7076494693756104,0.984,0.955,0.33799999999999997,35.94512038036919,0.09963192790746689,1.0,10
0,705,shuffled_sample_pairs,0.7585518717765808,0.6855681538581848,0.976,0.9299999999999999,0.33999999999999997,35.1452253756995,0.11017197370529175,1.0,10
1,701,shuffled_sample_pairs,0.7744597673416138,0.7325590252876282,0.9745000000000001,0.9299999999999999,0.30999999999999994,34.41831248039627,0.10165849328041077,1.0,10
1,702,shuffled_sample_pairs,0.7680211544036866,0.7211225032806396,0.9804999999999999,0.96,0.352,35.90064398968392,0.10329695791006088,1.0,10
