representation,n_runs,recall_Bone_mean,recall_Bone_std,recall_Dermis_mean,recall_Dermis_std,recall_Epidermis_mean,recall_Epidermis_std,recall_Inflamm/Necrosis_mean,recall_Inflamm/Necrosis_std,recall_SCC_mean,recall_SCC_std,recall_Subcutis_mean,recall_Subcutis_std,recall_Cartilage_mean,recall_Cartilage_std
linear_projection_k0,25,0.22230158730158728,0.13808877622782173,0.20529803921568626,0.0807307023989254,0.6256673939091166,0.12222744058503822,0.36796809559004684,0.13568926322158395,0.3934592004896123,0.10529985800126747,0.3849085106382979,0.16646808192045887,0.0,0.0
linear_projection_k1,25,0.2061111111111111,0.13502189438587672,0.19701437908496733,0.07434956233570587,0.6362922021224848,0.11703268330539814,0.3637441488051244,0.1293756842725063,0.3958273740233696,0.10502995286920058,0.3866442080378251,0.15902526296774522,0.0,0.0
linear_projection_k16,25,0.24539682539682542,0.17152442113913444,0.1779777777777778,0.060015756589907716,0.6537350075478489,0.11031141985921002,0.36061369795516135,0.10558679183339958,0.40360411520416045,0.10075147876813569,0.3789843971631206,0.13588939785026954,0.0,0.0
linear_projection_k2,25,0.2375396825396825,0.15567867118026102,0.18410849673202612,0.06668236425574167,0.6417567186073464,0.10964062308854039,0.3566701157920671,0.11502638841078903,0.4002190807196033,0.09980279890361832,0.37977754137115843,0.1416085025925836,0.0,0.0
linear_projection_k32,25,0.24539682539682542,0.17152442113913444,0.1779777777777778,0.060015756589907716,0.6537350075478489,0.11031141985921002,0.36061369795516135,0.10558679183339958,0.40360411520416045,0.10075147876813569,0.3789843971631206,0.13588939785026954,0.0,0.0
linear_projection_k4,25,0.2396825396825397,0.16750015982062372,0.17817516339869283,0.05763128004480728,0.6539716137208135,0.10761908722500824,0.35938470066518846,0.10104964984179385,0.4008708245102046,0.09898903583427136,0.3767621749408983,0.14002980370152301,0.0,0.0
linear_projection_k8,25,0.24539682539682542,0.17152442113913444,0.1779777777777778,0.060015756589907716,0.6537350075478489,0.11031141985921002,0.36061369795516135,0.10558679183339958,0.40360411520416045,0.10075147876813569,0.3789843971631206,0.13588939785026954,0.0,0.0
original_frozen_features,25,0.21944444444444444,0.13745957665648348,0.200478431372549,0.0821990967345746,0.6244942810943465,0.12171053403057663,0.37046809559004684,0.13277005745178944,0.3963104107680028,0.10550978555284052,0.38390851063829795,0.16691743975822215,0.0,0.0
pca_removal_k1,25,0.22507936507936507,0.13632973903379972,0.11210718954248365,0.06013747292039891,0.5488814254037178,0.11457589293393801,0.3685092387287509,0.12388227103212886,0.41455160089511184,0.0868545054416195,0.2948988179669031,0.14596212027314964,0.0,0.0
pca_removal_k16,25,0.12706349206349205,0.13277165408068117,0.1001045751633987,0.06039565447788944,0.28304619699928346,0.10239810106898953,0.14849753633899976,0.11144054365137637,0.2885888536239492,0.13020139481086945,0.14895768321513,0.09994219570543364,0.0,0.0
pca_removal_k2,25,0.19499999999999995,0.1282662006647589,0.11789934640522874,0.06779640739551945,0.5321499982621587,0.10825663578913798,0.36020707070707075,0.12257548480776552,0.40468482444701764,0.09182107190439832,0.28629669030732857,0.15066064261773388,0.0,0.0
pca_removal_k32,25,0.08142857142857142,0.08698437741341929,0.1384,0.07176227859687871,0.24150821652110932,0.07017174785502321,0.13657403301305743,0.07662450994513793,0.2783456495898797,0.09826777690138329,0.10305413711583926,0.06586795663383871,0.0,0.0
pca_removal_k4,25,0.17174603174603173,0.13595020337584637,0.13581045751633986,0.0664210574602417,0.5060194422992983,0.0925785025654513,0.25455247597930525,0.1653200279943417,0.4184410984114784,0.08667524062071123,0.26998321513002366,0.1328989376560881,0.0,0.0
pca_removal_k8,25,0.16539682539682538,0.15201559519226257,0.10588235294117647,0.06014452559475892,0.33969306941688,0.12053231125296177,0.20222123675782214,0.12911886385974328,0.273394088379643,0.129772899001369,0.20862174940898345,0.14613300980835792,0.0,0.0
shuffled_sample_acquisition,25,0.3362698412698413,0.11408316072540467,0.23146405228758168,0.13320417980633242,0.504650889485265,0.13209734100857198,0.3193706577974871,0.1833244558265343,0.19262666239012305,0.10813765197174718,0.45525626477541364,0.18788008817702612,0.0,0.0
shuffled_sample_biological,25,0.09476190476190477,0.12367187267267772,0.1654496732026144,0.08077303591668078,0.40175492943777236,0.09148121043200978,0.1755068982508007,0.09045955768396902,0.3177995737716775,0.08088197138253313,0.22991796690307328,0.11857630822507222,0.0,0.0
true_pair_acquisition,25,0.26793650793650786,0.19930971174304407,0.19137254901960787,0.14961841953914232,0.37984116390327927,0.13842458681649508,0.2832909583641291,0.2050341663575296,0.1581650802958883,0.07156958545821362,0.3408754137115839,0.1459638672686018,0.0,0.0
true_pair_biological,25,0.2491269841269841,0.18113431283943385,0.17512418300653593,0.05458472839614753,0.5927364427279795,0.1133623835047358,0.2819894062576989,0.13334738369017787,0.4114552895164094,0.05239022138891653,0.24881229314420802,0.1242328611644333,0.0,0.0
