representation,held_out_scanner,n_runs,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_macro_f1_mean,category_macro_f1_std,category_weighted_f1_mean,category_weighted_f1_std,mean_n_test,mean_n_test_patches
linear_projection_k0,cs2,5,0.3510666245460869,0.07805110817726714,0.33696696201965604,0.06941511590515467,0.408710249278126,0.047602871642237365,266.2,266.2
linear_projection_k0,gt450,5,0.3526915323494439,0.06422137533457187,0.30444456307746665,0.054061352942875104,0.4034754430628456,0.0524598159353589,266.2,266.2
linear_projection_k0,nz20,5,0.38148181944202153,0.06876505444394915,0.3537568725521626,0.06494791060657136,0.43406072768666026,0.042084331511857184,266.2,266.2
linear_projection_k0,nz210,5,0.36443400399289766,0.08743346585083835,0.36149032680790294,0.08114987832848718,0.4326721811017734,0.05920279604537695,266.2,266.2
linear_projection_k0,p1000,5,0.3452117276857283,0.07976791355167337,0.3377090732230377,0.07363526010958309,0.42051649516448386,0.057298851078679276,266.2,266.2
linear_projection_k1,cs2,5,0.349880986761521,0.06810310265477686,0.3368396220370717,0.05948220810748773,0.4097988312292439,0.04371898732531562,266.2,266.2
linear_projection_k1,gt450,5,0.3500729555007889,0.059031046510483146,0.3034396176360826,0.05144142943042036,0.4062593140993814,0.053406236388320864,266.2,266.2
linear_projection_k1,nz20,5,0.3799527289980053,0.0736175088298435,0.364313529370285,0.07085138888117043,0.4369835534407124,0.05225331169390137,266.2,266.2
linear_projection_k1,nz210,5,0.36235896713738125,0.08244858340800923,0.3608100947984967,0.07873074170886639,0.4324956437526305,0.05629189134484438,266.2,266.2
linear_projection_k1,p1000,5,0.3405954890608859,0.07736185279988098,0.3218111417485526,0.06505445669051899,0.4192818576735326,0.05563187812060285,266.2,266.2
linear_projection_k16,cs2,5,0.3602701671463673,0.06563315773355764,0.3458583739501584,0.05778147267348764,0.4204003405702827,0.03842651012614681,266.2,266.2
linear_projection_k16,gt450,5,0.3651436613757827,0.06236361364088058,0.3193446213032418,0.05406089000157568,0.4115458931731868,0.04340418622448889,266.2,266.2
linear_projection_k16,nz20,5,0.3661092265163741,0.07147596758990932,0.33611825852525745,0.053844050014279936,0.4405588993235073,0.05387897458885644,266.2,266.2
linear_projection_k16,nz210,5,0.36676923036013,0.08540212612784773,0.3667349678536471,0.08627467782595986,0.44194263686705104,0.05866155245847785,266.2,266.2
linear_projection_k16,p1000,5,0.3514206253587794,0.06555531539306697,0.33375781863383697,0.054477441665517726,0.4276887568794606,0.03814594861613208,266.2,266.2
linear_projection_k2,cs2,5,0.3516509783855163,0.06949635237943012,0.33824508562993005,0.05757377981397017,0.4120286066871377,0.03940318236961123,266.2,266.2
linear_projection_k2,gt450,5,0.3580890813669625,0.05730325562118601,0.3157956831131653,0.0525920208566033,0.40961367349188127,0.042915429614531854,266.2,266.2
linear_projection_k2,nz20,5,0.3794383108241534,0.0783700774662968,0.33459199499636194,0.05215251568541146,0.446172607837416,0.05753211227087209,266.2,266.2
linear_projection_k2,nz210,5,0.3639933992940124,0.08632066574383726,0.34012522925699207,0.06647526558114242,0.435868985754844,0.060508806616539665,266.2,266.2
linear_projection_k2,p1000,5,0.3411117876267627,0.06924300365039487,0.324558050139345,0.05925489452856603,0.4218219077451926,0.047098066563095065,266.2,266.2
linear_projection_k32,cs2,5,0.3602701671463673,0.06563315773355764,0.3458583739501584,0.05778147267348764,0.4204003405702827,0.03842651012614681,266.2,266.2
linear_projection_k32,gt450,5,0.3651436613757827,0.06236361364088058,0.3193446213032418,0.05406089000157568,0.4115458931731868,0.04340418622448889,266.2,266.2
linear_projection_k32,nz20,5,0.3661092265163741,0.07147596758990932,0.33611825852525745,0.053844050014279936,0.4405588993235073,0.05387897458885644,266.2,266.2
linear_projection_k32,nz210,5,0.36676923036013,0.08540212612784773,0.3667349678536471,0.08627467782595986,0.44194263686705104,0.05866155245847785,266.2,266.2
linear_projection_k32,p1000,5,0.3514206253587794,0.06555531539306697,0.33375781863383697,0.054477441665517726,0.4276887568794606,0.03814594861613208,266.2,266.2
linear_projection_k4,cs2,5,0.360153131127808,0.06798264292494008,0.34521280395089027,0.05895905981384928,0.4183658229741221,0.03964338844755243,266.2,266.2
linear_projection_k4,gt450,5,0.3649171176755684,0.061896612833782456,0.31933104144654884,0.053286830365804096,0.4139525296785684,0.042039324038617,266.2,266.2
linear_projection_k4,nz20,5,0.365417104676948,0.06985533415732377,0.335052458911861,0.053204727693185724,0.4384232749388475,0.05134201027861069,266.2,266.2
linear_projection_k4,nz210,5,0.3636481561514665,0.08524149550360284,0.3510409930656755,0.07973790459416401,0.4391992626716747,0.05887364029457762,266.2,266.2
linear_projection_k4,p1000,5,0.3464602802077985,0.06464379304024813,0.3285077698473058,0.054668450296165655,0.42424164188751146,0.04005334002293466,266.2,266.2
linear_projection_k8,cs2,5,0.3602701671463673,0.06563315773355764,0.3458583739501584,0.05778147267348764,0.4204003405702827,0.03842651012614681,266.2,266.2
linear_projection_k8,gt450,5,0.3651436613757827,0.06236361364088058,0.3193446213032418,0.05406089000157568,0.4115458931731868,0.04340418622448889,266.2,266.2
linear_projection_k8,nz20,5,0.3661092265163741,0.07147596758990932,0.33611825852525745,0.053844050014279936,0.4405588993235073,0.05387897458885644,266.2,266.2
linear_projection_k8,nz210,5,0.36676923036013,0.08540212612784773,0.3667349678536471,0.08627467782595986,0.44194263686705104,0.05866155245847785,266.2,266.2
linear_projection_k8,p1000,5,0.3514206253587794,0.06555531539306697,0.33375781863383697,0.054477441665517726,0.4276887568794606,0.03814594861613208,266.2,266.2
original_frozen_features,cs2,5,0.351985405467744,0.07801851933299947,0.3368306982034022,0.06940390603250479,0.41049414093242226,0.049206060019904165,266.2,266.2
original_frozen_features,gt450,5,0.34931509958723295,0.06240498081855418,0.301852816173807,0.05349905270402549,0.4016764795231487,0.052614444721424486,266.2,266.2
original_frozen_features,nz20,5,0.38233134029154237,0.06927771526036447,0.35457531860123814,0.06513553148278226,0.4352702561636009,0.042763980454092285,266.2,266.2
original_frozen_features,nz210,5,0.3624732196791722,0.08674040241401891,0.35995116315499937,0.08118506767229246,0.43176032521043073,0.05878887814604804,266.2,266.2
original_frozen_features,p1000,5,0.34506747957898465,0.07972318092535101,0.3375946321295627,0.07357374905616515,0.4211532979523508,0.057421086138732945,266.2,266.2
pca_removal_k1,cs2,5,0.30601246883074235,0.06923024359297221,0.29574953796561576,0.06879162921518181,0.36525513785906266,0.0517226637969992,266.2,266.2
pca_removal_k1,gt450,5,0.30289839034987104,0.0488631039782519,0.2736823188060949,0.05121832235640687,0.3578859911110134,0.044866850210336096,266.2,266.2
pca_removal_k1,nz20,5,0.3425707341064178,0.055098112297212586,0.32348979025775937,0.048832782604372946,0.39996031354498446,0.030200170485170777,266.2,266.2
pca_removal_k1,nz210,5,0.33132279486114713,0.06732168819452623,0.3276044936113888,0.06657928416190456,0.40436219115046806,0.04750775776580946,266.2,266.2
pca_removal_k1,p1000,5,0.31800853644219823,0.06702735634708419,0.29477947710023067,0.06181389275766226,0.39945673528125863,0.056511508329512676,266.2,266.2
pca_removal_k16,cs2,5,0.18091435755435137,0.03438144926151538,0.16766760888638327,0.026336108833259923,0.21758552988774457,0.024722135199109697,266.2,266.2
pca_removal_k16,gt450,5,0.17244424819966003,0.03604691204727092,0.15065146343302993,0.020565006671169842,0.18872508547930117,0.018969166514587344,266.2,266.2
pca_removal_k16,nz20,5,0.2216933809228717,0.040717628150129775,0.2057091470890871,0.03625112915172175,0.24468203817761972,0.03914181232964787,266.2,266.2
