representation,held_out_scanner,seed,n_train_patches,n_test_patches,n_train_samples,n_test_samples,sample_overlap,train_has_heldout_scanner
original_frozen_features,cs2,911,2136,271,30,14,0,False
original_frozen_features,cs2,912,2332,222,30,14,0,False
original_frozen_features,cs2,913,2120,275,30,14,0,False
original_frozen_features,cs2,914,1856,341,30,14,0,False
original_frozen_features,cs2,915,2332,222,30,14,0,False
original_frozen_features,gt450,911,2136,271,30,14,0,False
original_frozen_features,gt450,912,2332,222,30,14,0,False
original_frozen_features,gt450,913,2120,275,30,14,0,False
original_frozen_features,gt450,914,1856,341,30,14,0,False
original_frozen_features,gt450,915,2332,222,30,14,0,False
original_frozen_features,nz20,911,2136,271,30,14,0,False
original_frozen_features,nz20,912,2332,222,30,14,0,False
original_frozen_features,nz20,913,2120,275,30,14,0,False
original_frozen_features,nz20,914,1856,341,30,14,0,False
original_frozen_features,nz20,915,2332,222,30,14,0,False
original_frozen_features,nz210,911,2136,271,30,14,0,False
original_frozen_features,nz210,912,2332,222,30,14,0,False
original_frozen_features,nz210,913,2120,275,30,14,0,False
original_frozen_features,nz210,914,1856,341,30,14,0,False
original_frozen_features,nz210,915,2332,222,30,14,0,False
original_frozen_features,p1000,911,2136,271,30,14,0,False
original_frozen_features,p1000,912,2332,222,30,14,0,False
original_frozen_features,p1000,913,2120,275,30,14,0,False
original_frozen_features,p1000,914,1856,341,30,14,0,False
original_frozen_features,p1000,915,2332,222,30,14,0,False
true_pair_biological,cs2,911,2136,271,30,14,0,False
true_pair_biological,cs2,912,2332,222,30,14,0,False
true_pair_biological,cs2,913,2120,275,30,14,0,False
true_pair_biological,cs2,914,1856,341,30,14,0,False
true_pair_biological,cs2,915,2332,222,30,14,0,False
true_pair_biological,gt450,911,2136,271,30,14,0,False
true_pair_biological,gt450,912,2332,222,30,14,0,False
true_pair_biological,gt450,913,2120,275,30,14,0,False
true_pair_biological,gt450,914,1856,341,30,14,0,False
true_pair_biological,gt450,915,2332,222,30,14,0,False
true_pair_biological,nz20,911,2136,271,30,14,0,False
true_pair_biological,nz20,912,2332,222,30,14,0,False
true_pair_biological,nz20,913,2120,275,30,14,0,False
true_pair_biological,nz20,914,1856,341,30,14,0,False
true_pair_biological,nz20,915,2332,222,30,14,0,False
true_pair_biological,nz210,911,2136,271,30,14,0,False
true_pair_biological,nz210,912,2332,222,30,14,0,False
true_pair_biological,nz210,913,2120,275,30,14,0,False
true_pair_biological,nz210,914,1856,341,30,14,0,False
true_pair_biological,nz210,915,2332,222,30,14,0,False
true_pair_biological,p1000,911,2136,271,30,14,0,False
true_pair_biological,p1000,912,2332,222,30,14,0,False
true_pair_biological,p1000,913,2120,275,30,14,0,False
true_pair_biological,p1000,914,1856,341,30,14,0,False
true_pair_biological,p1000,915,2332,222,30,14,0,False
true_pair_acquisition,cs2,911,2136,271,30,14,0,False
true_pair_acquisition,cs2,912,2332,222,30,14,0,False
true_pair_acquisition,cs2,913,2120,275,30,14,0,False
true_pair_acquisition,cs2,914,1856,341,30,14,0,False
true_pair_acquisition,cs2,915,2332,222,30,14,0,False
true_pair_acquisition,gt450,911,2136,271,30,14,0,False
true_pair_acquisition,gt450,912,2332,222,30,14,0,False
true_pair_acquisition,gt450,913,2120,275,30,14,0,False
true_pair_acquisition,gt450,914,1856,341,30,14,0,False
true_pair_acquisition,gt450,915,2332,222,30,14,0,False
true_pair_acquisition,nz20,911,2136,271,30,14,0,False
true_pair_acquisition,nz20,912,2332,222,30,14,0,False
true_pair_acquisition,nz20,913,2120,275,30,14,0,False
true_pair_acquisition,nz20,914,1856,341,30,14,0,False
true_pair_acquisition,nz20,915,2332,222,30,14,0,False
true_pair_acquisition,nz210,911,2136,271,30,14,0,False
true_pair_acquisition,nz210,912,2332,222,30,14,0,False
true_pair_acquisition,nz210,913,2120,275,30,14,0,False
true_pair_acquisition,nz210,914,1856,341,30,14,0,False
true_pair_acquisition,nz210,915,2332,222,30,14,0,False
true_pair_acquisition,p1000,911,2136,271,30,14,0,False
true_pair_acquisition,p1000,912,2332,222,30,14,0,False
true_pair_acquisition,p1000,913,2120,275,30,14,0,False
true_pair_acquisition,p1000,914,1856,341,30,14,0,False
true_pair_acquisition,p1000,915,2332,222,30,14,0,False
shuffled_sample_biological,cs2,911,2136,271,30,14,0,False
shuffled_sample_biological,cs2,912,2332,222,30,14,0,False
shuffled_sample_biological,cs2,913,2120,275,30,14,0,False
shuffled_sample_biological,cs2,914,1856,341,30,14,0,False
shuffled_sample_biological,cs2,915,2332,222,30,14,0,False
shuffled_sample_biological,gt450,911,2136,271,30,14,0,False
