representation,n_runs,n_scanners,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_balanced_accuracy_worst,category_macro_f1_mean,category_macro_f1_std,category_macro_f1_worst,category_weighted_f1_mean,category_weighted_f1_std,category_weighted_f1_worst,rep_family
linear_projection_k0,25,5,0.35897714160323557,0.07069569329549312,0.3452117276857283,0.3388735595360452,0.06629604841058193,0.30444456307746665,0.41988701925877786,0.04920374193555275,0.40347544306284566,linear_scanner_subspace_projection
linear_projection_k1,25,5,0.3565722254917165,0.06767306744505287,0.3405954890608859,0.3374428011180977,0.06451244001036065,0.3034396176360826,0.4209638400391002,0.04945422381715038,0.4062593140993814,linear_scanner_subspace_projection
linear_projection_k16,25,5,0.36194258215148667,0.06468163612152655,0.3514206253587794,0.3403628080532284,0.05931265283081741,0.31934462130324176,0.42842730536269763,0.04473906647395216,0.4115458931731868,linear_scanner_subspace_projection
linear_projection_k2,25,5,0.3588567114994814,0.06772844488770605,0.3411117876267627,0.3306632086271589,0.05362929399312056,0.3157956831131653,0.42510115630329437,0.047976828757769784,0.40961367349188127,linear_scanner_subspace_projection
linear_projection_k32,25,5,0.36194258215148667,0.06468163612152655,0.3514206253587794,0.3403628080532284,0.05931265283081741,0.31934462130324176,0.42842730536269763,0.04473906647395216,0.4115458931731868,linear_scanner_subspace_projection
linear_projection_k4,25,5,0.3601191579679179,0.06466602197676119,0.34646028020779857,0.33582901344445626,0.056716372087563936,0.3193310414465489,0.4268365064301448,0.04417719548512191,0.4139525296785684,linear_scanner_subspace_projection
linear_projection_k8,25,5,0.36194258215148667,0.06468163612152655,0.3514206253587794,0.3403628080532284,0.05931265283081741,0.31934462130324176,0.42842730536269763,0.04473906647395216,0.4115458931731868,linear_scanner_subspace_projection
original_frozen_features,25,5,0.3582345089209353,0.07044336734956391,0.34506747957898465,0.3381609256526019,0.0664662442265631,0.301852816173807,0.4200708999563907,0.049615550493361506,0.4016764795231486,frozen
pca_removal_k1,25,5,0.32016258491807537,0.05867012256048838,0.3028983903498711,0.3030611235482179,0.05845238384922456,0.2736823188060949,0.38538407378935746,0.047374129305370334,0.3578859911110134,pca_component_removal
pca_removal_k16,25,5,0.1777050640066694,0.042651470492938465,0.13507221887013768,0.16610958636733272,0.03610394920496101,0.13451870566186627,0.21171203277270906,0.03293039156189689,0.18872508547930117,pca_component_removal
pca_removal_k2,25,5,0.308859915357657,0.05733550515929755,0.2915053885590561,0.29459061452551355,0.054113913166627746,0.2680468351093066,0.378851710880039,0.04382662794001064,0.36854467929088097,pca_component_removal
pca_removal_k32,25,5,0.15873048452478686,0.03360433436731422,0.1395426353108975,0.15052940947814253,0.03363875613588568,0.125990689451139,0.1957814480249846,0.030689738745631575,0.16545958748607922,pca_component_removal
pca_removal_k4,25,5,0.2862622283416714,0.06148574626555115,0.2651646658819383,0.27273998540468036,0.05800736343085491,0.24789442366290043,0.3600132971485392,0.052076600262390714,0.3434740698942782,pca_component_removal
pca_removal_k8,25,5,0.21074273459435244,0.046604055509069445,0.18066945850592164,0.19766208417593714,0.04746451417108288,0.16885523934649935,0.23833403894051877,0.04435053550580638,0.20140028210549588,pca_component_removal
shuffled_sample_acquisition,25,5,0.3308986407695992,0.04207732897775612,0.3095741872321158,0.2778422697519102,0.04681129596774679,0.23486411409963762,0.33522912087134066,0.04608583417544759,0.30665163459449163,pair_integrity
shuffled_sample_biological,25,5,0.22577349690752246,0.0525774299808329,0.18293996920854863,0.21535518294682035,0.05160753662279565,0.16997958530514798,0.28929082735120437,0.05223435416471097,0.23665366754859468,pair_integrity
true_pair_acquisition,25,5,0.2625480177864743,0.04061295722197597,0.21728216504517972,0.21232625894987667,0.0396716817015533,0.16800898475907433,0.26760527679982316,0.0369499749809327,0.24213758815294736,pair_integrity
true_pair_biological,25,5,0.3191611251279091,0.06752854906220614,0.3109384578789894,0.30204274825393584,0.0647213966870971,0.2863296630675092,0.3895369809492671,0.04363359393019056,0.379780012291495,pair_integrity
