representation,representation_family,confounding_strength,class,mean,std,count
linear_projection_k0,linear_projection,mild,Bone,0.3144888888888889,0.18839602409913933,25
linear_projection_k0,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k0,linear_projection,mild,Dermis,0.18564959064327483,0.08825922854491726,25
linear_projection_k0,linear_projection,mild,Epidermis,0.5925226561110123,0.0887521385410526,25
linear_projection_k0,linear_projection,mild,Inflamm/Necrosis,0.4041920634920635,0.16024556661067332,25
linear_projection_k0,linear_projection,mild,SCC,0.366559755387493,0.1126826157321664,25
linear_projection_k0,linear_projection,mild,Subcutis,0.6112250980392157,0.16728479656826578,25
linear_projection_k0,linear_projection,moderate,Bone,0.29996190476190476,0.17903805745792867,25
linear_projection_k0,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k0,linear_projection,moderate,Dermis,0.1572383625730994,0.08358022438683124,25
linear_projection_k0,linear_projection,moderate,Epidermis,0.5801874697640739,0.07067586309031045,25
linear_projection_k0,linear_projection,moderate,Inflamm/Necrosis,0.37792539682539683,0.1379632412667705,25
linear_projection_k0,linear_projection,moderate,SCC,0.3563553335001935,0.1195134611699222,25
linear_projection_k0,linear_projection,moderate,Subcutis,0.5930854901960785,0.17300445936564712,25
linear_projection_k0,linear_projection,severe,Bone,0.29747301587301583,0.18230904408048423,25
linear_projection_k0,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k0,linear_projection,severe,Dermis,0.21636327485380114,0.09875471353909426,25
linear_projection_k0,linear_projection,severe,Epidermis,0.5587792936575561,0.07961571223655631,25
linear_projection_k0,linear_projection,severe,Inflamm/Necrosis,0.37399206349206354,0.1368108498156417,25
linear_projection_k0,linear_projection,severe,SCC,0.36867776492420157,0.130197537738158,25
linear_projection_k0,linear_projection,severe,Subcutis,0.5698823529411764,0.17991335291885133,25
linear_projection_k1,linear_projection,mild,Bone,0.31067936507936506,0.18324801331293056,25
linear_projection_k1,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k1,linear_projection,mild,Dermis,0.18674502923976607,0.08577389274260243,25
linear_projection_k1,linear_projection,mild,Epidermis,0.5927648060062984,0.08833813056907606,25
linear_projection_k1,linear_projection,mild,Inflamm/Necrosis,0.4057904761904762,0.16084761147861582,25
linear_projection_k1,linear_projection,mild,SCC,0.36552374337088106,0.11170147524939462,25
linear_projection_k1,linear_projection,mild,Subcutis,0.6095905882352941,0.16526801757049098,25
linear_projection_k1,linear_projection,moderate,Bone,0.29754920634920634,0.17741183803644053,25
linear_projection_k1,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k1,linear_projection,moderate,Dermis,0.15967929824561403,0.08216414331688694,25
linear_projection_k1,linear_projection,moderate,Epidermis,0.5795162503082114,0.07056876828097829,25
linear_projection_k1,linear_projection,moderate,Inflamm/Necrosis,0.3806873015873016,0.13917067772872482,25
linear_projection_k1,linear_projection,moderate,SCC,0.35612293828087405,0.11980422921730469,25
linear_projection_k1,linear_projection,moderate,Subcutis,0.5914133333333332,0.17484183309501658,25
linear_projection_k1,linear_projection,severe,Bone,0.2961523809523809,0.17599866388248114,25
linear_projection_k1,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k1,linear_projection,severe,Dermis,0.21603555555555556,0.09964749428573931,25
linear_projection_k1,linear_projection,severe,Epidermis,0.5605117830379186,0.0799176229219775,25
linear_projection_k1,linear_projection,severe,Inflamm/Necrosis,0.3715698412698413,0.13688020305373694,25
linear_projection_k1,linear_projection,severe,SCC,0.3704283964539832,0.12920041004376487,25
linear_projection_k1,linear_projection,severe,Subcutis,0.573995294117647,0.17912839664235297,25
linear_projection_k16,linear_projection,mild,Bone,0.3135492063492063,0.1786160019619813,25
linear_projection_k16,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k16,linear_projection,mild,Dermis,0.18846269005847952,0.0869050652627248,25
linear_projection_k16,linear_projection,mild,Epidermis,0.5918079459233389,0.08804052914005613,25
linear_projection_k16,linear_projection,mild,Inflamm/Necrosis,0.4059587301587302,0.16457596701433438,25
linear_projection_k16,linear_projection,mild,SCC,0.3617948091241625,0.11279055833004907,25
linear_projection_k16,linear_projection,mild,Subcutis,0.6153756862745098,0.1705510717237755,25
linear_projection_k16,linear_projection,moderate,Bone,0.2908190476190476,0.17188939434063197,25
linear_projection_k16,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k16,linear_projection,moderate,Dermis,0.16565473684210524,0.08053031098623878,25
linear_projection_k16,linear_projection,moderate,Epidermis,0.579498477357778,0.0689048540924061,25
linear_projection_k16,linear_projection,moderate,Inflamm/Necrosis,0.3762888888888889,0.14158749071318072,25
linear_projection_k16,linear_projection,moderate,SCC,0.3582449002564719,0.11935647377057342,25
linear_projection_k16,linear_projection,moderate,Subcutis,0.5944501960784314,0.18098208495232232,25
linear_projection_k16,linear_projection,severe,Bone,0.2973968253968254,0.18333766228655368,25
linear_projection_k16,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k16,linear_projection,severe,Dermis,0.20754643274853798,0.11124956283822075,25
linear_projection_k16,linear_projection,severe,Epidermis,0.557304199789636,0.07860174644711729,25
linear_projection_k16,linear_projection,severe,Inflamm/Necrosis,0.38323968253968255,0.13955628899456304,25
linear_projection_k16,linear_projection,severe,SCC,0.3795675211011978,0.13270926066752747,25
linear_projection_k16,linear_projection,severe,Subcutis,0.5661207843137255,0.17986283164072078,25
linear_projection_k2,linear_projection,mild,Bone,0.3118222222222222,0.1869124574068139,25
linear_projection_k2,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k2,linear_projection,mild,Dermis,0.18439298245614033,0.08855074062078397,25
linear_projection_k2,linear_projection,mild,Epidermis,0.5922997621700578,0.08740006926940785,25
linear_projection_k2,linear_projection,mild,Inflamm/Necrosis,0.40289682539682536,0.15539129793080805,25
linear_projection_k2,linear_projection,mild,SCC,0.3642013829074808,0.1120642486456533,25
linear_projection_k2,linear_projection,mild,Subcutis,0.6129411764705882,0.16740323055241454,25
linear_projection_k2,linear_projection,moderate,Bone,0.2953396825396825,0.1780372898019028,25
linear_projection_k2,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k2,linear_projection,moderate,Dermis,0.1621447953216374,0.08512400066296444,25
linear_projection_k2,linear_projection,moderate,Epidermis,0.5795791948738597,0.06797252704075472,25
linear_projection_k2,linear_projection,moderate,Inflamm/Necrosis,0.38043809523809524,0.1405556878866427,25
linear_projection_k2,linear_projection,moderate,SCC,0.3551256087504566,0.11795843518752176,25
linear_projection_k2,linear_projection,moderate,Subcutis,0.5938572549019608,0.17489108193254485,25
linear_projection_k2,linear_projection,severe,Bone,0.29856507936507937,0.17829283665057052,25
linear_projection_k2,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k2,linear_projection,severe,Dermis,0.2051415204678362,0.09496010623678255,25
linear_projection_k2,linear_projection,severe,Epidermis,0.5593723237108962,0.0813180544474285,25
linear_projection_k2,linear_projection,severe,Inflamm/Necrosis,0.3737888888888889,0.1350802724860562,25
linear_projection_k2,linear_projection,severe,SCC,0.373001489849481,0.12988890435059758,25
linear_projection_k2,linear_projection,severe,Subcutis,0.5681129411764706,0.18167267460234016,25
linear_projection_k32,linear_projection,mild,Bone,0.3135492063492063,0.1786160019619813,25
linear_projection_k32,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k32,linear_projection,mild,Dermis,0.18846269005847952,0.0869050652627248,25
linear_projection_k32,linear_projection,mild,Epidermis,0.5918079459233389,0.08804052914005613,25
linear_projection_k32,linear_projection,mild,Inflamm/Necrosis,0.4059587301587302,0.16457596701433438,25
linear_projection_k32,linear_projection,mild,SCC,0.3617948091241625,0.11279055833004907,25
linear_projection_k32,linear_projection,mild,Subcutis,0.6153756862745098,0.1705510717237755,25
linear_projection_k32,linear_projection,moderate,Bone,0.2908190476190476,0.17188939434063197,25
linear_projection_k32,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k32,linear_projection,moderate,Dermis,0.16565473684210524,0.08053031098623878,25
linear_projection_k32,linear_projection,moderate,Epidermis,0.579498477357778,0.0689048540924061,25
linear_projection_k32,linear_projection,moderate,Inflamm/Necrosis,0.3762888888888889,0.14158749071318072,25
linear_projection_k32,linear_projection,moderate,SCC,0.3582449002564719,0.11935647377057342,25
linear_projection_k32,linear_projection,moderate,Subcutis,0.5944501960784314,0.18098208495232232,25
linear_projection_k32,linear_projection,severe,Bone,0.2973968253968254,0.18333766228655368,25
linear_projection_k32,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k32,linear_projection,severe,Dermis,0.20754643274853798,0.11124956283822075,25
linear_projection_k32,linear_projection,severe,Epidermis,0.557304199789636,0.07860174644711729,25
linear_projection_k32,linear_projection,severe,Inflamm/Necrosis,0.38323968253968255,0.13955628899456304,25
linear_projection_k32,linear_projection,severe,SCC,0.3795675211011978,0.13270926066752747,25
linear_projection_k32,linear_projection,severe,Subcutis,0.5661207843137255,0.17986283164072078,25
linear_projection_k4,linear_projection,mild,Bone,0.3135492063492063,0.1786160019619813,25
linear_projection_k4,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k4,linear_projection,mild,Dermis,0.18846269005847952,0.0869050652627248,25
linear_projection_k4,linear_projection,mild,Epidermis,0.5918079459233389,0.08804052914005613,25
linear_projection_k4,linear_projection,mild,Inflamm/Necrosis,0.4059587301587302,0.16457596701433438,25
linear_projection_k4,linear_projection,mild,SCC,0.3617948091241625,0.11279055833004907,25
linear_projection_k4,linear_projection,mild,Subcutis,0.6153756862745098,0.1705510717237755,25
linear_projection_k4,linear_projection,moderate,Bone,0.2908190476190476,0.17188939434063197,25
linear_projection_k4,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k4,linear_projection,moderate,Dermis,0.16565473684210524,0.08053031098623878,25
linear_projection_k4,linear_projection,moderate,Epidermis,0.579498477357778,0.0689048540924061,25
linear_projection_k4,linear_projection,moderate,Inflamm/Necrosis,0.3762888888888889,0.14158749071318072,25
linear_projection_k4,linear_projection,moderate,SCC,0.3582449002564719,0.11935647377057342,25
linear_projection_k4,linear_projection,moderate,Subcutis,0.5944501960784314,0.18098208495232232,25
linear_projection_k4,linear_projection,severe,Bone,0.2973968253968254,0.18333766228655368,25
linear_projection_k4,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k4,linear_projection,severe,Dermis,0.20754643274853798,0.11124956283822075,25
linear_projection_k4,linear_projection,severe,Epidermis,0.557304199789636,0.07860174644711729,25
linear_projection_k4,linear_projection,severe,Inflamm/Necrosis,0.38323968253968255,0.13955628899456304,25
linear_projection_k4,linear_projection,severe,SCC,0.3795675211011978,0.13270926066752747,25
linear_projection_k4,linear_projection,severe,Subcutis,0.5661207843137255,0.17986283164072078,25
linear_projection_k8,linear_projection,mild,Bone,0.3135492063492063,0.1786160019619813,25
linear_projection_k8,linear_projection,mild,Cartilage,0.0,0.0,5
linear_projection_k8,linear_projection,mild,Dermis,0.18846269005847952,0.0869050652627248,25
linear_projection_k8,linear_projection,mild,Epidermis,0.5918079459233389,0.08804052914005613,25
linear_projection_k8,linear_projection,mild,Inflamm/Necrosis,0.4059587301587302,0.16457596701433438,25
linear_projection_k8,linear_projection,mild,SCC,0.3617948091241625,0.11279055833004907,25
linear_projection_k8,linear_projection,mild,Subcutis,0.6153756862745098,0.1705510717237755,25
linear_projection_k8,linear_projection,moderate,Bone,0.2908190476190476,0.17188939434063197,25
linear_projection_k8,linear_projection,moderate,Cartilage,0.0,0.0,5
linear_projection_k8,linear_projection,moderate,Dermis,0.16565473684210524,0.08053031098623878,25
linear_projection_k8,linear_projection,moderate,Epidermis,0.579498477357778,0.0689048540924061,25
linear_projection_k8,linear_projection,moderate,Inflamm/Necrosis,0.3762888888888889,0.14158749071318072,25
linear_projection_k8,linear_projection,moderate,SCC,0.3582449002564719,0.11935647377057342,25
linear_projection_k8,linear_projection,moderate,Subcutis,0.5944501960784314,0.18098208495232232,25
linear_projection_k8,linear_projection,severe,Bone,0.2973968253968254,0.18333766228655368,25
linear_projection_k8,linear_projection,severe,Cartilage,0.0,0.0,5
linear_projection_k8,linear_projection,severe,Dermis,0.20754643274853798,0.11124956283822075,25
linear_projection_k8,linear_projection,severe,Epidermis,0.557304199789636,0.07860174644711729,25
linear_projection_k8,linear_projection,severe,Inflamm/Necrosis,0.38323968253968255,0.13955628899456304,25
linear_projection_k8,linear_projection,severe,SCC,0.3795675211011978,0.13270926066752747,25
linear_projection_k8,linear_projection,severe,Subcutis,0.5661207843137255,0.17986283164072078,25
original_frozen_features,frozen,mild,Bone,0.3124571428571429,0.18697957432856502,25
original_frozen_features,frozen,mild,Cartilage,0.0,0.0,5
original_frozen_features,frozen,mild,Dermis,0.18833730994152045,0.08597439465345587,25
original_frozen_features,frozen,mild,Epidermis,0.5918410782560386,0.08869228895303394,25
original_frozen_features,frozen,mild,Inflamm/Necrosis,0.4041920634920635,0.161141886119026,25
original_frozen_features,frozen,mild,SCC,0.36625504439517764,0.11222400685885803,25
original_frozen_features,frozen,mild,Subcutis,0.6116423529411764,0.17023873156082814,25
original_frozen_features,frozen,moderate,Bone,0.29754920634920634,0.17805862925288157,25
original_frozen_features,frozen,moderate,Cartilage,0.0,0.0,5
original_frozen_features,frozen,moderate,Dermis,0.156372865497076,0.08282375711988577,25
original_frozen_features,frozen,moderate,Epidermis,0.5802140641142084,0.07132207089430768,25
original_frozen_features,frozen,moderate,Inflamm/Necrosis,0.37577460317460315,0.13685934523878415,25
original_frozen_features,frozen,moderate,SCC,0.3563532321240634,0.11907078115721191,25
original_frozen_features,frozen,moderate,Subcutis,0.5917521568627451,0.17388353612941745,25
original_frozen_features,frozen,severe,Bone,0.29607619047619044,0.18044724072465945,25
original_frozen_features,frozen,severe,Cartilage,0.0,0.0,5
original_frozen_features,frozen,severe,Dermis,0.21732210526315787,0.09909685495107752,25
original_frozen_features,frozen,severe,Epidermis,0.5595774968242524,0.07805516649631306,25
original_frozen_features,frozen,severe,Inflamm/Necrosis,0.37327460317460315,0.13462543965409215,25
original_frozen_features,frozen,severe,SCC,0.36927496936259013,0.12874397582296712,25
original_frozen_features,frozen,severe,Subcutis,0.5705662745098039,0.1794017576694173,25
pca_removal_k0,pca_removal,mild,Bone,0.3144888888888889,0.18839602409913933,25
pca_removal_k0,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k0,pca_removal,mild,Dermis,0.18564959064327483,0.08825922854491726,25
pca_removal_k0,pca_removal,mild,Epidermis,0.5925226561110123,0.0887521385410526,25
