representation,representation_family,confounding_strength,scanner,mean,std,count
linear_projection_k0,linear_projection,mild,cs2,0.569319439550837,0.06315868946324352,25
linear_projection_k0,linear_projection,mild,gt450,0.5893824344976796,0.07814354631261032,25
linear_projection_k0,linear_projection,mild,nz20,0.5586445704594525,0.06758280300741921,25
linear_projection_k0,linear_projection,mild,nz210,0.5583659919766998,0.06735977827245539,25
linear_projection_k0,linear_projection,mild,p1000,0.5659369153062438,0.07357766386442945,25
linear_projection_k0,linear_projection,moderate,cs2,0.5926121555731356,0.05900025880868991,25
linear_projection_k0,linear_projection,moderate,gt450,0.6080024427410997,0.07223908203819575,25
linear_projection_k0,linear_projection,moderate,nz20,0.5693932443841699,0.06721603694217432,25
linear_projection_k0,linear_projection,moderate,nz210,0.5778081436275628,0.05419425068926208,25
linear_projection_k0,linear_projection,moderate,p1000,0.5735938737944183,0.07412945241491202,25
linear_projection_k0,linear_projection,severe,cs2,0.5764873959138932,0.07519714413165404,25
linear_projection_k0,linear_projection,severe,gt450,0.6220137264765214,0.08338154309071316,25
linear_projection_k0,linear_projection,severe,nz20,0.5585205084624323,0.0715269655819278,25
linear_projection_k0,linear_projection,severe,nz210,0.570603338215861,0.069966650621743,25
linear_projection_k0,linear_projection,severe,p1000,0.5954463125098334,0.08652692073711185,25
linear_projection_k1,linear_projection,mild,cs2,0.570192134107742,0.06163822193076014,25
linear_projection_k1,linear_projection,mild,gt450,0.5897620694825776,0.07748918864835036,25
linear_projection_k1,linear_projection,mild,nz20,0.5598261033515117,0.06829736916956183,25
linear_projection_k1,linear_projection,mild,nz210,0.5584844748919159,0.06570198509784617,25
linear_projection_k1,linear_projection,mild,p1000,0.5662942723741272,0.07314247718203361,25
linear_projection_k1,linear_projection,moderate,cs2,0.5949128568547806,0.058299780384673185,25
linear_projection_k1,linear_projection,moderate,gt450,0.6083017073334678,0.07176500109136308,25
linear_projection_k1,linear_projection,moderate,nz20,0.5700947310067093,0.06728271015030232,25
linear_projection_k1,linear_projection,moderate,nz210,0.5755995895279017,0.053919942346212196,25
linear_projection_k1,linear_projection,moderate,p1000,0.5738678249558468,0.07212743602440558,25
linear_projection_k1,linear_projection,severe,cs2,0.5765922180931256,0.07589913123320403,25
linear_projection_k1,linear_projection,severe,gt450,0.6216687109019232,0.0791800164000019,25
linear_projection_k1,linear_projection,severe,nz20,0.5579995187644916,0.0698108842404559,25
linear_projection_k1,linear_projection,severe,nz210,0.5674661026276272,0.06807114703444192,25
linear_projection_k1,linear_projection,severe,p1000,0.5950493678197852,0.08127665492141484,25
linear_projection_k16,linear_projection,mild,cs2,0.5711045573704375,0.06363625592092406,25
linear_projection_k16,linear_projection,mild,gt450,0.5929126153137042,0.07278354111304455,25
