dataset,representation,representation_family,fold,neural_seed,confounding_seed,confounding_strength,balanced_accuracy,macro_f1,weighted_f1,n_test,n_test_errors,max_scanner_error_share,recall_Bone,recall_Dermis,recall_Epidermis,recall_Inflamm/Necrosis,recall_SCC,recall_Subcutis,error_rate_cs2,error_rate_gt450,error_rate_nz20,error_rate_nz210,error_rate_p1000,recall_Cartilage
caninescc,original_frozen_features,frozen,0,,2001,mild,0.32618227959836704,0.27721259693230055,0.2789682217350263,720,504,0.19047619047619047,0.13333333333333333,0.1368421052631579,0.425,0.275,0.17358490566037735,0.8133333333333334,0.6944444444444444,0.7569444444444444,0.6875,0.6944444444444444,0.6666666666666666,
caninescc,original_frozen_features,frozen,0,,2002,mild,0.3225108040016183,0.23157175318989992,0.28234050530766536,720,499,0.20240480961923848,0.15555555555555556,0.08421052631578947,0.5125,0.175,0.1811320754716981,0.8266666666666667,0.6527777777777778,0.7222222222222222,0.6805555555555556,0.7083333333333334,0.7013888888888888,
caninescc,original_frozen_features,frozen,0,,2003,mild,0.37743023373423074,0.32348855804724824,0.3240550446941225,720,466,0.21030042918454936,0.17777777777777778,0.11578947368421053,0.64375,0.325,0.16226415094339622,0.84,0.6319444444444444,0.6666666666666666,0.6180555555555556,0.6388888888888888,0.6805555555555556,
caninescc,original_frozen_features,frozen,0,,2004,mild,0.3344742359042259,0.24341408011429738,0.2991681422602772,720,484,0.21074380165289255,0.13333333333333333,0.05263157894736842,0.5625,0.2375,0.20754716981132076,0.8133333333333334,0.625,0.7222222222222222,0.6597222222222222,0.6458333333333334,0.7083333333333334,
caninescc,original_frozen_features,frozen,0,,2005,mild,0.3181007944389275,0.2353684754409362,0.28806816138704294,720,502,0.20119521912350596,0.13333333333333333,0.09473684210526316,0.4,0.275,0.2188679245283019,0.7866666666666666,0.6597222222222222,0.7708333333333334,0.6805555555555556,0.6736111111111112,0.7013888888888888,
caninescc,original_frozen_features,frozen,0,,2001,moderate,0.3153814042443635,0.22807990480651646,0.28167304920724046,720,504,0.19642857142857142,0.08888888888888889,0.11578947368421053,0.525,0.225,0.1509433962264151,0.7866666666666666,0.7083333333333334,0.7430555555555556,0.6736111111111112,0.6875,0.6875,
caninescc,original_frozen_features,frozen,0,,2002,moderate,0.34774826216484606,0.2572033054649033,0.3101252794810236,720,481,0.20582120582120583,0.13333333333333333,0.10526315789473684,0.5375,0.2875,0.19622641509433963,0.8266666666666667,0.6388888888888888,0.7013888888888888,0.6736111111111112,0.6388888888888888,0.6875,
caninescc,original_frozen_features,frozen,0,,2003,moderate,0.3580948177571812,0.2671075084303021,0.31280990352973526,720,481,0.2079002079002079,0.24444444444444444,0.07368421052631578,0.5125,0.2875,0.2037735849056604,0.8266666666666667,0.6041666666666666,0.7083333333333334,0.6875,0.6458333333333334,0.6944444444444444,
caninescc,original_frozen_features,frozen,0,,2004,moderate,0.3266948030453492,0.28067434485533627,0.29300617940309864,720,497,0.19114688128772636,0.13333333333333333,0.10526315789473684,0.4875,0.2625,0.18490566037735848,0.7866666666666666,0.6944444444444444,0.7569444444444444,0.6527777777777778,0.6875,0.6597222222222222,
caninescc,original_frozen_features,frozen,0,,2005,moderate,0.31247586340064,0.2624908910492042,0.27229835084026555,720,508,0.19881889763779528,0.13333333333333333,0.08421052631578947,0.475,0.2125,0.16981132075471697,0.8,0.7152777777777778,0.7569444444444444,0.6736111111111112,0.6805555555555556,0.7013888888888888,
caninescc,original_frozen_features,frozen,0,,2001,severe,0.3035288857626246,0.22625424417971013,0.283128202012976,720,507,0.21499013806706113,0.08888888888888889,0.08421052631578947,0.54375,0.2125,0.15849056603773584,0.7333333333333333,0.6944444444444444,0.7152777777777778,0.6666666666666666,0.6875,0.7569444444444444,
