category,scanner,is_assigned,n_total_fit,n_kept,retain_fraction_actual,fold,confounding_seed,strength
Bone,cs2,True,30,18,0.6,0,2001,mild
Bone,gt450,False,30,10,0.3333333333333333,0,2001,mild
Bone,nz20,True,30,18,0.6,0,2001,mild
Bone,nz210,False,30,14,0.4666666666666667,0,2001,mild
Bone,p1000,False,30,12,0.4,0,2001,mild
Cartilage,cs2,False,2,0,0.0,0,2001,mild
Cartilage,gt450,False,2,1,0.5,0,2001,mild
Cartilage,nz20,False,2,1,0.5,0,2001,mild
Cartilage,nz210,True,2,1,0.5,0,2001,mild
Cartilage,p1000,True,2,1,0.5,0,2001,mild
Dermis,cs2,True,81,47,0.5802469135802469,0,2001,mild
Dermis,gt450,False,81,37,0.4567901234567901,0,2001,mild
Dermis,nz20,True,81,50,0.6172839506172839,0,2001,mild
Dermis,nz210,False,81,23,0.2839506172839506,0,2001,mild
Dermis,p1000,False,81,37,0.4567901234567901,0,2001,mild
Epidermis,cs2,False,209,88,0.42105263157894735,0,2001,mild
Epidermis,gt450,False,209,81,0.3875598086124402,0,2001,mild
Epidermis,nz20,False,209,81,0.3875598086124402,0,2001,mild
Epidermis,nz210,True,209,126,0.6028708133971292,0,2001,mild
Epidermis,p1000,True,209,124,0.5933014354066986,0,2001,mild
Inflamm/Necrosis,cs2,True,64,36,0.5625,0,2001,mild
Inflamm/Necrosis,gt450,False,64,22,0.34375,0,2001,mild
Inflamm/Necrosis,nz20,False,64,29,0.453125,0,2001,mild
Inflamm/Necrosis,nz210,False,64,25,0.390625,0,2001,mild
Inflamm/Necrosis,p1000,True,64,40,0.625,0,2001,mild
SCC,cs2,True,188,117,0.6223404255319149,0,2001,mild
SCC,gt450,False,188,71,0.3776595744680851,0,2001,mild
SCC,nz20,True,188,108,0.574468085106383,0,2001,mild
SCC,nz210,False,188,75,0.39893617021276595,0,2001,mild
SCC,p1000,False,188,79,0.42021276595744683,0,2001,mild
Subcutis,cs2,False,87,34,0.39080459770114945,0,2001,mild
Subcutis,gt450,False,87,40,0.45977011494252873,0,2001,mild
Subcutis,nz20,True,87,54,0.6206896551724138,0,2001,mild
Subcutis,nz210,True,87,50,0.5747126436781609,0,2001,mild
Subcutis,p1000,False,87,30,0.3448275862068966,0,2001,mild
Bone,cs2,True,30,25,0.8333333333333334,0,2001,moderate
Bone,gt450,False,30,7,0.23333333333333334,0,2001,moderate
Bone,nz20,True,30,23,0.7666666666666667,0,2001,moderate
Bone,nz210,False,30,5,0.16666666666666666,0,2001,moderate
Bone,p1000,False,30,5,0.16666666666666666,0,2001,moderate
Cartilage,cs2,False,2,0,0.0,0,2001,moderate
Cartilage,gt450,False,2,1,0.5,0,2001,moderate
Cartilage,nz20,False,2,0,0.0,0,2001,moderate
Cartilage,nz210,True,2,2,1.0,0,2001,moderate
Cartilage,p1000,True,2,1,0.5,0,2001,moderate
Dermis,cs2,True,81,61,0.7530864197530864,0,2001,moderate
Dermis,gt450,False,81,13,0.16049382716049382,0,2001,moderate
Dermis,nz20,False,81,16,0.19753086419753085,0,2001,moderate
Dermis,nz210,False,81,19,0.2345679012345679,0,2001,moderate
Dermis,p1000,True,81,68,0.8395061728395061,0,2001,moderate
Epidermis,cs2,True,209,163,0.7799043062200957,0,2001,moderate
Epidermis,gt450,False,209,49,0.23444976076555024,0,2001,moderate
Epidermis,nz20,False,209,39,0.18660287081339713,0,2001,moderate
Epidermis,nz210,False,209,37,0.17703349282296652,0,2001,moderate
Epidermis,p1000,True,209,171,0.8181818181818182,0,2001,moderate
Inflamm/Necrosis,cs2,False,64,10,0.15625,0,2001,moderate
Inflamm/Necrosis,gt450,True,64,52,0.8125,0,2001,moderate
Inflamm/Necrosis,nz20,False,64,13,0.203125,0,2001,moderate
Inflamm/Necrosis,nz210,True,64,50,0.78125,0,2001,moderate
Inflamm/Necrosis,p1000,False,64,15,0.234375,0,2001,moderate
SCC,cs2,False,188,34,0.18085106382978725,0,2001,moderate
SCC,gt450,False,188,42,0.22340425531914893,0,2001,moderate
SCC,nz20,True,188,144,0.7659574468085106,0,2001,moderate
SCC,nz210,True,188,156,0.8297872340425532,0,2001,moderate
SCC,p1000,False,188,36,0.19148936170212766,0,2001,moderate
Subcutis,cs2,True,87,70,0.8045977011494253,0,2001,moderate
Subcutis,gt450,False,87,18,0.20689655172413793,0,2001,moderate
Subcutis,nz20,False,87,12,0.13793103448275862,0,2001,moderate
Subcutis,nz210,True,87,69,0.7931034482758621,0,2001,moderate
Subcutis,p1000,False,87,22,0.25287356321839083,0,2001,moderate
Bone,cs2,True,30,27,0.9,0,2001,severe
Bone,gt450,False,30,4,0.13333333333333333,0,2001,severe
Bone,nz20,True,30,30,1.0,0,2001,severe
Bone,nz210,False,30,0,0.0,0,2001,severe
Bone,p1000,False,30,0,0.0,0,2001,severe
Cartilage,cs2,False,2,0,0.0,0,2001,severe
Cartilage,gt450,True,2,1,0.5,0,2001,severe
Cartilage,nz20,False,2,0,0.0,0,2001,severe
Cartilage,nz210,False,2,1,0.5,0,2001,severe
Cartilage,p1000,True,2,2,1.0,0,2001,severe
Dermis,cs2,False,81,3,0.037037037037037035,0,2001,severe
Dermis,gt450,False,81,5,0.06172839506172839,0,2001,severe
Dermis,nz20,False,81,4,0.04938271604938271,0,2001,severe
Dermis,nz210,True,81,77,0.9506172839506173,0,2001,severe
Dermis,p1000,True,81,76,0.9382716049382716,0,2001,severe
Epidermis,cs2,False,209,14,0.06698564593301436,0,2001,severe
Epidermis,gt450,True,209,197,0.9425837320574163,0,2001,severe
Epidermis,nz20,True,209,200,0.9569377990430622,0,2001,severe
Epidermis,nz210,False,209,8,0.03827751196172249,0,2001,severe
Epidermis,p1000,False,209,9,0.0430622009569378,0,2001,severe
