representation,representation_family,confounding_strength,n_runs,n_folds,n_confounding_seeds,n_neural_seeds,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,n_test_errors_mean,n_test_errors_std,n_test_errors_min,n_test_errors_max,max_scanner_error_share_mean,max_scanner_error_share_std,max_scanner_error_share_min,max_scanner_error_share_max,recall_Bone_mean,recall_Bone_std,recall_Bone_min,recall_Bone_max,recall_Dermis_mean,recall_Dermis_std,recall_Dermis_min,recall_Dermis_max,recall_Epidermis_mean,recall_Epidermis_std,recall_Epidermis_min,recall_Epidermis_max,recall_Inflamm/Necrosis_mean,recall_Inflamm/Necrosis_std,recall_Inflamm/Necrosis_min,recall_Inflamm/Necrosis_max,recall_SCC_mean,recall_SCC_std,recall_SCC_min,recall_SCC_max,recall_Subcutis_mean,recall_Subcutis_std,recall_Subcutis_min,recall_Subcutis_max,recall_Cartilage_mean,recall_Cartilage_std,recall_Cartilage_min,recall_Cartilage_max,error_rate_cs2_mean,error_rate_cs2_std,error_rate_cs2_min,error_rate_cs2_max,error_rate_gt450_mean,error_rate_gt450_std,error_rate_gt450_min,error_rate_gt450_max,error_rate_nz20_mean,error_rate_nz20_std,error_rate_nz20_min,error_rate_nz20_max,error_rate_nz210_mean,error_rate_nz210_std,error_rate_nz210_min,error_rate_nz210_max,error_rate_p1000_mean,error_rate_p1000_std,error_rate_p1000_min,error_rate_p1000_max
original_frozen_features,frozen,mild,25,5,5,0,0.39983397123593684,0.05758552825611152,0.3181007944389275,0.5355089355089355,0.36599771521425256,0.07401664330916159,0.2315717531898999,0.5302579071416016,0.4275740384145907,0.07337391760652787,0.2789682217350263,0.5188155218334088,455.28,48.24030127047991,350,518,0.19892180231217815,0.009345567206924726,0.1852631578947368,0.2265446224256292,0.3124571428571429,0.18697957432856502,0.04,0.5333333333333333,0.18833730994152045,0.08597439465345587,0.0526315789473684,0.4666666666666667,0.5918410782560386,0.08869228895303394,0.4,0.7371428571428571,0.4041920634920635,0.161141886119026,0.175,0.7111111111111111,0.36625504439517764,0.11222400685885803,0.1622641509433962,0.5771428571428572,0.6116423529411764,0.17023873156082814,0.36,0.84,0.0,0.0,0.0,0.0,0.5703813771091447,0.06180265064008427,0.4708994708994709,0.6944444444444444,0.590143668927698,0.0769945089747101,0.5192307692307693,0.7708333333333334,0.5580712645894134,0.06758035610391182,0.4482758620689655,0.6875,0.5583761791747273,0.06491089763882334,0.4758620689655172,0.7083333333333334,0.5661924151670068,0.07429189229110424,0.4620689655172413,0.7083333333333334
linear_projection_k0,linear_projection,mild,25,5,5,0,0.3997729881124992,0.05793495878075847,0.3115459376953915,0.5373607873607874,0.3662712304557537,0.07433242805714398,0.229532317456371,0.5318098984822913,0.42790029240923494,0.07418338134666952,0.2790860192071488,0.5201254395934909,454.96,48.169388619744794,349,518,0.19897176373728243,0.00876269046478818,0.1847133757961783,0.2247706422018348,0.3144888888888889,0.18839602409913933,0.04,0.5333333333333333,0.18564959064327483,0.08825922854491726,0.0526315789473684,0.4777777777777778,0.5925226561110123,0.0887521385410526,0.4,0.7371428571428571,0.4041920634920635,0.16024556661067332,0.175,0.7111111111111111,0.366559755387493,0.1126826157321664,0.1622641509433962,0.5771428571428572,0.6112250980392157,0.16728479656826578,0.368,0.84,0.0,0.0,0.0,0.0,0.569319439550837,0.06315868946324352,0.4708994708994709,0.6944444444444444,0.5893824344976796,0.07814354631261032,0.5172413793103449,0.7777777777777778,0.5586445704594525,0.06758280300741921,0.4482758620689655,0.6875,0.5583659919766998,0.06735977827245539,0.4689655172413793,0.7083333333333334,0.5659369153062438,0.07357766386442945,0.4620689655172413,0.7013888888888888
linear_projection_k1,linear_projection,mild,25,5,5,0,0.3991647359864292,0.056903513359021,0.3162913080657619,0.5382698782698783,0.36590222052106414,0.0732591817148363,0.2345281305066104,0.5315561074075567,0.42745129699393547,0.07287980654759535,0.2794798179430715,0.5204501220136935,455.48,47.81310838392892,349,515,0.19887240187221522,0.008928990684276208,0.1862464183381088,0.2247706422018348,0.31067936507936506,0.18324801331293056,0.04,0.5333333333333333,0.18674502923976607,0.08577389274260243,0.0526315789473684,0.4777777777777778,0.5927648060062984,0.08833813056907606,0.40625,0.7428571428571429,0.4057904761904762,0.16084761147861582,0.1857142857142857,0.7333333333333333,0.36552374337088106,0.11170147524939462,0.1698113207547169,0.5771428571428572,0.6095905882352941,0.16526801757049098,0.352,0.84,0.0,0.0,0.0,0.0,0.570192134107742,0.06163822193076014,0.4708994708994709,0.6875,0.5897620694825776,0.07748918864835036,0.5128205128205128,0.7777777777777778,0.5598261033515117,0.06829736916956183,0.4551724137931034,0.6875,0.5584844748919159,0.06570198509784617,0.4827586206896552,0.7083333333333334,0.5662942723741272,0.07314247718203361,0.4482758620689655,0.7013888888888888
linear_projection_k16,linear_projection,mild,25,5,5,0,0.4003177230306323,0.05817193815954637,0.3089223353194306,0.5376547526547527,0.3663096500774671,0.07456014293425475,0.2267675044957593,0.5315438625369725,0.42616800173302105,0.0736809509107384,0.2772737303207667,0.5173446909985072,456.44,49.04426571985762,351,518,0.19856680855884895,0.008481095520060102,0.1877551020408163,0.2232346241457858,0.3135492063492063,0.1786160019619813,0.04,0.5333333333333333,0.18846269005847952,0.0869050652627248,0.0842105263157894,0.4888888888888889,0.5918079459233389,0.08804052914005613,0.39375,0.7428571428571429,0.4059587301587302,0.16457596701433438,0.1625,0.7111111111111111,0.3617948091241625,0.11279055833004907,0.1735849056603773,0.5714285714285714,0.6153756862745098,0.1705510717237755,0.36,0.84,0.0,0.0,0.0,0.0,0.5711045573704375,0.06363625592092406,0.4708994708994709,0.6875,0.5929126153137042,0.07278354111304455,0.5172413793103449,0.7708333333333334,0.5590650417674011,0.06881049689633009,0.4413793103448276,0.6944444444444444,0.5605997693910579,0.06590600042959162,0.4689655172413793,0.7083333333333334,0.566507762554042,0.0736282553650454,0.4551724137931034,0.7083333333333334
linear_projection_k2,linear_projection,mild,25,5,5,0,0.39884522252316906,0.05752117714129546,0.3097915517304792,0.5399702149702149,0.36520076604640744,0.07431240111850444,0.2275813795128032,0.5337792346484608,0.4267285619888368,0.07381148620066398,0.2762137434271863,0.5231104852204356,456.0,48.31580141803161,347,517,0.19942381024385555,0.008456339056439003,0.1872509960159362,0.2214611872146118,0.3118222222222222,0.1869124574068139,0.04,0.5333333333333333,0.18439298245614033,0.08855074062078397,0.0421052631578947,0.4888888888888889,0.5922997621700578,0.08740006926940785,0.4,0.7371428571428571,0.40289682539682536,0.15539129793080805,0.1857142857142857,0.6666666666666666,0.3642013829074808,0.1120642486456533,0.1698113207547169,0.5828571428571429,0.6129411764705882,0.16740323055241454,0.36,0.84,0.0,0.0,0.0,0.0,0.5710287219670159,0.06325253130227423,0.4708994708994709,0.6944444444444444,0.5892732040091386,0.07479223300388727,0.5172413793103449,0.7777777777777778,0.5593158947324102,0.0686341412438241,0.4551724137931034,0.6944444444444444,0.5598135746084929,0.06686117820354416,0.4758620689655172,0.7083333333333334,0.5683613232905429,0.0721612066734244,0.4551724137931034,0.7083333333333334
linear_projection_k32,linear_projection,mild,25,5,5,0,0.4003177230306323,0.05817193815954637,0.3089223353194306,0.5376547526547527,0.3663096500774671,0.07456014293425475,0.2267675044957593,0.5315438625369725,0.42616800173302105,0.0736809509107384,0.2772737303207667,0.5173446909985072,456.44,49.04426571985762,351,518,0.19856680855884895,0.008481095520060102,0.1877551020408163,0.2232346241457858,0.3135492063492063,0.1786160019619813,0.04,0.5333333333333333,0.18846269005847952,0.0869050652627248,0.0842105263157894,0.4888888888888889,0.5918079459233389,0.08804052914005613,0.39375,0.7428571428571429,0.4059587301587302,0.16457596701433438,0.1625,0.7111111111111111,0.3617948091241625,0.11279055833004907,0.1735849056603773,0.5714285714285714,0.6153756862745098,0.1705510717237755,0.36,0.84,0.0,0.0,0.0,0.0,0.5711045573704375,0.06363625592092406,0.4708994708994709,0.6875,0.5929126153137042,0.07278354111304455,0.5172413793103449,0.7708333333333334,0.5590650417674011,0.06881049689633009,0.4413793103448276,0.6944444444444444,0.5605997693910579,0.06590600042959162,0.4689655172413793,0.7083333333333334,0.566507762554042,0.0736282553650454,0.4551724137931034,0.7083333333333334
linear_projection_k4,linear_projection,mild,25,5,5,0,0.4003177230306323,0.05817193815954637,0.3089223353194306,0.5376547526547527,0.3663096500774671,0.07456014293425475,0.2267675044957593,0.5315438625369725,0.42616800173302105,0.0736809509107384,0.2772737303207667,0.5173446909985072,456.44,49.04426571985762,351,518,0.19856680855884895,0.008481095520060102,0.1877551020408163,0.2232346241457858,0.3135492063492063,0.1786160019619813,0.04,0.5333333333333333,0.18846269005847952,0.0869050652627248,0.0842105263157894,0.4888888888888889,0.5918079459233389,0.08804052914005613,0.39375,0.7428571428571429,0.4059587301587302,0.16457596701433438,0.1625,0.7111111111111111,0.3617948091241625,0.11279055833004907,0.1735849056603773,0.5714285714285714,0.6153756862745098,0.1705510717237755,0.36,0.84,0.0,0.0,0.0,0.0,0.5711045573704375,0.06363625592092406,0.4708994708994709,0.6875,0.5929126153137042,0.07278354111304455,0.5172413793103449,0.7708333333333334,0.5590650417674011,0.06881049689633009,0.4413793103448276,0.6944444444444444,0.5605997693910579,0.06590600042959162,0.4689655172413793,0.7083333333333334,0.566507762554042,0.0736282553650454,0.4551724137931034,0.7083333333333334
linear_projection_k8,linear_projection,mild,25,5,5,0,0.4003177230306323,0.05817193815954637,0.3089223353194306,0.5376547526547527,0.3663096500774671,0.07456014293425475,0.2267675044957593,0.5315438625369725,0.42616800173302105,0.0736809509107384,0.2772737303207667,0.5173446909985072,456.44,49.04426571985762,351,518,0.19856680855884895,0.008481095520060102,0.1877551020408163,0.2232346241457858,0.3135492063492063,0.1786160019619813,0.04,0.5333333333333333,0.18846269005847952,0.0869050652627248,0.0842105263157894,0.4888888888888889,0.5918079459233389,0.08804052914005613,0.39375,0.7428571428571429,0.4059587301587302,0.16457596701433438,0.1625,0.7111111111111111,0.3617948091241625,0.11279055833004907,0.1735849056603773,0.5714285714285714,0.6153756862745098,0.1705510717237755,0.36,0.84,0.0,0.0,0.0,0.0,0.5711045573704375,0.06363625592092406,0.4708994708994709,0.6875,0.5929126153137042,0.07278354111304455,0.5172413793103449,0.7708333333333334,0.5590650417674011,0.06881049689633009,0.4413793103448276,0.6944444444444444,0.5605997693910579,0.06590600042959162,0.4689655172413793,0.7083333333333334,0.566507762554042,0.0736282553650454,0.4551724137931034,0.7083333333333334
shuffled_sample_acquisition,neural_factorization,mild,125,5,5,5,0.3794469247200297,0.0558090780760545,0.283490244216411,0.5496762496762497,0.3147407760389265,0.055611852329200066,0.2005641587170729,0.4587748047463882,0.37269107208494806,0.07361266328583582,0.2240997539514175,0.489286181239188,504.288,49.448868345445085,376,579,0.20120574578618936,0.009090998187432088,0.1798941798941798,0.2236286919831223,0.34118603174603174,0.18173779719605027,0.0,0.7111111111111111,0.2570993216374269,0.10684499307497378,0.0933333333333333,0.525,0.4867955736789046,0.11313881461177626,0.2772727272727273,0.7657142857142857,0.4156492063492063,0.13908368009525768,0.1,0.8,0.26163741456307027,0.10999387059828182,0.0754716981132075,0.4685714285714286,0.583441568627451,0.17652044066380726,0.304,0.8533333333333334,0.0,0.0,0.0,0.0,0.6215381569898811,0.06700626695612454,0.492063492063492,0.7777777777777778,0.6330281222508082,0.06382258909779083,0.5192307692307693,0.7916666666666666,0.6386572101488618,0.06634589469664665,0.4758620689655172,0.7847222222222222,0.6211926191842707,0.07139832554394579,0.4620689655172413,0.7916666666666666,0.6327095933172159,0.062188033069381275,0.5185185185185185,0.7847222222222222
shuffled_sample_biological,neural_factorization,mild,125,5,5,5,0.3063558601040147,0.05125368943684521,0.2132697248347349,0.4479292929292929,0.2719538283074143,0.05490992530690799,0.1651388387687547,0.4159100197811531,0.33516555135307546,0.059500423163969245,0.2054255943306618,0.4692437598815432,536.624,61.11658135178242,412,690,0.19733832339885365,0.00951038734453974,0.1700680272108843,0.2232142857142857,0.1774780952380952,0.12179010267451687,0.0,0.5111111111111111,0.1881738011695906,0.07706764093030673,0.0631578947368421,0.3888888888888889,0.4345003371754417,0.07999320977255997,0.25625,0.60625,0.3328130158730158,0.10177120169045031,0.1375,0.5333333333333333,0.29042273333472346,0.09146930847872412,0.0867924528301886,0.4666666666666667,0.46770321568627454,0.1739587052801942,0.1,0.88,0.0,0.0,0.0,0.0,0.6840712477480173,0.05853143042541599,0.5384615384615384,0.8125,0.6774434867747027,0.048677938984669225,0.5586206896551724,0.7708333333333334,0.660911654246137,0.059525899306244336,0.5128205128205128,0.7847222222222222,0.6574318865983113,0.059733921916110204,0.5128205128205128,0.7916666666666666,0.6593450239952962,0.06548020663894599,0.5256410256410257,0.8680555555555556
