representation,n_runs,recall_Bone_mean,recall_Bone_std,recall_Cartilage_mean,recall_Cartilage_std,recall_Dermis_mean,recall_Dermis_std,recall_Epidermis_mean,recall_Epidermis_std,recall_Inflamm/Necrosis_mean,recall_Inflamm/Necrosis_std,recall_SCC_mean,recall_SCC_std,recall_Subcutis_mean,recall_Subcutis_std
linear_projection_k0,5,0.9128205128205128,0.06927823633900666,0.8,0.27386127875258304,0.8219999999999998,0.0892748564826626,0.8431535269709544,0.04520727369282936,0.7875,0.1774383695822299,0.8240663900414938,0.08038448609608104,0.9215686274509804,0.08114188900611201
linear_projection_k1,5,0.8974358974358975,0.1009488188975873,0.7,0.27386127875258304,0.8019999999999999,0.10686440005914037,0.8556016597510373,0.04345965468141463,0.8,0.1617772388193098,0.8290456431535269,0.046521166533357555,0.9058823529411765,0.1127664088981224
linear_projection_k16,5,0.8974358974358972,0.10415433852097383,0.7,0.27386127875258304,0.8,0.07681145747868605,0.8647302904564315,0.04247795482844724,0.8074999999999999,0.11612224162493592,0.8398340248962656,0.049930652137730513,0.9254901960784313,0.05865990314373172
linear_projection_k2,5,0.8923076923076924,0.09996712148522015,0.7,0.27386127875258304,0.8019999999999999,0.09038805230781331,0.8564315352697095,0.037413490718173785,0.8125,0.11422291801560665,0.8473029045643153,0.043755772038055,0.9058823529411765,0.09212556832026281
linear_projection_k32,5,0.8974358974358972,0.10415433852097383,0.7,0.27386127875258304,0.8,0.07681145747868605,0.8647302904564315,0.04247795482844724,0.8074999999999999,0.11612224162493592,0.8398340248962656,0.049930652137730513,0.9254901960784313,0.05865990314373172
linear_projection_k4,5,0.8974358974358972,0.10415433852097383,0.7,0.27386127875258304,0.8,0.08831760866327845,0.8639004149377593,0.04101382172000523,0.8100000000000002,0.11298506538476669,0.84149377593361,0.051442242361394004,0.9313725490196078,0.05882352941176469
linear_projection_k8,5,0.8974358974358972,0.10415433852097383,0.7,0.27386127875258304,0.8,0.07681145747868605,0.8647302904564315,0.04247795482844724,0.8074999999999999,0.11612224162493592,0.8398340248962656,0.049930652137730513,0.9254901960784313,0.05865990314373172
original_frozen_features,5,0.9128205128205128,0.06927823633900666,0.8,0.27386127875258304,0.8160000000000001,0.09528903399657275,0.8481327800829875,0.040400535915811046,0.79,0.1730697113882149,0.8273858921161826,0.07665687337032022,0.9215686274509804,0.08114188900611201
pca_removal_k1,5,0.876923076923077,0.08581128477272569,0.8,0.27386127875258304,0.772,0.11777096416349832,0.7759336099585062,0.08029876547868725,0.7950000000000002,0.16240381768911716,0.820746887966805,0.07511404986356555,0.9235294117647058,0.05065886542260318
pca_removal_k16,5,0.8051282051282052,0.11264555198199382,0.7,0.4472135954999579,0.5640000000000001,0.09555103348473004,0.4804979253112033,0.10106098541657026,0.5349999999999999,0.18273101816604645,0.5908713692946058,0.1441751984078858,0.6941176470588235,0.18412067486912964
pca_removal_k2,5,0.876923076923077,0.08581128477272572,0.8,0.27386127875258304,0.76,0.1307669683062202,0.762655601659751,0.09002332646521764,0.7825000000000001,0.1808400536385676,0.8116182572614108,0.08223727231095435,0.9098039215686274,0.04351439415916108
pca_removal_k32,5,0.7487179487179487,0.10938835388564891,0.5,0.0,0.53,0.09137833441248533,0.4099585062240664,0.06023032758227967,0.485,0.164744119773666,0.5253112033195021,0.1064620648099973,0.5764705882352941,0.21111465222955364
pca_removal_k4,5,0.8256410256410256,0.10938835388564892,0.7,0.4472135954999579,0.7459999999999999,0.12441864811996632,0.7477178423236515,0.07465421052597819,0.7025,0.240182222489509,0.7925311203319503,0.07370257123789051,0.8823529411764705,0.0968059689124093
pca_removal_k8,5,0.8051282051282052,0.09696241231378991,0.6,0.22360679774997896,0.6660000000000001,0.0841427358718505,0.5526970954356847,0.10766015756235513,0.5975,0.26960619429085825,0.595850622406639,0.21036566887184668,0.7647058823529411,0.10536365323629743
shuffled_sample_acquisition,25,0.7528205128205129,0.10009857074842633,0.68,0.35,0.5636,0.10953994705129265,0.5548547717842323,0.08891778301029547,0.611,0.17960170053018243,0.42373443983402487,0.11648055050436212,0.776470588235294,0.11348859708617869
shuffled_sample_biological,25,0.6923076923076923,0.12777706314295773,0.52,0.33788558221188825,0.5952000000000001,0.0886528811338545,0.5659751037344398,0.05026573211446356,0.6415000000000001,0.09820790022532132,0.5165145228215768,0.06812986551669516,0.7250980392156862,0.13254887457933823
true_pair_acquisition,25,0.6235897435897436,0.19040655719771782,0.64,0.3391164991562634,0.4699999999999999,0.12926071844660825,0.43385892116182584,0.13105115740994044,0.49199999999999994,0.20022383308021383,0.2886307053941909,0.08410451634688651,0.6709803921568627,0.11822705615195081
true_pair_biological,25,0.8769230769230769,0.06661733875264912,0.9,0.2041241452319315,0.7752000000000001,0.04865867514294513,0.7878838174273859,0.02360408739141559,0.8134999999999999,0.06015604707757982,0.7311203319502075,0.03304339506334796,0.9062745098039215,0.0354706912061285
