representation,held_out_scanner,n_runs,category_balanced_accuracy_mean,category_balanced_accuracy_std,category_macro_f1_mean,category_macro_f1_std,category_weighted_f1_mean,category_weighted_f1_std,mean_n_test
linear_projection_k0,cs2,1,0.8867675356130323,,0.8689428082183636,,0.8758827587243859,,805.0
linear_projection_k0,gt450,1,0.8501605235135867,,0.7905538498830952,,0.8182740977515424,,805.0
linear_projection_k0,nz20,1,0.8618983536600086,,0.8658687304472042,,0.8995374971904716,,805.0
linear_projection_k0,nz210,1,0.9155853854468694,,0.8752413225339002,,0.8801156751297794,,805.0
linear_projection_k0,p1000,1,0.7078089569693181,,0.7221925334281654,,0.7412151297831908,,805.0
linear_projection_k1,cs2,1,0.8191774156199345,,0.8140578034077092,,0.8604965507303073,,805.0
linear_projection_k1,gt450,1,0.8532083982651472,,0.7968732147690749,,0.8242104440615377,,805.0
linear_projection_k1,nz20,1,0.8629700862151436,,0.8783065190254995,,0.9106949694408653,,805.0
linear_projection_k1,nz210,1,0.9140558981332718,,0.8775110838625048,,0.8810024688962235,,805.0
linear_projection_k1,p1000,1,0.6862778826819589,,0.7210615066665723,,0.7418394835534299,,805.0
linear_projection_k16,cs2,1,0.8195271488742321,,0.8150429380828229,,0.8629148994033078,,805.0
linear_projection_k16,gt450,1,0.8749812133599051,,0.8390912567000067,,0.8486123762616751,,805.0
linear_projection_k16,nz20,1,0.8586563607249476,,0.8751227318625833,,0.9078762120324786,,805.0
linear_projection_k16,nz210,1,0.9042430828060556,,0.8765791089255262,,0.8810701649836665,,805.0
linear_projection_k16,p1000,1,0.7104424862827352,,0.7384532265281456,,0.7617800305880893,,805.0
linear_projection_k2,cs2,1,0.8123001262426452,,0.8090346903801147,,0.8567224736420971,,805.0
linear_projection_k2,gt450,1,0.8745939962323901,,0.8386012480377488,,0.8468955960128343,,805.0
linear_projection_k2,nz20,1,0.8545501175254654,,0.8746431270282782,,0.904553343399049,,805.0
linear_projection_k2,nz210,1,0.9143927433724848,,0.8847940782274284,,0.8898054593250375,,805.0
linear_projection_k2,p1000,1,0.6987519345433674,,0.7341544149980714,,0.7543727822444602,,805.0
linear_projection_k32,cs2,1,0.8195271488742321,,0.8150429380828229,,0.8629148994033078,,805.0
linear_projection_k32,gt450,1,0.8749812133599051,,0.8390912567000067,,0.8486123762616751,,805.0
linear_projection_k32,nz20,1,0.8586563607249476,,0.8751227318625833,,0.9078762120324786,,805.0
linear_projection_k32,nz210,1,0.9042430828060556,,0.8765791089255262,,0.8810701649836665,,805.0
linear_projection_k32,p1000,1,0.7104424862827352,,0.7384532265281456,,0.7617800305880893,,805.0
linear_projection_k4,cs2,1,0.8189343806466091,,0.814163374200471,,0.8617740031323828,,805.0
linear_projection_k4,gt450,1,0.8789752798661757,,0.8423610654043256,,0.851154078871867,,805.0
linear_projection_k4,nz20,1,0.860677700381142,,0.8772036381793716,,0.910418268632006,,805.0
linear_projection_k4,nz210,1,0.9076649826863398,,0.8797223352366899,,0.8847298848282533,,805.0
linear_projection_k4,p1000,1,0.7081781116532154,,0.7384477292658896,,0.7603664567251015,,805.0
linear_projection_k8,cs2,1,0.8195271488742321,,0.8150429380828229,,0.8629148994033078,,805.0
linear_projection_k8,gt450,1,0.8749812133599051,,0.8390912567000067,,0.8486123762616751,,805.0
linear_projection_k8,nz20,1,0.8586563607249476,,0.8751227318625833,,0.9078762120324786,,805.0
linear_projection_k8,nz210,1,0.9042430828060556,,0.8765791089255262,,0.8810701649836665,,805.0
linear_projection_k8,p1000,1,0.7104424862827352,,0.7384532265281456,,0.7617800305880893,,805.0
original_frozen_features,cs2,1,0.8839103927558896,,0.8661122818743403,,0.8732274030902546,,805.0
original_frozen_features,gt450,1,0.8522959710535986,,0.7939942804231991,,0.822375549410718,,805.0
original_frozen_features,nz20,1,0.8618983536600086,,0.867185390660504,,0.8994947009251316,,805.0
original_frozen_features,nz210,1,0.9181994933306868,,0.8782510807512248,,0.8837876935903489,,805.0
original_frozen_features,p1000,1,0.7093442266788619,,0.7249288519041982,,0.74608242167934,,805.0
pca_removal_k1,cs2,1,0.875978253095046,,0.8812745039867285,,0.8553514166372813,,805.0
pca_removal_k1,gt450,1,0.8131327018518867,,0.7731173748627486,,0.7704491970677397,,805.0
pca_removal_k1,nz20,1,0.84739924281235,,0.8506659959203733,,0.8789998858014199,,805.0
pca_removal_k1,nz210,1,0.8918174828182152,,0.8340521857093232,,0.8591055976386358,,805.0
pca_removal_k1,p1000,1,0.6889101670032839,,0.6919754748738128,,0.7127003232594521,,805.0
pca_removal_k16,cs2,1,0.6497307307857711,,0.6324486291934609,,0.5642893761816342,,805.0
pca_removal_k16,gt450,1,0.6113637357272944,,0.6167557656912576,,0.5279627598880867,,805.0
pca_removal_k16,nz20,1,0.7214221028341117,,0.7145923483852379,,0.6821934643660582,,805.0
pca_removal_k16,nz210,1,0.7245909273380594,,0.6833805002077821,,0.6245116724694678,,805.0
pca_removal_k16,p1000,1,0.414046179595362,,0.4094840302240487,,0.4441612845822481,,805.0
pca_removal_k2,cs2,1,0.8518155516276094,,0.8565319080359576,,0.82307135383755,,805.0
pca_removal_k2,gt450,1,0.7970089813774218,,0.7870948919200182,,0.7586110197745832,,805.0
pca_removal_k2,nz20,1,0.8462397863709799,,0.8526774241459351,,0.8747108522027871,,805.0
pca_removal_k2,nz210,1,0.894736126496561,,0.8407791814381674,,0.8576898310786863,,805.0
pca_removal_k2,p1000,1,0.6841287379937612,,0.681888643038118,,0.7040693264655951,,805.0
pca_removal_k32,cs2,1,0.5290489422708119,,0.5254624117852419,,0.49424007459697405,,805.0
pca_removal_k32,gt450,1,0.48203922999139015,,0.5052792429332761,,0.44790801804049374,,805.0
pca_removal_k32,nz20,1,0.6610976181088458,,0.6671849464520881,,0.6222048758784532,,805.0
pca_removal_k32,nz210,1,0.6027090871458701,,0.6153791003389367,,0.570552257994164,,805.0
pca_removal_k32,p1000,1,0.42186101283794714,,0.44335185078856215,,0.3802014998390998,,805.0
pca_removal_k4,cs2,1,0.8310750540241632,,0.8143202598314367,,0.8075099448645521,,805.0
pca_removal_k4,gt450,1,0.7479440844323685,,0.735187515830247,,0.7189656799140729,,805.0
pca_removal_k4,nz20,1,0.8323913973505137,,0.8321965671939141,,0.8603511559792596,,805.0
pca_removal_k4,nz210,1,0.8688009027422012,,0.8302305864846276,,0.831606283791785,,805.0
pca_removal_k4,p1000,1,0.5746049396458233,,0.5495272122098546,,0.6687485299134067,,805.0
pca_removal_k8,cs2,1,0.6262981668888429,,0.6511795902233676,,0.6256984500900145,,805.0
pca_removal_k8,gt450,1,0.573380439631965,,0.5801414224056872,,0.5645479730108386,,805.0
pca_removal_k8,nz20,1,0.7620339773317563,,0.7526406270758781,,0.7270279722665837,,805.0
pca_removal_k8,nz210,1,0.7817475844471206,,0.7408558501640551,,0.6918800972105266,,805.0
pca_removal_k8,p1000,1,0.5293125497885078,,0.545368912707946,,0.48824140641089453,,805.0
shuffled_sample_acquisition,cs2,5,0.6517747529908867,0.0514629120330844,0.5991463356979374,0.03354408855388547,0.6229705616438191,0.010756714281885998,805.0
shuffled_sample_acquisition,gt450,5,0.6371995322227199,0.015496407734994328,0.46509996553695754,0.02088294945448078,0.5325395815446337,0.01839115696850424,805.0
shuffled_sample_acquisition,nz20,5,0.6342255398169483,0.04395381438385485,0.5451537269159739,0.010692905626300464,0.5408891767915793,0.02808737039278978,805.0
shuffled_sample_acquisition,nz210,5,0.6597183000873507,0.06741771971577026,0.5502036819209704,0.049151851880200936,0.5855701141171658,0.026026587962122136,805.0
shuffled_sample_acquisition,p1000,5,0.5331392410778546,0.0418910588178147,0.47338198895953615,0.046188446862670714,0.5350981043988478,0.02278295657771104,805.0
shuffled_sample_biological,cs2,5,0.5118815196681928,0.07788580381609676,0.4637907669719558,0.05300406281642047,0.5166931481559072,0.02946284613288117,805.0
shuffled_sample_biological,gt450,5,0.6422195321154316,0.05275811074035826,0.5876123235081651,0.036317010456184164,0.5989690341649322,0.01639841471139862,805.0
shuffled_sample_biological,nz20,5,0.7113883834414712,0.03491528120166463,0.6461408210690591,0.019651802512387226,0.6504884021733417,0.014857666776732297,805.0
shuffled_sample_biological,nz210,5,0.6383729947133657,0.031089754635957246,0.5887536167441783,0.018957779995306692,0.6451402637305726,0.014489454231135004,805.0
shuffled_sample_biological,p1000,5,0.5365628258325355,0.05113213986968691,0.4935380232205345,0.037280397705393625,0.5433481405621217,0.010121319345796182,805.0
true_pair_acquisition,cs2,5,0.5605627762116656,0.046134394312935645,0.4570632933178224,0.031497325271185664,0.49809531532058815,0.03078062661310291,805.0
true_pair_acquisition,gt450,5,0.5178470367400072,0.02139939956037927,0.36179808488733556,0.02521973602395041,0.4128120053515699,0.018476909841985936,805.0
true_pair_acquisition,nz20,5,0.5346916156823406,0.021349376611585983,0.4728077205792241,0.024586618597126478,0.44633676504734476,0.018456303032071974,805.0
true_pair_acquisition,nz210,5,0.525218935770925,0.050927148762395145,0.42767956600604917,0.040921503564930004,0.4407640259064799,0.01480399333564776,805.0
true_pair_acquisition,p1000,5,0.4467223229540779,0.06714708011190294,0.3667963024237716,0.030128983776467583,0.41073143015594543,0.020801274212885024,805.0
true_pair_biological,cs2,5,0.8455656506458313,0.009891749180983598,0.8067123757465419,0.021142003840207126,0.7977664294330816,0.014068951781849678,805.0
true_pair_biological,gt450,5,0.8295009861589067,0.008697493519201438,0.7975657358224391,0.018189910991085575,0.7764490138755157,0.012049953846439442,805.0
true_pair_biological,nz20,5,0.8467503605336166,0.0328174718343436,0.7807179929880573,0.014434700722436277,0.8024739849154908,0.01094933720753679,805.0
true_pair_biological,nz210,5,0.8597540673466961,0.005425961011872343,0.8004194570942162,0.012478221931759244,0.8164594049327707,0.010722849100212165,805.0
true_pair_biological,p1000,5,0.7547873182468008,0.026559165967629077,0.7521403718941253,0.013107694824833581,0.7685552590137661,0.011711298052939589,805.0
