representation,held_out_scanner,seed,n_train,n_test,feature_dim,train_class_counts,test_class_counts,rep_family,category_balanced_accuracy,category_macro_f1,category_weighted_f1,n_classes_test,n_classes_train,classes_missing_from_test,runtime_seconds,recall_Bone,precision_Bone,f1_Bone,support_Bone,recall_Cartilage,precision_Cartilage,f1_Cartilage,support_Cartilage,recall_Dermis,precision_Dermis,f1_Dermis,support_Dermis,recall_Epidermis,precision_Epidermis,f1_Epidermis,support_Epidermis,recall_Inflamm/Necrosis,precision_Inflamm/Necrosis,f1_Inflamm/Necrosis,support_Inflamm/Necrosis,recall_SCC,precision_SCC,f1_SCC,support_SCC,recall_Subcutis,precision_Subcutis,f1_Subcutis,support_Subcutis,condition,branch,k
original_frozen_features,cs2,0,3220,805,768,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",frozen,0.8839103927558896,0.8661122818743403,0.8732274030902546,7,7,[],0.5782403000048362,0.9230769230769231,0.9473684210526315,0.935064935064935,39,1.0,0.6666666666666666,0.8,2,0.76,0.8837209302325582,0.8172043010752689,100,0.8838174273858921,0.8987341772151899,0.891213389121339,241,0.8,0.8533333333333334,0.8258064516129032,80,0.9087136929460581,0.8141263940520446,0.8588235294117647,241,0.9117647058823529,0.9587628865979382,0.9346733668341709,102,,,
original_frozen_features,gt450,0,3220,805,768,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",frozen,0.8522959710535986,0.7939942804231991,0.822375549410718,7,7,[],0.7428725000063423,0.9230769230769231,0.8571428571428571,0.8888888888888888,39,1.0,0.5,0.6666666666666666,2,0.9,0.6122448979591837,0.728744939271255,100,0.8091286307053942,0.9154929577464789,0.8590308370044053,241,0.55,0.88,0.676923076923077,80,0.8132780082987552,0.8376068376068376,0.8252631578947368,241,0.9705882352941176,0.8608695652173913,0.9124423963133641,102,,,
original_frozen_features,nz20,0,3220,805,768,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",frozen,0.8618983536600086,0.867185390660504,0.8994947009251316,7,7,[],0.6467291000008117,0.9743589743589743,0.8837209302325582,0.926829268292683,39,0.5,1.0,0.6666666666666666,2,0.84,0.8571428571428571,0.8484848484848485,100,0.8838174273858921,0.9342105263157895,0.908315565031983,241,0.9875,0.7669902912621359,0.8633879781420765,80,0.8672199170124482,0.9247787610619469,0.8950749464668094,241,0.9803921568627451,0.9433962264150944,0.9615384615384616,102,,,
original_frozen_features,nz210,0,3220,805,768,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",frozen,0.9181994933306868,0.8782510807512248,0.8837876935903489,7,7,[],1.2626028999802656,0.9487179487179487,0.9487179487179487,0.9487179487179487,39,1.0,0.6666666666666666,0.8,2,0.9,0.7627118644067796,0.8256880733944955,100,0.8630705394190872,0.9082969432314411,0.8851063829787233,241,0.9125,0.8295454545454546,0.8690476190476191,80,0.8423236514522822,0.9144144144144144,0.8768898488120951,241,0.9607843137254902,0.9245283018867925,0.9423076923076923,102,,,
original_frozen_features,p1000,0,3220,805,768,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",frozen,0.7093442266788619,0.7249288519041982,0.74608242167934,7,7,[],0.43750999998883344,0.7948717948717948,0.7380952380952381,0.7654320987654321,39,0.5,1.0,0.6666666666666666,2,0.68,0.6181818181818182,0.6476190476190476,100,0.8008298755186722,0.7598425196850394,0.7797979797979798,241,0.7,0.5833333333333334,0.6363636363636364,80,0.7053941908713693,0.8095238095238095,0.753880266075388,241,0.7843137254901961,0.8695652173913043,0.8247422680412371,102,,,
true_pair_biological,cs2,911,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8391537585350132,0.8190935292093879,0.7898982935955295,7,7,[],0.2800837999966461,0.8461538461538461,0.7857142857142857,0.8148148148148148,39,1.0,1.0,1.0,2,0.77,0.6754385964912281,0.719626168224299,100,0.7676348547717843,0.8726415094339622,0.8167770419426048,241,0.875,0.6730769230769231,0.7608695652173914,80,0.7427385892116183,0.7991071428571429,0.7698924731182796,241,0.8725490196078431,0.8317757009345794,0.8516746411483254,102,true_pairs,biological,
true_pair_biological,cs2,912,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8439747233077719,0.7921821757090193,0.8046861647080552,7,7,[],0.3738037000002805,0.8717948717948718,0.6938775510204082,0.7727272727272727,39,1.0,0.6666666666666666,0.8,2,0.71,0.7553191489361702,0.7319587628865979,100,0.7925311203319502,0.8565022421524664,0.8232758620689655,241,0.8375,0.6504854368932039,0.73224043715847,80,0.7842323651452282,0.8590909090909091,0.8199566160520607,241,0.9117647058823529,0.8230088495575221,0.8651162790697674,102,true_pairs,biological,
true_pair_biological,cs2,913,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8346695875924581,0.7880126581110851,0.7809209060024285,7,7,[],0.15902059999643825,0.9487179487179487,0.8409090909090909,0.891566265060241,39,1.0,0.6666666666666666,0.8,2,0.75,0.625,0.6818181818181818,100,0.7634854771784232,0.8518518518518519,0.8052516411378556,241,0.775,0.6391752577319587,0.7005649717514124,80,0.7427385892116183,0.7991071428571429,0.7698924731182796,241,0.8627450980392157,0.8712871287128713,0.8669950738916257,102,true_pairs,biological,
true_pair_biological,cs2,914,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8600368110857494,0.8378309926420725,0.8176148249873424,7,7,[],0.15969960001530126,0.8974358974358975,0.7142857142857143,0.7954545454545454,39,1.0,1.0,1.0,2,0.74,0.7047619047619048,0.7219512195121951,100,0.8298755186721992,0.847457627118644,0.8385744234800838,241,0.8875,0.7553191489361702,0.8160919540229885,80,0.7634854771784232,0.8679245283018868,0.8123620309050773,241,0.9019607843137255,0.8598130841121495,0.8803827751196173,102,true_pairs,biological,
true_pair_biological,cs2,915,3220,805,256,"{""Bone"": 156, ""Cartilage"": 8, ""Dermis"": 400, ""Epidermis"": 964, ""Inflamm/Necrosis"": 320, ""SCC"": 964, ""Subcutis"": 408}","{""Bone"": 39, ""Cartilage"": 2, ""Dermis"": 100, ""Epidermis"": 241, ""Inflamm/Necrosis"": 80, ""SCC"": 241, ""Subcutis"": 102}",pair_integrity,0.8499933727081641,0.7964425230611453,0.7957119578720526,7,7,[],0.1778414000000339,0.9487179487179487,0.74,0.8314606741573034,39,1.0,0.6666666666666666,0.8,2,0.75,0.7075471698113207,0.7281553398058253,100,0.7593360995850622,0.8551401869158879,0.8043956043956044,241,0.8125,0.6565656565656566,0.7262569832402235,80,0.7676348547717843,0.8149779735682819,0.7905982905982906,241,0.9117647058823529,0.8773584905660378,0.8942307692307693,102,true_pairs,biological,
