representation,n_runs,category_balanced_accuracy_mean,category_balanced_accuracy_worst_heldout,category_macro_f1_mean,category_macro_f1_worst_heldout,category_weighted_f1_mean,category_weighted_f1_worst_heldout,rep_family
linear_projection_k0,5,0.844444151040563,0.7078089569693181,0.8245598489021457,0.7221925334281654,0.8430050317158739,0.7412151297831908,linear_scanner_subspace_projection
linear_projection_k1,5,0.8271379361830913,0.6862778826819589,0.8175620255462721,0.7210615066665723,0.8436487833364728,0.7418394835534299,linear_scanner_subspace_projection
linear_projection_k16,5,0.8335700584095751,0.7104424862827352,0.8288578524198169,0.7384532265281456,0.8524507366538433,0.7617800305880893,linear_scanner_subspace_projection
linear_projection_k2,5,0.8309177835832706,0.6987519345433674,0.8282455117343284,0.7341544149980714,0.8504699309246956,0.7543727822444602,linear_scanner_subspace_projection
linear_projection_k32,5,0.8335700584095751,0.7104424862827352,0.8288578524198169,0.7384532265281456,0.8524507366538433,0.7617800305880893,linear_scanner_subspace_projection
linear_projection_k4,5,0.8348860910466964,0.7081781116532154,0.8303796284573496,0.7384477292658896,0.8536885384379221,0.7603664567251015,linear_scanner_subspace_projection
linear_projection_k8,5,0.8335700584095751,0.7104424862827352,0.8288578524198169,0.7384532265281456,0.8524507366538433,0.7617800305880893,linear_scanner_subspace_projection
original_frozen_features,5,0.8451296874958091,0.7093442266788619,0.8260943771226934,0.7249288519041982,0.8449935537391587,0.74608242167934,frozen
pca_removal_k1,5,0.8234475695161564,0.6889101670032839,0.8062171070705972,0.6919754748738128,0.8153212840809058,0.7127003232594521,pca_component_removal
pca_removal_k16,5,0.6242307352561197,0.414046179595362,0.6113322547403575,0.4094840302240487,0.568623711497499,0.4441612845822481,pca_component_removal
pca_removal_k2,5,0.8147858367732667,0.6841287379937612,0.8037944097156393,0.681888643038118,0.8036304766718404,0.7040693264655951,pca_component_removal
pca_removal_k32,5,0.539351178070973,0.42186101283794714,0.5513315104596209,0.44335185078856215,0.503021345269837,0.3802014998390998,pca_component_removal
pca_removal_k4,5,0.770963275639014,0.5746049396458233,0.752292428310016,0.5495272122098546,0.7774363188926152,0.6687485299134067,pca_component_removal
pca_removal_k8,5,0.6545545436176384,0.5293125497885078,0.6540372805153868,0.545368912707946,0.6194791797977717,0.48824140641089453,pca_component_removal
shuffled_sample_acquisition,25,0.623211473239152,0.5331392410778547,0.526597139806275,0.46509996553695754,0.5634135076992091,0.5325395815446337,pair_integrity
shuffled_sample_biological,25,0.6080850511541993,0.5118815196681928,0.5559671103027786,0.4637907669719558,0.590927797757375,0.5166931481559072,pair_integrity
true_pair_acquisition,25,0.5170085374718032,0.4467223229540779,0.4172289934428406,0.3617980848873355,0.4417479083563858,0.41073143015594554,pair_integrity
true_pair_biological,25,0.8272716765863705,0.7547873182468008,0.7875111867090758,0.7521403718941253,0.792340818434125,0.768555259013766,pair_integrity
