representation,method_family,branch_type,dimensionality,scanner_probe_balanced_acc,category_probe_balanced_acc,category_macro_f1,category_weighted_f1,category_purity_k1,category_purity_k5,category_purity_k10,acquisition_scanner_capture,acquisition_category_leakage,biological_scanner_leakage,biological_category_preservation,scanner_heldout_balanced_acc,scanner_heldout_macro_f1,sample_disjoint_scanner_heldout_balanced_acc,sample_disjoint_scanner_heldout_macro_f1,scanner_confounded_balanced_acc,scanner_confounded_macro_f1,scorpion_dinov2_acquisition_pair_retrieval_leakage,scorpion_dinov2_acquisition_scanner_capture,scorpion_phikon_acquisition_pair_retrieval_leakage,scorpion_phikon_acquisition_scanner_capture,scorpion_resnet50_acquisition_pair_retrieval_leakage,scorpion_resnet50_acquisition_scanner_capture
original_frozen_features,frozen,original,,0.8638399716503165,0.4002931763941563,0.3578552436386039,0.4270453530223371,0.9602002815024594,0.8716933760868425,0.7305575361185161,,,0.8638399716503165,0.4002931763941563,,,,,,,,,,,,
oldstyle_keep_k4,oldstyle_linear,keep,,0.2,0.4004103163833693,0.3485211525043526,0.4250495691676062,0.9677792790996058,0.8895109310263575,0.7455907990947012,,,0.2,0.4004103163833693,,,,,,,,,,,,
oldstyle_removed_k4,oldstyle_linear,removed,,0.5384273855135924,0.2420623568296666,0.1746481476358402,0.2312574301878849,0.3464095690892424,0.33870479566142,0.3341452641698558,0.5384273855135924,0.2420623568296666,,,,,,,,,,,,,,
true_pair_biological,neural_factorization,biological,,0.3614076415619064,0.3860166696219383,0.3388595562543015,0.4173568720337779,0.9729372118773209,0.8972951107063267,0.7508672910762022,,,0.3614076415619064,0.3860166696219383,0.8273486705093784,0.7886581940206718,0.3259528727707825,0.3012698968360286,0.3791136297174817,0.34754677625426,,,,,,
true_pair_acquisition,neural_factorization,acquisition,,0.865097576168538,0.34560280422731,0.2735537682139061,0.3245714063660236,0.5736155728253732,0.4711641495131876,0.4182759862521024,0.865097576168538,0.34560280422731,,,0.5153251373246394,0.4147173224623194,0.2653887437478889,0.2165068085057722,0.3072453371324609,0.248945953666602,0.0943733333333333,0.8582311111111111,0.0739177777777777,0.9710933333333334,0.1705244444444444,0.7845333333333333
acq_dim8_default_biological,bottlenecked_neural,biological,acq_dim=8,0.3690906920262637,0.3851730769831666,0.338559497052739,0.411658289872909,0.9729854725969064,0.897089106970196,0.7508815295016202,,,0.3690906920262637,0.3851730769831666,0.8220705615204907,0.7852059216033724,0.3294908444617336,0.2960193281790603,0.3793872788889755,0.3480283646066272,,,,,,
acq_dim8_default_acquisition,bottlenecked_neural,acquisition,acq_dim=8,0.8642910567015831,0.1597669231429161,0.1044090951855415,0.108721248576464,0.3264733833552345,0.3059690499162731,0.2923767476013937,0.8642910567015831,0.1597669231429161,,,0.1751141475626318,0.0564573548352286,0.1304399873760299,0.0494308331254229,0.1622612519004732,0.1251424142754618,0.02308,0.8507733333333334,0.0204133333333333,0.9733066666666668,0.05046,0.7701333333333333
acq_dim16_stronger_xcov_biological,bottlenecked_neural,biological,acq_dim=16,0.3593442039374889,0.3823958562361102,0.339358905510825,0.4135067915261854,0.9730195033708644,0.8975810909235955,0.7519176256881519,,,0.3593442039374889,0.3823958562361102,0.8291546449336198,0.7910754990199758,0.337054711792436,0.3107794147608506,0.3761206303450506,0.3454068101142284,,,,,,
acq_dim16_stronger_xcov_acquisition,bottlenecked_neural,acquisition,acq_dim=16,0.8637537927488925,0.1689371909801437,0.1176745853903614,0.1380754832771898,0.3806393992644446,0.3375706430828027,0.3164658633394568,0.8637537927488925,0.1689371909801437,,,0.2036560162041197,0.0869033348645573,0.1404023139536557,0.0676383828182375,0.1783819686207923,0.1350729287605094,0.0252977777777777,0.8565422222222222,0.0218555555555555,0.9772177777777776,0.0646422222222222,0.7767288888888889
shuffled_sample_biological,shuffled_control,biological,,0.4093022464797419,0.3227646221844358,0.2752202220826292,0.3385613560486337,0.9272862054192365,0.7800893301777876,0.63548805711597,,,0.4093022464797419,0.3227646221844358,,,,,,,,,,,,
shuffled_sample_acquisition,shuffled_control,acquisition,,0.8302343531980556,0.3871456211262603,0.3149863263915343,0.3727437982554813,0.7308806694750433,0.6085876776822693,0.5338409541241846,0.8302343531980556,0.3871456211262603,,,,,,,,,,,,,,
pca_removal_k32,pca_removal,control,,0.6489335673401009,0.2892677998030931,0.2753814759795147,,,,,,,,,,,,,,,,,,,,
