representation,method_family,branch_type,scanner_probe_balanced_acc,category_probe_balanced_acc,acquisition_scanner_capture,acquisition_category_leakage,biological_scanner_leakage,biological_category_preservation,category_purity_k1,scanner_heldout_balanced_acc,scorpion_dinov2_acquisition_pair_retrieval_leakage
original_frozen_features,frozen,original,0.8638399716503165,0.4002931763941563,,,0.8638399716503165,0.4002931763941563,0.9602002815024594,,
oldstyle_keep_k4,oldstyle_linear,keep,0.2,0.4004103163833693,,,0.2,0.4004103163833693,0.9677792790996058,,
oldstyle_removed_k4,oldstyle_linear,removed,0.5384273855135924,0.2420623568296666,0.5384273855135924,0.2420623568296666,,,0.3464095690892424,,
true_pair_biological,neural_factorization,biological,0.3614076415619064,0.3860166696219383,,,0.3614076415619064,0.3860166696219383,0.9729372118773209,0.8273486705093784,
true_pair_acquisition,neural_factorization,acquisition,0.865097576168538,0.34560280422731,0.865097576168538,0.34560280422731,,,0.5736155728253732,0.5153251373246394,0.0943733333333333
acq_dim8_default_biological,bottlenecked_neural,biological,0.3690906920262637,0.3851730769831666,,,0.3690906920262637,0.3851730769831666,0.9729854725969064,0.8220705615204907,
acq_dim8_default_acquisition,bottlenecked_neural,acquisition,0.8642910567015831,0.1597669231429161,0.8642910567015831,0.1597669231429161,,,0.3264733833552345,0.1751141475626318,0.02308
acq_dim16_stronger_xcov_biological,bottlenecked_neural,biological,0.3593442039374889,0.3823958562361102,,,0.3593442039374889,0.3823958562361102,0.9730195033708644,0.8291546449336198,
acq_dim16_stronger_xcov_acquisition,bottlenecked_neural,acquisition,0.8637537927488925,0.1689371909801437,0.8637537927488925,0.1689371909801437,,,0.3806393992644446,0.2036560162041197,0.0252977777777777
shuffled_sample_biological,shuffled_control,biological,0.4093022464797419,0.3227646221844358,,,0.4093022464797419,0.3227646221844358,0.9272862054192365,,
shuffled_sample_acquisition,shuffled_control,acquisition,0.8302343531980556,0.3871456211262603,0.8302343531980556,0.3871456211262603,,,0.7308806694750433,,
pca_removal_k32,pca_removal,control,0.6489335673401009,0.2892677998030931,,,,,,,
