representation,source_experiment,source_branch,source_commit,source_file
acq_dim16_stronger_xcov_acquisition,acquisition_bottleneck_frontier,experiment/acquisition-bottleneck-separation-frontier,a89bfb32,results/paired_acquisition_factorization_acquisition_bottleneck_separation_frontier/frontier_variant_summary.csv
acq_dim16_stronger_xcov_acquisition,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
acq_dim16_stronger_xcov_acquisition,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
acq_dim16_stronger_xcov_biological,acquisition_bottleneck_frontier,experiment/acquisition-bottleneck-separation-frontier,a89bfb32,results/paired_acquisition_factorization_acquisition_bottleneck_separation_frontier/frontier_variant_summary.csv
acq_dim16_stronger_xcov_biological,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
acq_dim16_stronger_xcov_biological,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
acq_dim8_default_acquisition,acquisition_bottleneck_frontier,experiment/acquisition-bottleneck-separation-frontier,a89bfb32,results/paired_acquisition_factorization_acquisition_bottleneck_separation_frontier/frontier_variant_summary.csv
acq_dim8_default_acquisition,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
acq_dim8_default_acquisition,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
acq_dim8_default_biological,acquisition_bottleneck_frontier,experiment/acquisition-bottleneck-separation-frontier,a89bfb32,results/paired_acquisition_factorization_acquisition_bottleneck_separation_frontier/frontier_variant_summary.csv
acq_dim8_default_biological,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
acq_dim8_default_biological,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
oldstyle_keep_k4,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
oldstyle_removed_k4,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
original_frozen_features,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
pca_removal_k32,biological_label_preservation,experiment/biological-label-preservation-audit,bec06eb4,results/paired_acquisition_factorization_biological_label_preservation_audit/scanner_label_tradeoff_summary.csv
shuffled_sample_acquisition,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
shuffled_sample_biological,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
true_pair_acquisition,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
true_pair_acquisition,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
true_pair_acquisition,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
true_pair_biological,frontier_crossbackbone,experiment/frontier-selected-crossbackbone-validation,0e2af247,results/paired_acquisition_factorization_frontier_selected_crossbackbone_validation/frontier_crossbackbone_summary.csv
true_pair_biological,frontier_downstream,experiment/frontier-selected-downstream-validation,c29a038d,results/paired_acquisition_factorization_frontier_selected_downstream_validation/frontier_downstream_summary.csv
true_pair_biological,oldstyle_residual,experiment/oldstyle-residual-branch-separation-audit,3450ede2,results/paired_acquisition_factorization_oldstyle_residual_branch_separation_audit/oldstyle_residual_summary.csv
