noise_level,seed,strategy,delta_worst_site_qwk_vs_fedavg,fedavg_worst_site_qwk,strategy_worst_site_qwk
0.0,7,cross_site_blend_50,-0.007044008150620673,0.6103296467303769,0.6032856385797563
0.0,7,cross_site_blend_75,-0.00901553057946547,0.6103296467303769,0.6013141161509115
0.0,7,cross_site_full,0.034838648600784894,0.6103296467303769,0.6451682953311618
0.0,42,cross_site_blend_50,-0.030635352674801775,0.6844139115500214,0.6537785588752196
0.0,42,cross_site_blend_75,-0.06312246303344204,0.6844139115500214,0.6212914485165794
0.0,42,cross_site_full,-0.07794031700146942,0.6844139115500214,0.606473594548552
0.0,99,cross_site_blend_50,0.05649077014764903,0.4869336233792254,0.5434243935268744
0.0,99,cross_site_blend_75,0.02195318672367441,0.4869336233792254,0.5088868101028998
0.0,99,cross_site_full,0.021699868161991098,0.4869336233792254,0.5086334915412165
0.0,123,cross_site_blend_50,-0.0061494242628177265,0.6553731160397009,0.6492236917768832
0.0,123,cross_site_blend_75,0.0004874362124780429,0.6553731160397009,0.655860552252179
0.0,123,cross_site_full,-0.044994626572326446,0.6553731160397009,0.6103784894673745
0.0,2025,cross_site_blend_50,-0.019296745558981088,0.44731977818853963,0.42802303262955854
0.0,2025,cross_site_blend_75,0.019219418752186912,0.44731977818853963,0.46653919694072654
0.0,2025,cross_site_full,0.0014697935060600242,0.44731977818853963,0.44878957169459965
0.25,7,cross_site_blend_50,0.10988845583448426,0.5295880981458866,0.6394765539803708
0.25,7,cross_site_blend_75,0.06016886440757119,0.5295880981458866,0.5897569625534578
0.25,7,cross_site_full,0.09946146203433226,0.5295880981458866,0.6290495601802188
0.25,42,cross_site_blend_50,0.019333118795950233,0.5451559934318555,0.5644891122278057
0.25,42,cross_site_blend_75,0.005091123536842934,0.5451559934318555,0.5502471169686984
0.25,42,cross_site_full,-0.002867436217925179,0.5451559934318555,0.5422885572139303
0.25,99,cross_site_blend_50,0.03080276546520644,0.44737560265623577,0.4781783681214422
0.25,99,cross_site_blend_75,-0.027300291494661733,0.44737560265623577,0.42007531116157404
0.25,99,cross_site_full,0.028866451900102064,0.44737560265623577,0.47624205455633783
0.25,123,cross_site_blend_50,-0.02762612882673754,0.6471976401179941,0.6195715112912565
0.25,123,cross_site_blend_75,-0.02141327046596897,0.6471976401179941,0.6257843696520251
0.25,123,cross_site_full,-0.061800887843434515,0.6471976401179941,0.5853967522745596
0.25,2025,cross_site_blend_50,-0.021590380168076018,0.3897996357012752,0.36820925553319916
0.25,2025,cross_site_blend_75,-0.008296745527864746,0.3897996357012752,0.38150289017341044
0.25,2025,cross_site_full,0.0040818174536007,0.3897996357012752,0.3938814531548759
0.35,7,cross_site_blend_50,0.006207759723001249,0.6089157952669235,0.6151235549899248
0.35,7,cross_site_blend_75,0.01974869984708305,0.6089157952669235,0.6286644951140066
0.35,7,cross_site_full,-0.02080675899304507,0.6089157952669235,0.5881090362738784
0.35,42,cross_site_blend_50,-0.05158406722906672,0.6152512998266898,0.5636672325976231
0.35,42,cross_site_blend_75,-0.06239168110918547,0.6152512998266898,0.5528596187175043
0.35,42,cross_site_full,-0.05784697370356173,0.6152512998266898,0.5574043261231281
0.35,99,cross_site_blend_50,0.08702134224205993,0.4288412330937005,0.5158625753357604
0.35,99,cross_site_blend_75,0.09251793438747014,0.4288412330937005,0.5213591674811706
0.35,99,cross_site_full,0.04999112813756679,0.4288412330937005,0.47883236123126727
0.35,123,cross_site_blend_50,-0.021341417473001112,0.6215722120658136,0.6002307945928125
0.35,123,cross_site_blend_75,-0.0007972738959867165,0.6215722120658136,0.6207749381698269
0.35,123,cross_site_full,-0.001469997415046942,0.6215722120658136,0.6201022146507666
0.35,2025,cross_site_blend_50,-0.014198790699448627,0.46213592233009704,0.4479371316306484
0.35,2025,cross_site_blend_75,-0.03747838808352166,0.46213592233009704,0.4246575342465754
0.35,2025,cross_site_full,-0.08593630620725623,0.46213592233009704,0.3761996161228408
0.45,7,cross_site_blend_50,0.053202826599938025,0.5747321523284183,0.6279349789283564
0.45,7,cross_site_blend_75,0.05214247274656669,0.5747321523284183,0.626874625074985
0.45,7,cross_site_full,0.053387141646018654,0.5747321523284183,0.628119293974437
0.45,42,cross_site_blend_50,0.016167468395921314,0.5702199661590525,0.5863874345549738
0.45,42,cross_site_blend_75,0.01297042835209683,0.5702199661590525,0.5831903945111493
0.45,42,cross_site_full,-0.0238455985367928,0.5702199661590525,0.5463743676222597
0.45,99,cross_site_blend_50,0.09807516986880382,0.4103984277291406,0.5084735975979444
0.45,99,cross_site_blend_75,0.007224799819812833,0.4103984277291406,0.4176232275489534
0.45,99,cross_site_full,0.039732987404349496,0.4103984277291406,0.4501314151334901
0.45,123,cross_site_blend_50,-0.015540770642811452,0.6235246235246235,0.607983852881812
0.45,123,cross_site_blend_75,-0.009951993126418257,0.6235246235246235,0.6135726303982052
0.45,123,cross_site_full,-0.014877795899693513,0.6235246235246235,0.6086468276249299
0.45,2025,cross_site_blend_50,-0.05640442310426663,0.48243992606284647,0.42603550295857984
0.45,2025,cross_site_blend_75,-0.10332967461216958,0.48243992606284647,0.3791102514506769
0.45,2025,cross_site_full,-0.101857401791002,0.48243992606284647,0.38058252427184447
