noise_level,seed,strategy,qwk,accuracy,macro_f1,support
0.0,7,cross_site_blend_50,0.6963517783821651,0.49750415973377704,0.48043440543589555,601
0.0,7,cross_site_blend_75,0.7083741865797684,0.4891846921797005,0.4709979204344162,601
0.0,7,cross_site_full,0.721463485296132,0.5008319467554077,0.48357523727433427,601
0.0,7,fedavg,0.7115612922781581,0.5291181364392679,0.5159914693964281,601
0.0,42,cross_site_blend_50,0.7314979640933821,0.5241264559068219,0.5088937761500315,601
0.0,42,cross_site_blend_75,0.7207721552795405,0.5141430948419301,0.4974742872224578,601
0.0,42,cross_site_full,0.7157624484832106,0.5124792013311148,0.49704971273434145,601
0.0,42,fedavg,0.6946568826732116,0.5091514143094842,0.4969275447335775,601
0.0,99,cross_site_blend_50,0.5906699054274602,0.43261231281198004,0.42426706641492523,601
0.0,99,cross_site_blend_75,0.5793208721567276,0.43094841930116473,0.42163020932925227,601
0.0,99,cross_site_full,0.5852753117558446,0.4209650582362729,0.4081067988679136,601
0.0,99,fedavg,0.5997239662738247,0.4259567387687188,0.41040641222395835,601
0.0,123,cross_site_blend_50,0.6880667924295256,0.49584026622296173,0.4858658642684041,601
0.0,123,cross_site_blend_75,0.6840109350205432,0.4925124792013311,0.48162488001291615,601
0.0,123,cross_site_full,0.671960140354587,0.47753743760399336,0.46749888558454983,601
0.0,123,fedavg,0.6909282147715607,0.4875207986688852,0.4819818414426635,601
0.0,2025,cross_site_blend_50,0.6097715002357043,0.44093178036605657,0.42842046262658756,601
0.0,2025,cross_site_blend_75,0.612708994403097,0.4442595673876872,0.43333559736262234,601
0.0,2025,cross_site_full,0.6111104993280418,0.4459234608985025,0.4354025216994457,601
0.0,2025,fedavg,0.6328277214203815,0.46256239600665555,0.449419482335778,601
0.25,7,cross_site_blend_50,0.7054308091474296,0.502495840266223,0.4869658012504108,601
0.25,7,cross_site_blend_75,0.7022454224653404,0.502495840266223,0.4851540893479591,601
0.25,7,cross_site_full,0.7037202217139187,0.49916805324459235,0.4822330312276107,601
0.25,7,fedavg,0.6915637597455779,0.5141430948419301,0.5038187275111521,601
0.25,42,cross_site_blend_50,0.6910380142786933,0.49584026622296173,0.473489854074838,601
0.25,42,cross_site_blend_75,0.6805492302821887,0.49417637271214643,0.4730964336257136,601
0.25,42,cross_site_full,0.6774900863466193,0.4825291181364393,0.46166339138437734,601
0.25,42,fedavg,0.6818296219427675,0.4858569051580699,0.4622776845754843,601
0.25,99,cross_site_blend_50,0.5844856194690266,0.40266222961730447,0.3900148862261254,601
0.25,99,cross_site_blend_75,0.577828891935507,0.4059900166389351,0.3940082759544477,601
