n,method,comparison,n_seeds,mean_difference,median_difference,bootstrap_ci_025,bootstrap_ci_975,fraction_seeds_positive,exact_sign_flip_p_two_sided
750,hybrid_curriculum,100x64_minus_50x128,10,0.022566,0.015053,0.006653,0.038707,0.8,0.029297
750,hybrid_curriculum,200x32_minus_100x64,10,-0.004199,-0.012022,-0.017500,0.010613,0.3,0.582031
750,hybrid_curriculum,200x32_minus_50x128,10,0.018368,0.025792,-0.000940,0.035833,0.7,0.101562
1500,hybrid_curriculum,100x64_minus_50x128,10,0.022713,0.028233,-0.009186,0.052744,0.7,0.207031
1500,hybrid_curriculum,200x32_minus_100x64,10,0.001808,-0.004358,-0.015218,0.019141,0.4,0.835938
1500,hybrid_curriculum,200x32_minus_50x128,10,0.024521,0.016055,0.004179,0.046606,0.7,0.068359
750,pair_consistency,100x64_minus_50x128,10,0.004056,0.012123,-0.012424,0.019098,0.6,0.636719
750,pair_consistency,200x32_minus_100x64,10,0.002136,-0.006982,-0.016013,0.021640,0.4,0.830078
750,pair_consistency,200x32_minus_50x128,10,0.006192,0.004408,-0.004883,0.017688,0.7,0.349609
1500,pair_consistency,100x64_minus_50x128,10,0.015813,0.029111,-0.013479,0.044549,0.6,0.335938
1500,pair_consistency,200x32_minus_100x64,10,0.006565,0.001848,-0.006502,0.019776,0.5,0.378906
1500,pair_consistency,200x32_minus_50x128,10,0.022378,0.019688,-0.000615,0.045485,0.7,0.107422
