n,overlap,nonlinear,method,0.45,0.5,0.55,0.6
500,0.9,False,hybrid_curriculum,15.0,40.0,150.0,
500,0.9,False,operator,30.0,60.0,250.0,
500,0.9,False,pair_consistency,20.0,40.0,200.0,
500,0.9,True,hybrid_curriculum,40.0,150.0,,
500,0.9,True,operator,100.0,300.0,,
500,0.9,True,pair_consistency,20.0,200.0,,
500,0.95,False,hybrid_curriculum,50.0,,,
500,0.95,False,operator,250.0,,,
500,0.95,False,pair_consistency,40.0,200.0,,
500,0.95,True,hybrid_curriculum,150.0,,,
500,0.95,True,pair_consistency,200.0,,,
1000,0.9,False,hybrid_curriculum,20.0,20.0,40.0,150.0
1000,0.9,False,operator,15.0,30.0,40.0,75.0
1000,0.9,False,pair_consistency,10.0,20.0,50.0,150.0
1000,0.9,True,hybrid_curriculum,20.0,30.0,100.0,
1000,0.9,True,operator,30.0,75.0,75.0,250.0
1000,0.9,True,pair_consistency,20.0,50.0,100.0,
1000,0.95,False,hybrid_curriculum,30.0,75.0,100.0,
1000,0.95,False,operator,40.0,75.0,75.0,300.0
1000,0.95,False,pair_consistency,20.0,50.0,150.0,
1000,0.95,True,hybrid_curriculum,40.0,75.0,,
1000,0.95,True,operator,75.0,200.0,,
1000,0.95,True,pair_consistency,20.0,100.0,,
3000,0.9,False,hybrid_curriculum,10.0,20.0,20.0,40.0
3000,0.9,False,operator,10.0,20.0,20.0,40.0
3000,0.9,False,pair_consistency,10.0,30.0,40.0,50.0
3000,0.9,True,hybrid_curriculum,10.0,40.0,40.0,150.0
3000,0.9,True,operator,10.0,30.0,40.0,60.0
3000,0.9,True,pair_consistency,15.0,40.0,40.0,300.0
3000,0.95,False,hybrid_curriculum,20.0,40.0,75.0,200.0
3000,0.95,False,operator,20.0,40.0,40.0,60.0
3000,0.95,False,pair_consistency,20.0,40.0,50.0,60.0
3000,0.95,True,hybrid_curriculum,40.0,50.0,150.0,
3000,0.95,True,operator,40.0,40.0,100.0,250.0
3000,0.95,True,pair_consistency,40.0,40.0,300.0,
10000,0.9,False,hybrid_curriculum,5.0,15.0,15.0,15.0
10000,0.9,False,operator,5.0,10.0,15.0,15.0
10000,0.9,False,pair_consistency,5.0,10.0,10.0,10.0
10000,0.9,True,hybrid_curriculum,10.0,15.0,20.0,30.0
10000,0.9,True,operator,10.0,15.0,15.0,20.0
10000,0.9,True,pair_consistency,10.0,10.0,10.0,10.0
10000,0.95,False,hybrid_curriculum,15.0,15.0,20.0,40.0
10000,0.95,False,operator,15.0,20.0,40.0,40.0
10000,0.95,False,pair_consistency,10.0,10.0,10.0,20.0
10000,0.95,True,hybrid_curriculum,15.0,40.0,40.0,75.0
10000,0.95,True,operator,15.0,30.0,40.0,60.0
10000,0.95,True,pair_consistency,10.0,10.0,30.0,50.0
