source_file,noise,threshold_shift,seed,clean_strategy,corrupted_strategy,clean_global_qwk,clean_worst_site_qwk,clean_mean_site_qwk,clean_site_qwk_spread,clean_global_accuracy,clean_macro_f1,clean_mean_abs_error,clean_severe_error_rate,clean_mean_overgrade,clean_mean_undergrade,clean_prediction_entropy,corrupted_global_qwk,delta_corrupted_vs_clean_global_qwk,corrupted_worst_site_qwk,delta_corrupted_vs_clean_worst_site_qwk,corrupted_mean_site_qwk,delta_corrupted_vs_clean_mean_site_qwk,corrupted_site_qwk_spread,delta_corrupted_vs_clean_site_qwk_spread,corrupted_global_accuracy,delta_corrupted_vs_clean_global_accuracy,corrupted_macro_f1,delta_corrupted_vs_clean_macro_f1,corrupted_mean_abs_error,delta_corrupted_vs_clean_mean_abs_error,corrupted_severe_error_rate,delta_corrupted_vs_clean_severe_error_rate,corrupted_mean_overgrade,delta_corrupted_vs_clean_mean_overgrade,corrupted_mean_undergrade,delta_corrupted_vs_clean_mean_undergrade,corrupted_prediction_entropy,delta_corrupted_vs_clean_prediction_entropy,detector_failure_count,detector_failed_diagnostics,detector_triggered,chosen_strategy,detector_global_qwk,oracle_global_qwk,delta_detector_vs_clean_global_qwk,detector_regret_vs_oracle_global_qwk,detector_worst_site_qwk,oracle_worst_site_qwk,delta_detector_vs_clean_worst_site_qwk,detector_regret_vs_oracle_worst_site_qwk,detector_mean_site_qwk,oracle_mean_site_qwk,delta_detector_vs_clean_mean_site_qwk,detector_regret_vs_oracle_mean_site_qwk,detector_global_accuracy,oracle_global_accuracy,delta_detector_vs_clean_global_accuracy,detector_regret_vs_oracle_global_accuracy,detector_macro_f1,oracle_macro_f1,delta_detector_vs_clean_macro_f1,detector_regret_vs_oracle_macro_f1
results\threshold_shift_panda_all_conservative_0_seed_11\predictions.csv,0,0,11,fedavg,cross_site_blend_50,0.7429581080983443,0.7164217698801902,0.7441992641283725,0.05934968635546645,0.5745882352941176,0.5098279114359029,0.6922352941176471,0.07341176470588236,0.208,0.48423529411764704,1.156964949139127,0.7337225638667626,-0.009235544231581683,0.7119886879296122,-0.004433081950578011,0.743286473704899,-0.0009127904234734752,0.04333469873001439,-0.01601498762545206,0.5736470588235294,-0.0009411764705882231,0.5055207797599799,-0.004307131675923004,0.7105882352941176,0.018352941176470572,0.07858823529411765,0.005176470588235296,0.2343529411764706,0.026352941176470607,0.47623529411764703,-0.008000000000000007,1.1778074606925437,0.020842511553416765,0,,False,fedavg,0.7429581080983443,0.7429581080983443,0.0,0.0,0.7164217698801902,0.7164217698801902,0.0,0.0,0.7441992641283725,0.7441992641283725,0.0,0.0,0.5745882352941176,0.5745882352941176,0.0,0.0,0.5098279114359029,0.5098279114359029,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_123\predictions.csv,0,0,123,fedavg,cross_site_blend_50,0.7298328239744079,0.702768825425204,0.732487374863064,0.07131986200938834,0.5694117647058824,0.5055799211566626,0.7134117647058823,0.07623529411764705,0.2376470588235294,0.4757647058823529,1.1721565327917418,0.7280400712222352,-0.0017927527521726105,0.6825573624415238,-0.02021146298368026,0.7254086963081546,-0.007078678554909401,0.07428896390647621,0.002969101897087878,0.5567058823529412,-0.012705882352941233,0.49490363784094965,-0.010676283315712964,0.7425882352941177,0.02917647058823536,0.07670588235294118,0.0004705882352941254,0.3171764705882353,0.07952941176470588,0.4254117647058824,-0.050352941176470545,1.1780110800360237,0.005854547244281916,0,,False,fedavg,0.7298328239744079,0.7298328239744079,0.0,0.0,0.702768825425204,0.702768825425204,0.0,0.0,0.732487374863064,0.732487374863064,0.0,0.0,0.5694117647058824,0.5694117647058824,0.0,0.0,0.5055799211566626,0.5055799211566626,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_17\predictions.csv,0,0,17,fedavg,cross_site_blend_50,0.7239654930746602,0.6867531239805871,0.7097153911713731,0.0679690886509221,0.5727058823529412,0.5116310736011755,0.7171764705882353,0.07529411764705882,0.1971764705882353,0.52,1.1677552636809072,0.741825343260487,0.01785985018582681,0.6977504245196491,0.010997300539062005,0.7270813020050024,0.017365910833629372,0.0776750134260571,0.009705924775134989,0.5835294117647059,0.010823529411764676,0.5224528915476301,0.010821817946454537,0.6832941176470588,-0.033882352941176475,0.06823529411764706,-0.007058823529411756,0.16376470588235295,-0.033411764705882335,0.5195294117647059,-0.00047058823529411153,1.1786416934641828,0.010886429783275586,0,,False,fedavg,0.7239654930746602,0.7239654930746602,0.0,0.0,0.6867531239805871,0.6867531239805871,0.0,0.0,0.7097153911713731,0.7097153911713731,0.0,0.0,0.5727058823529412,0.5727058823529412,0.0,0.0,0.5116310736011755,0.5116310736011755,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_2025\predictions.csv,0,0,2025,fedavg,cross_site_blend_50,0.6983892617352163,0.6744316058050153,0.7010870185241194,0.05845594942500154,0.5585882352941176,0.5000663744833895,0.7576470588235295,0.08705882352941176,0.24658823529411764,0.5110588235294118,1.1618222006061447,0.6988934439468641,0.0005041822116478301,0.677440898806273,0.00300929300125774,0.7014432993023529,0.0003562807782335753,0.05435570715656013,-0.004100242268441412,0.5472941176470588,-0.011294117647058788,0.4780140759710345,-0.022052298512355017,0.7854117647058824,0.027764705882352914,0.09223529411764705,0.005176470588235296,0.27905882352941175,0.03247058823529411,0.5063529411764706,-0.004705882352941226,1.1770455350323759,0.015223334426231139,2,global_qwk_low;mean_abs_error_high,False,fedavg,0.6983892617352163,0.6983892617352163,0.0,0.0,0.6744316058050153,0.6744316058050153,0.0,0.0,0.7010870185241194,0.7010870185241194,0.0,0.0,0.5585882352941176,0.5585882352941176,0.0,0.0,0.5000663744833895,0.5000663744833895,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_23\predictions.csv,0,0,23,fedavg,cross_site_blend_50,0.7018818577459033,0.6673741964836729,0.7174845380245973,0.10021540319610533,0.56,0.4860606677435226,0.7637647058823529,0.09223529411764705,0.22823529411764706,0.5355294117647059,1.1418514026461681,0.7037645067143725,0.001882648968469236,0.6681155525660587,0.0007413560823857912,0.7204905791820245,0.0030060411574271972,0.1266562161989222,0.026440813002816865,0.5604705882352942,0.00047058823529411153,0.4889164480197272,0.0028557802762046447,0.7614117647058823,-0.0023529411764705577,0.09411764705882353,0.001882352941176474,0.21976470588235295,-0.008470588235294119,0.5416470588235294,0.00611764705882345,1.1372767953333078,-0.0045746073128603015,3,global_qwk_low;mean_abs_error_high;severe_error_rate_high,True,cross_site_blend_50,0.7037645067143725,0.7018818577459033,0.001882648968469236,0.001882648968469236,0.6681155525660587,0.6673741964836729,0.0007413560823857912,0.0007413560823857912,0.7204905791820245,0.7174845380245973,0.0030060411574271972,0.0030060411574271972,0.5604705882352942,0.56,0.00047058823529411153,0.00047058823529411153,0.4889164480197272,0.4860606677435226,0.0028557802762046447,0.0028557802762046447
results\threshold_shift_panda_all_conservative_0_seed_29\predictions.csv,0,0,29,fedavg,cross_site_blend_50,0.726441618643312,0.6865732434961865,0.71804951628285,0.05855440690270841,0.5741176470588235,0.5055895989900184,0.7247058823529412,0.08188235294117648,0.208,0.5167058823529411,1.147105895918461,0.7230326097996407,-0.003409008843671346,0.6763439793223045,-0.010229264173882036,0.7209830795282827,0.002933563245432702,0.09314480647974066,0.03459039957703225,0.5764705882352941,0.0023529411764705577,0.5123163664565035,0.00672676746648504,0.7185882352941176,-0.006117647058823561,0.08282352941176471,0.000941176470588237,0.24282352941176472,0.034823529411764725,0.4757647058823529,-0.0409411764705882,1.1457565392719873,-0.0013493566464737317,0,,False,fedavg,0.726441618643312,0.726441618643312,0.0,0.0,0.6865732434961865,0.6865732434961865,0.0,0.0,0.71804951628285,0.71804951628285,0.0,0.0,0.5741176470588235,0.5741176470588235,0.0,0.0,0.5055895989900184,0.5055895989900184,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_31\predictions.csv,0,0,31,fedavg,cross_site_blend_50,0.7086968931815969,0.6738253917670043,0.7083238904839249,0.05180222475708751,0.5496470588235294,0.490416290241764,0.7463529411764706,0.08282352941176471,0.23952941176470588,0.5068235294117647,1.1670994637757057,0.7165003903666098,0.007803497185012942,0.6904800881334037,0.01665469636639938,0.7226313294886846,0.014307439004759726,0.05810686479753835,0.006304640040450837,0.5534117647058824,0.0037647058823530033,0.4950671262046908,0.004650835962926814,0.7557647058823529,0.009411764705882342,0.08470588235294117,0.00188235294117646,0.28752941176470587,0.04799999999999999,0.4682352941176471,-0.03858823529411759,1.1520586233386354,-0.015040840437070324,0,,False,fedavg,0.7086968931815969,0.7086968931815969,0.0,0.0,0.6738253917670043,0.6738253917670043,0.0,0.0,0.7083238904839249,0.7083238904839249,0.0,0.0,0.5496470588235294,0.5496470588235294,0.0,0.0,0.490416290241764,0.490416290241764,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_37\predictions.csv,0,0,37,fedavg,cross_site_blend_50,0.7169013513435238,0.7072214848478993,0.7205745926518567,0.04176003813631313,0.5755294117647058,0.5218186688693097,0.7138823529411765,0.08235294117647059,0.18729411764705883,0.5265882352941177,1.1259510238729173,0.7209045782831497,0.004003226939625848,0.7026297227340665,-0.00459176211383272,0.7245873212371869,0.004012728585330194,0.03903533965764494,-0.002724698478668186,0.5604705882352942,-0.01505882352941168,0.4917730629816231,-0.03004560588768662,0.7331764705882353,0.019294117647058795,0.08470588235294117,0.0023529411764705854,0.22588235294117648,0.038588235294117645,0.5072941176470588,-0.019294117647058906,1.2102201270375847,0.0842691031646674,0,,False,fedavg,0.7169013513435238,0.7169013513435238,0.0,0.0,0.7072214848478993,0.7072214848478993,0.0,0.0,0.7205745926518567,0.7205745926518567,0.0,0.0,0.5755294117647058,0.5755294117647058,0.0,0.0,0.5218186688693097,0.5218186688693097,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_41\predictions.csv,0,0,41,fedavg,cross_site_blend_50,0.7313483114760122,0.6692838566912203,0.7434729817875875,0.14287792124399956,0.5665882352941176,0.5004526523110261,0.72,0.07670588235294118,0.23576470588235293,0.48423529411764704,1.1680296642247314,0.7212868239213154,-0.010061487554696824,0.6863423149808671,0.017058458289646805,0.7288710149947588,-0.014601966792828658,0.11695241299929171,-0.02592550824470785,0.56,-0.0065882352941175615,0.48523390613951434,-0.015218746171511754,0.7421176470588235,0.022117647058823575,0.08094117647058824,0.004235294117647059,0.24705882352941178,0.011294117647058843,0.4950588235294118,0.010823529411764732,1.148595782922415,-0.01943388130231649,1,site_qwk_spread_high,False,fedavg,0.7313483114760122,0.7313483114760122,0.0,0.0,0.6692838566912203,0.6692838566912203,0.0,0.0,0.7434729817875875,0.7434729817875875,0.0,0.0,0.5665882352941176,0.5665882352941176,0.0,0.0,0.5004526523110261,0.5004526523110261,0.0,0.0
results\threshold_shift_panda_all_conservative_0_seed_42\predictions.csv,0,0,42,fedavg,cross_site_blend_50,0.7072566694854118,0.6673300346903428,0.7161831406854237,0.14113790627812006,0.5694117647058824,0.5159724605549763,0.7327058823529412,0.08094117647058824,0.20705882352941177,0.5256470588235295,1.1758076450075134,0.6934701255508754,-0.013786543934536377,0.6608777559281085,-0.006452278762234309,0.7057812801177772,-0.01040186056764647,0.12000842615592422,-0.021129480122195843,0.5585882352941176,-0.010823529411764787,0.496155205606327,-0.019817254948649277,0.7651764705882353,0.03247058823529414,0.08847058823529412,0.007529411764705882,0.22023529411764706,0.01317647058823529,0.5449411764705883,0.019294117647058795,1.151800860179836,-0.024006784827677485,2,worst_site_qwk_low;site_qwk_spread_high,False,fedavg,0.7072566694854118,0.7072566694854118,0.0,0.0,0.6673300346903428,0.6673300346903428,0.0,0.0,0.7161831406854237,0.7161831406854237,0.0,0.0,0.5694117647058824,0.5694117647058824,0.0,0.0,0.5159724605549763,0.5159724605549763,0.0,0.0
