config_id,low_quantile,high_quantile,min_trigger_count,threshold_shift,runs,triggered_runs,trigger_rate,mean_failure_count,mean_delta_global_qwk,ci95_low_global_qwk,ci95_high_global_qwk,positive_seed_count_global_qwk,negative_seed_count_global_qwk,mean_delta_macro_f1,ci95_low_macro_f1,ci95_high_macro_f1,positive_seed_count_macro_f1,negative_seed_count_macro_f1,mean_delta_worst_site_qwk,ci95_low_worst_site_qwk,ci95_high_worst_site_qwk,positive_seed_count_worst_site_qwk,negative_seed_count_worst_site_qwk,mean_delta_mean_site_qwk,ci95_low_mean_site_qwk,ci95_high_mean_site_qwk,positive_seed_count_mean_site_qwk,negative_seed_count_mean_site_qwk,mean_delta_global_accuracy,ci95_low_global_accuracy,ci95_high_global_accuracy,positive_seed_count_global_accuracy,negative_seed_count_global_accuracy
low_0.05__high_0.75__min_2,0.05,0.75,2,0,15,3,0.2,0.8666666666666667,-0.00022098605384774929,-0.0011038367849885327,0.0006618646772930342,2,1,-0.0013833180002768527,-0.004586036016294189,0.0018194000157404839,1,2,0.0017088619108193888,-0.0014123279935565633,0.004830051815195341,3,0,1.973230197896599e-05,-0.000617949968863138,0.0006574145728210699,2,1,-0.0012235294117647047,-0.003107593029393985,0.0006605342058645758,1,2
low_0.05__high_0.75__min_2,0.05,0.75,2,25,15,9,0.6,2.2666666666666666,0.003971953004550754,-0.0003968716613214143,0.008340777670422923,7,2,0.005294563669898267,-0.00037070206749309324,0.010959829407289626,7,2,0.0051263910859945085,-0.003172783756939996,0.013425565928929014,6,3,0.0034366269835578297,-0.0016742369984723091,0.008547490965587969,7,2,0.0038588235294117665,0.0005092447606962203,0.007208402298127313,8,1
low_0.05__high_0.75__min_2,0.05,0.75,2,35,15,11,0.7333333333333333,2.933333333333333,0.005645846520715847,0.0007328012445125074,0.010558891796919186,9,2,0.008531648294266121,0.0018663835169192584,0.015196913071612984,10,1,0.008900692846058345,3.632770080402338e-05,0.017765057991312665,7,4,0.006142506280571943,0.0018954046995654384,0.010389607861578448,10,1,0.007968627450980377,0.003457124493183434,0.01248013040877732,10,1
low_0.05__high_0.75__min_2,0.05,0.75,2,45,15,13,0.8666666666666667,3.3333333333333335,0.010333435909080979,0.0020628307014620914,0.018604041116699867,11,2,0.01673503452255428,0.010318161382355837,0.023151907662752724,13,0,0.01316765678490918,0.0057842310414473255,0.020551082528371036,11,2,0.010502083699282464,0.0031014463060724294,0.0179027210924925,11,2,0.014807843137254901,0.009857982894267106,0.019757703380242696,13,0
low_0.05__high_0.75__min_3,0.05,0.75,3,0,15,3,0.2,0.8666666666666667,-0.00022098605384774929,-0.0011038367849885327,0.0006618646772930342,2,1,-0.0013833180002768527,-0.004586036016294189,0.0018194000157404839,1,2,0.0017088619108193888,-0.0014123279935565633,0.004830051815195341,3,0,1.973230197896599e-05,-0.000617949968863138,0.0006574145728210699,2,1,-0.0012235294117647047,-0.003107593029393985,0.0006605342058645758,1,2
low_0.05__high_0.75__min_3,0.05,0.75,3,25,15,7,0.4666666666666667,2.2666666666666666,0.002958520211413999,-0.0013797587188554652,0.007296799141683463,5,2,0.004005194921512467,-0.0016157905197919193,0.009626180362816854,5,2,0.0038686003930871477,-0.00441743417479119,0.012154634960965485,4,3,0.0025825256705436007,-0.002515426111602929,0.00768047745269013,5,2,0.0031058823529411805,-0.00026909424037579923,0.00648085894625816,6,1
low_0.05__high_0.75__min_3,0.05,0.75,3,35,15,9,0.6,2.933333333333333,0.005417686746575871,0.0006201691247851842,0.010215204368366558,8,1,0.008384181556212345,0.002722193146254631,0.014046169966170058,9,0,0.009909033851333023,0.0016870129046377066,0.01813105479802834,7,2,0.005919676097368268,0.0017087761257994268,0.01013057606893711,9,0,0.0072784313725490135,0.0029937456213930246,0.011563117123705002,9,0
low_0.05__high_0.75__min_3,0.05,0.75,3,45,15,11,0.7333333333333333,3.3333333333333335,0.010526980243074443,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.0070778515157047615,0.01852214848429523,11,0
low_0.05__high_0.75__min_4,0.05,0.75,4,0,15,1,0.06666666666666667,0.8666666666666667,-0.00038010813252222034,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,-0.0015786666666666692,0.0005747450980392166,0,1
low_0.05__high_0.75__min_4,0.05,0.75,4,25,15,3,0.2,2.2666666666666666,-0.00011040825786886217,-0.0018564891213296083,0.001635672605591884,1,2,0.0027861946692351166,-0.001043503274387657,0.00661589261285789,3,0,0.0016444057920655655,-0.005443262730350614,0.008732074314481746,1,2,-0.00047752201323581677,-0.0035046585441647804,0.002549614517693147,1,2,0.001756862745098046,-0.0008484341627898299,0.004362159652985922,3,0
low_0.05__high_0.75__min_4,0.05,0.75,4,35,15,7,0.4666666666666667,2.933333333333333,0.004190894878476651,2.1074061118115175e-05,0.008360715695835188,7,0,0.008039426164105997,0.0022406956321768196,0.013838156696035175,7,0,0.007202393705712769,-0.0007797509222679019,0.01518453833369344,5,2,0.0045599522982934905,0.0005183595445299033,0.008601545052057078,7,0,0.006368627450980391,0.0020232225298230325,0.01071403237213775,7,0
low_0.05__high_0.75__min_4,0.05,0.75,4,45,15,9,0.6,3.3333333333333335,0.01024894714192465,0.0020466976221505274,0.018451196661698775,9,0,0.012868996694113307,0.005871979849282448,0.01986601353894417,9,0,0.011804032485319419,0.004404001810124475,0.019204063160514363,9,0,0.010522220633806723,0.003200996744403344,0.0178434445232101,9,0,0.010886274509803914,0.005081066744681018,0.01669148227492681,9,0
low_0.05__high_0.8__min_2,0.05,0.8,2,0,15,3,0.2,0.7333333333333333,-0.00022098605384774929,-0.0011038367849885327,0.0006618646772930342,2,1,-0.0013833180002768527,-0.004586036016294189,0.0018194000157404839,1,2,0.0017088619108193888,-0.0014123279935565633,0.004830051815195341,3,0,1.973230197896599e-05,-0.000617949968863138,0.0006574145728210699,2,1,-0.0012235294117647047,-0.003107593029393985,0.0006605342058645758,1,2
low_0.05__high_0.8__min_2,0.05,0.8,2,25,15,8,0.5333333333333333,1.9333333333333333,0.003399408131928931,-0.0009431336345822111,0.007741949898440073,6,2,0.004463425973076977,-0.001136150319670899,0.010063002265824853,6,2,0.00443648586605944,-0.003851949338233667,0.012724921070352547,5,3,0.002960963930863906,-0.002138610982309438,0.00806053884403725,6,2,0.0033568627450980475,1.5018394759704415e-05,0.0066987070954363905,7,1
low_0.05__high_0.8__min_2,0.05,0.8,2,35,15,11,0.7333333333333333,2.8,0.005645846520715847,0.0007328012445125074,0.010558891796919186,9,2,0.008531648294266121,0.0018663835169192584,0.015196913071612984,10,1,0.008900692846058345,3.632770080402338e-05,0.017765057991312665,7,4,0.006142506280571943,0.0018954046995654384,0.010389607861578448,10,1,0.007968627450980377,0.003457124493183434,0.01248013040877732,10,1
low_0.05__high_0.8__min_2,0.05,0.8,2,45,15,13,0.8666666666666667,3.1333333333333333,0.010333435909080979,0.0020628307014620914,0.018604041116699867,11,2,0.01673503452255428,0.010318161382355837,0.023151907662752724,13,0,0.01316765678490918,0.0057842310414473255,0.020551082528371036,11,2,0.010502083699282464,0.0031014463060724294,0.0179027210924925,11,2,0.014807843137254901,0.009857982894267106,0.019757703380242696,13,0
low_0.05__high_0.8__min_3,0.05,0.8,3,0,15,1,0.06666666666666667,0.7333333333333333,-0.00038010813252222034,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,-0.0015786666666666692,0.0005747450980392166,0,1
low_0.05__high_0.8__min_3,0.05,0.8,3,25,15,5,0.3333333333333333,1.9333333333333333,0.001287213823124526,-0.0017460968102482948,0.004320524456497347,3,2,0.0029029172462730142,-0.0018443331149444572,0.007650167607490486,4,1,0.003528374114504144,-0.004276768047926872,0.01133351627693516,3,2,0.0009682408065864105,-0.0030068766671784044,0.004943358280351225,3,2,0.0022274509803921574,-0.00099855831168152,0.005453460272465835,4,1
low_0.05__high_0.8__min_3,0.05,0.8,3,35,15,9,0.6,2.8,0.005417686746575871,0.0006201691247851842,0.010215204368366558,8,1,0.008384181556212345,0.002722193146254631,0.014046169966170058,9,0,0.009909033851333023,0.0016870129046377066,0.01813105479802834,7,2,0.005919676097368268,0.0017087761257994268,0.01013057606893711,9,0,0.0072784313725490135,0.0029937456213930246,0.011563117123705002,9,0
low_0.05__high_0.8__min_3,0.05,0.8,3,45,15,11,0.7333333333333333,3.1333333333333333,0.010526980243074443,0.0023949775848624514,0.018658982901286432,10,1,0.015118835790296947,0.008194348141413663,0.02204332343918023,11,0,0.012902275298181325,0.0054652600900103095,0.020339290506352338,10,1,0.010619007989083417,0.0032879743023405,0.017950041675826336,10,1,0.012799999999999997,0.0070778515157047615,0.01852214848429523,11,0
low_0.05__high_0.8__min_4,0.05,0.8,4,0,15,1,0.06666666666666667,0.7333333333333333,-0.00038010813252222034,-0.001195440076782383,0.0004352238117379423,0,1,-0.00010355011786682781,-0.00032566512069117347,0.00011856488495751781,0,1,0.0014588186385764868,-0.0016703473411700768,0.0045879846183230506,1,0,-0.00020442249373175218,-0.0006429087427863605,0.00023406375532285617,0,1,-0.0005019607843137263,-0.0015786666666666692,0.0005747450980392166,0,1
low_0.05__high_0.8__min_4,0.05,0.8,4,25,15,3,0.2,1.9333333333333333,-0.00011040825786886217,-0.0018564891213296083,0.001635672605591884,1,2,0.0027861946692351166,-0.001043503274387657,0.00661589261285789,3,0,0.0016444057920655655,-0.005443262730350614,0.008732074314481746,1,2,-0.00047752201323581677,-0.0035046585441647804,0.002549614517693147,1,2,0.001756862745098046,-0.0008484341627898299,0.004362159652985922,3,0
