config_id,low_quantile,high_quantile,min_trigger_count,diagnostics,threshold_global_qwk_low,threshold_worst_site_qwk_low,threshold_site_qwk_spread_high,threshold_mean_abs_error_high,threshold_severe_error_rate_high
low_0.05__high_0.75__min_2,0.05,0.75,2,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.0967857132756034,0.7463529411764706,0.0849411764705882
low_0.05__high_0.75__min_3,0.05,0.75,3,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.0967857132756034,0.7463529411764706,0.0849411764705882
low_0.05__high_0.75__min_4,0.05,0.75,4,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.0967857132756034,0.7463529411764706,0.0849411764705882
low_0.05__high_0.8__min_2,0.05,0.8,2,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10207470338025203,0.748235294117647,0.08724705882352936
low_0.05__high_0.8__min_3,0.05,0.8,3,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10207470338025203,0.748235294117647,0.08724705882352936
low_0.05__high_0.8__min_4,0.05,0.8,4,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10207470338025203,0.748235294117647,0.08724705882352936
low_0.05__high_0.85__min_2,0.05,0.85,2,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10858225402476555,0.7548235294117647,0.08790588235294117
low_0.05__high_0.85__min_3,0.05,0.85,3,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10858225402476555,0.7548235294117647,0.08790588235294117
low_0.05__high_0.85__min_4,0.05,0.85,4,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.10858225402476555,0.7548235294117647,0.08790588235294117
low_0.05__high_0.9__min_2,0.05,0.9,2,global_qwk_low;worst_site_qwk_low;site_qwk_spread_high;mean_abs_error_high;severe_error_rate_high,0.7008340789426972,0.6637714890380588,0.12848750541360757,0.7568941176470588,0.08828235294117646
