threshold_shift,diagnostic,count,triggered_runs,share_of_triggered_runs,total_runs,share_of_total_runs
0,mean_abs_error_high,3,2,1.5,15,0.2
0,severe_error_rate_high,3,2,1.5,15,0.2
0,site_qwk_spread_high,3,2,1.5,15,0.2
0,global_qwk_low,2,2,1.0,15,0.13333333333333333
0,worst_site_qwk_low,2,2,1.0,15,0.13333333333333333
25,mean_abs_error_high,12,5,2.4,15,0.8
25,global_qwk_low,7,5,1.4,15,0.4666666666666667
25,worst_site_qwk_low,6,5,1.2,15,0.4
25,severe_error_rate_high,4,5,0.8,15,0.26666666666666666
25,site_qwk_spread_high,2,5,0.4,15,0.13333333333333333
35,mean_abs_error_high,14,9,1.5555555555555556,15,0.9333333333333333
35,worst_site_qwk_low,10,9,1.1111111111111112,15,0.6666666666666666
35,global_qwk_low,8,9,0.8888888888888888,15,0.5333333333333333
35,severe_error_rate_high,7,9,0.7777777777777778,15,0.4666666666666667
35,site_qwk_spread_high,4,9,0.4444444444444444,15,0.26666666666666666
45,mean_abs_error_high,15,11,1.3636363636363635,15,1.0
45,worst_site_qwk_low,13,11,1.1818181818181819,15,0.8666666666666667
45,global_qwk_low,10,11,0.9090909090909091,15,0.6666666666666666
45,severe_error_rate_high,8,11,0.7272727272727273,15,0.5333333333333333
45,site_qwk_spread_high,3,11,0.2727272727272727,15,0.2
